id,nombre
38,Circunscripción Especial de Minorias Políticas
37,Circunscripción Especial por Comunidades Afrocolombianas
39,Circunscripción Internacional (Colombianos Residentes en el Exterior)
35,Circunscripción Nacional
7,Circunscripción Territorial de Bolívar
8,Circunscripción Territorial de Boyacá
10,Circunscripción Territorial de Caldas
13,Circunscripción Territorial de Caquetá
11,Circunscripción Territorial de Casanare
9,Circunscripción Territorial de Cauca
15,Circunscripción Territorial de Cesar
14,Circunscripción Territorial de Chocó
16,Circunscripción Territorial de Córdoba
12,Circunscripción Territorial de Cundinamarca
18,Circunscripción Territorial de Guainía
19,Circunscripción Territorial de Guaviare
20,Circunscripción Territorial de Huila
17,Circunscripción Territorial de La Guajira
22,Circunscripción Territorial de Magdalena
21,Circunscripción Territorial de Meta
23,Circunscripción Territorial de Nariño
25,Circunscripción Territorial de Putumayo
30,Circunscripción Territorial de Quindío
26,Circunscripción Territorial de Risaralda
27,Circunscripción Territorial de San Andrés y Providencia
28,Circunscripción Territorial de Santander
29,Circunscripción Territorial de Sucre
33,Circunscripción Territorial de Vaupés
32,Circunscripción Territorial de Vichada
36,Circunscripción Especial por Comunidades Indígenas
4,Circunscripción Territorial de Amazonas
3,Circunscripción Territorial de Antioquia
2,Circunscripción Territorial de Atlántico
24,Circunscripción Territorial de Norte de Santander
34,Circunscripción Territorial de Tolima
1,Circunscripción Territorial de Bogotá
5,Circunscripción Territorial de Arauca
31,Circunscripción Territorial de Valle del Cauca
