id,created_at,updated_at,nombre,corporacion_id
5,2010-01-17 17:29:37.623634,2012-06-15 22:50:26.549244,Quinta,1
17,2010-01-17 17:30:10.793428,2011-05-03 17:54:01.009062,Plenaria,1
8,2010-01-17 17:29:37.794193,2012-06-15 22:49:57.269290,Cuarta,1
33,2011-05-17 19:35:27.210542,2014-08-13 12:50:29.831454,Legal para la Equidad de la Mujer,NA
31,2010-10-27 20:42:14.257944,2014-08-13 12:58:27.607434,Especial de Vigilancia a ordenamiento territorial,1
16,2010-01-17 17:30:00.348415,2015-07-03 14:13:52.977332,Plenaria,2
20,2010-10-27 20:06:13.764444,2014-08-13 12:59:38.302228,Legal de Ética y Estatuto del Congresista,1
9,2010-01-17 17:29:37.896658,2015-07-03 14:12:25.836202,Quinta,2
21,2010-10-27 20:06:38.750491,2014-09-01 11:56:27.184318,Legal de Ética y Estatuto del Congresista,2
32,2010-10-27 20:42:50.001221,2014-09-25 20:45:55.912435,Especial de Vigilancia a ordenamiento territorial,2
1,2010-01-07 23:34:52.483261,2015-07-01 16:59:02.057345,Primera,1
13,2010-01-17 17:29:38.168822,2015-07-02 14:54:48.405859,Tercera,1
36,2011-09-08 15:40:32.150594,2016-09-30 14:54:11.415582,Accidental de Paz de Cámara,2
34,2011-07-05 21:10:09.498333,2016-09-30 14:53:00.448545,Accidental de Paz de Senado,1
11,2010-01-17 17:29:38.034829,2016-11-15 16:44:13.590185,Segunda,1
3,2010-01-17 17:29:37.555042,2015-07-01 18:07:50.596741,Sexta,1
35,2011-09-08 14:24:44.473253,2011-11-02 18:42:09.301216,Asesora de Relaciones Exteriores,NA
14,2010-01-17 17:29:38.238381,2015-07-01 17:01:45.933725,Séptima,1
26,2010-10-27 20:21:39.752545,2014-09-25 20:42:05.472454,de Investigación y Acusación,2
29,2010-10-27 20:40:03.051104,2014-08-13 12:58:03.303415,Especial de Vigilancia al Organismo Electoral,1
12,2010-01-17 17:29:38.066746,2014-09-25 20:07:18.462964,Tercera,2
7,2010-01-17 17:29:37.699094,2015-07-03 14:10:11.169543,Primera,2
10,2010-01-17 17:29:37.999938,2015-07-03 14:11:57.969249,Cuarta,2
6,2010-01-17 17:29:37.656472,2015-07-03 14:12:56.212250,Sexta,2
25,2010-10-27 20:20:03.439700,2014-09-25 20:41:33.968510,Legal de Cuentas,2
4,2010-01-17 17:29:37.587127,2015-07-02 14:52:42.965851,Segunda,2
24,2010-10-27 20:15:50.586366,2016-04-27 15:14:22.070517,Legal de Instrucción,1
2,2010-01-17 17:29:37.526514,2015-07-03 14:13:20.411675,Séptima,2
37,2011-09-08 16:29:43.444972,2011-11-02 18:42:20.067470,Interparlamentaria de Crédito Público,NA
38,2012-06-04 20:29:32.332600,2012-06-04 20:52:51.925808,Especial de Modernización,NA
28,2010-10-27 20:33:13.783828,2011-11-02 20:11:29.531092,Especial de Vigilancia a Organismos de Control,2
22,2010-10-27 20:08:22.013150,2014-08-13 12:57:36.353897,de Acreditación Documental,1
30,2010-10-27 20:40:21.546104,2014-08-13 12:57:58.806036,Especial de Vigilancia al Organismo Electoral,2
18,2010-10-25 16:33:04.643837,2014-09-25 20:43:53.176324,Legal de Derechos Humanos,2
39,2014-08-13 12:46:01.794903,2014-09-25 20:47:35.739529,Legal de seguimiento a inteligencia y contrainteli,NA
23,2010-10-27 20:08:45.102745,2014-08-13 12:57:26.394163,de Acreditación Documental,2
27,2010-10-27 20:32:53.206635,2014-08-13 12:58:44.603415,Especial de Vigilancia a Organismos de Control,1
40,2016-10-19 19:46:11.086507,2016-10-19 19:52:16.807469,de Administración,1
19,2010-10-27 20:04:52.133854,2016-11-17 18:22:35.373427,Legal de Derechos Humanos,1
41,2018-05-22 14:31:48.497516,2018-05-22 14:31:48.497539,Accidental Frente Parlamentario contra el hambre,1
