id,created_at,updated_at,persona_id,fecha
1,2009-12-07 16:02:59.751668,2009-12-07 16:02:59.751691,244,1975-01-01
2,2009-12-07 16:02:59.774190,2009-12-07 16:02:59.774212,244,1979-01-01
564,2010-02-07 16:51:24.614677,2010-02-07 16:51:24.614703,1675,2008-05-01
4,2009-12-09 21:29:28.115186,2009-12-09 21:29:28.115209,141,1991-01-01
5,2009-12-09 21:29:28.135839,2009-12-09 21:29:28.135862,141,1988-01-01
6,2009-12-09 21:29:28.136626,2009-12-09 21:29:28.136648,141,1987-01-01
7,2009-12-09 21:29:28.137426,2009-12-09 21:29:28.137449,141,1987-01-01
8,2009-12-14 16:50:42.540310,2010-05-24 19:28:50.993592,8,1993-06-01
9,2009-12-16 22:50:24.208977,2009-12-16 22:50:24.209002,90,2003-02-16
10,2009-12-16 22:50:24.234173,2009-12-16 22:50:24.234196,90,2006-06-01
11,2009-12-16 22:50:24.235125,2009-12-16 22:50:24.235147,90,NA
12,2009-12-16 22:50:24.236034,2009-12-16 22:50:24.236055,90,2004-09-01
13,2009-12-16 22:50:24.237016,2009-12-16 22:50:24.237037,90,1998-09-15
14,2009-12-16 22:50:24.237998,2009-12-16 22:50:24.238020,90,1994-08-18
15,2009-12-16 22:50:24.238969,2009-12-16 22:50:24.238991,90,1992-02-01
16,2009-12-16 22:50:24.239934,2009-12-16 22:50:24.239955,90,1990-08-16
17,2009-12-16 22:50:24.240909,2009-12-16 22:50:24.240931,90,1977-02-16
18,2009-12-16 22:56:23.000717,2009-12-16 22:56:23.000741,90,1976-01-15
19,2009-12-16 22:56:23.002066,2009-12-16 22:56:23.002087,90,1976-01-15
20,2009-12-16 22:56:23.003030,2009-12-16 22:56:23.003052,90,1976-06-16
21,2009-12-16 23:31:13.741376,2009-12-16 23:31:13.741399,90,1973-06-16
22,2009-12-16 23:31:13.742763,2009-12-16 23:31:13.742785,90,1970-07-16
23,2010-01-13 17:30:06.874658,2010-01-13 17:30:06.874703,142,NA
24,2010-01-13 17:30:07.051424,2010-01-13 17:30:07.051475,142,NA
25,2010-01-13 18:12:17.100378,2010-01-13 18:12:17.100400,11,NA
27,2010-01-13 19:43:38.746723,2010-01-13 19:43:38.746746,295,2007-01-01
28,2010-01-13 19:43:38.747735,2010-01-13 19:43:38.747755,295,2005-01-01
29,2010-01-13 19:43:38.748582,2010-01-13 19:43:38.748603,295,2007-01-01
30,2010-01-14 20:43:59.095366,2010-01-14 20:47:57.488033,60,1999-01-20
31,2010-01-15 21:28:55.680500,2010-01-15 21:28:55.680522,77,1976-01-01
32,2010-01-15 21:28:55.699110,2010-01-15 21:28:55.699133,77,1985-01-01
33,2010-01-15 21:28:55.707218,2010-01-15 21:28:55.707239,77,1996-01-01
279,2010-01-17 17:35:00.975320,2010-01-30 17:01:53.491117,99,1968-11-15
347,2010-01-17 17:35:01.614652,2010-04-08 21:13:12.254048,1214,1983-11-01
348,2010-01-17 17:35:01.623834,2010-04-08 21:13:12.257443,1214,1985-01-01
280,2010-01-17 17:35:00.981546,2010-01-30 17:01:53.494539,99,1983-05-28
281,2010-01-17 17:35:00.996574,2010-01-30 17:01:53.497886,99,1983-08-12
282,2010-01-17 17:35:01.003025,2010-01-30 17:01:53.501199,99,1980-01-01
571,2010-02-09 19:08:47.771743,2010-02-09 19:08:47.771766,162,1972-01-01
417,2010-01-17 17:35:02.355353,2010-04-08 21:22:56.322747,1295,2001-04-02
419,2010-01-17 17:35:02.374191,2010-04-08 21:22:56.327628,1295,2006-05-15
67,2010-01-17 17:34:58.655879,2010-02-05 15:10:57.573582,398,1986-09-10
68,2010-01-17 17:34:58.661906,2010-02-05 15:10:57.577023,398,1999-02-01
