id,created_at,updated_at,persona_id,partido_id
1,2009-12-03 17:49:30.000000,2009-12-09 21:20:34.840455,141,4
2,2009-12-03 17:49:30.000000,2009-12-09 21:20:34.844224,141,4
3,2009-12-03 17:49:30.000000,2009-12-09 21:20:34.847917,141,4
7,2009-12-09 21:20:34.849699,2009-12-09 21:20:34.849721,141,4
8,2009-12-09 21:20:34.861556,2009-12-09 21:20:34.861578,141,4
12,2009-12-16 23:31:13.718108,2009-12-16 23:31:13.718138,90,3
13,2009-12-16 23:31:13.720506,2009-12-16 23:31:13.720532,90,2
14,2009-12-16 23:31:13.721483,2009-12-16 23:31:13.721505,90,2
15,2009-12-16 23:31:13.722450,2009-12-16 23:31:13.722472,90,2
16,2009-12-16 23:31:13.723422,2009-12-16 23:31:13.723444,90,2
1433,2010-12-09 21:22:45.115730,2010-12-09 21:22:45.115760,486,NA
42,2010-01-17 17:32:05.405883,2010-05-21 20:40:33.750003,310,66
43,2010-01-17 17:32:05.414997,2010-05-21 20:40:33.753377,310,66
44,2010-01-17 17:32:05.423654,2010-01-17 17:32:05.423689,313,4
47,2010-01-17 17:32:05.456831,2010-01-17 17:32:05.456865,313,60
56,2010-01-17 17:32:05.580075,2010-04-28 14:15:49.622538,108,2
57,2010-01-17 17:32:05.592644,2010-04-28 14:15:49.625938,108,2
72,2010-01-17 17:32:05.817674,2010-05-21 14:14:09.433802,391,3
73,2010-01-17 17:32:05.831010,2010-05-21 14:14:09.437493,391,3
74,2010-01-17 17:32:05.846076,2010-05-21 14:14:09.440881,391,3
101,2010-01-17 17:32:06.250420,2010-05-04 19:22:22.928439,28,2
102,2010-01-17 17:32:06.262577,2010-05-04 19:22:22.932382,28,2
105,2010-01-17 17:32:06.301024,2010-01-17 17:32:06.301074,28,2
61,2010-01-17 17:32:05.654560,2010-06-08 15:08:20.496329,341,7
45,2010-01-17 17:32:05.437128,2010-06-02 17:12:55.138667,313,34
46,2010-01-17 17:32:05.445039,2010-02-12 20:22:39.082101,313,34
107,2010-01-17 17:32:06.330959,2010-01-17 17:32:06.331009,28,2
41,2010-01-17 17:32:05.398023,2010-05-21 20:40:33.746121,310,4
19,2010-01-13 17:30:06.791260,2013-12-23 14:59:38.673171,142,10
857,2010-05-04 22:06:47.433706,2014-01-17 14:30:16.515971,809,4
858,2010-05-04 22:06:47.464549,2014-01-17 14:30:16.533169,809,7
859,2010-05-04 22:06:47.472232,2014-01-17 14:30:16.543579,809,7
