id,created_at,updated_at,nombre,imagen
2,2010-03-15 06:13:37.124360,2010-03-15 06:13:37.124403,NA,NA
3,2010-03-15 06:13:37.133962,2010-03-15 06:13:37.134004,NA,NA
4,2010-03-15 06:13:37.147330,2010-03-15 06:13:37.147368,NA,NA
5,2010-03-15 06:13:37.155374,2010-03-15 06:13:37.155411,NA,NA
6,2010-03-15 06:13:37.163100,2010-03-15 06:13:37.163138,NA,NA
7,2010-03-15 06:13:37.170661,2010-03-15 06:13:37.170697,NA,NA
8,2010-03-15 06:13:37.179167,2010-03-15 06:13:37.179207,NA,NA
9,2010-03-15 06:13:37.187787,2010-03-15 06:13:37.187829,NA,NA
10,2010-03-15 06:13:37.197249,2010-03-15 06:13:37.197301,NA,NA
11,2010-03-15 06:13:37.209025,2010-03-15 06:13:37.209076,NA,NA
13,2010-03-15 06:13:37.248651,2010-03-15 06:13:37.248704,NA,NA
14,2010-03-15 06:13:37.261223,2010-03-15 06:13:37.261275,NA,NA
15,2010-03-15 06:13:37.272907,2010-03-15 06:13:37.272959,NA,NA
16,2010-03-15 06:13:37.285448,2010-03-15 06:13:37.285502,NA,NA
17,2010-03-15 06:13:37.297291,2010-03-15 06:13:37.297343,NA,NA
18,2010-03-15 06:13:37.309081,2010-03-15 06:13:37.309134,NA,NA
19,2010-03-15 06:13:37.320565,2010-03-15 06:13:37.320615,NA,NA
20,2010-03-15 06:13:37.332088,2010-03-15 06:13:37.332140,NA,NA
21,2010-03-15 06:13:37.344005,2010-03-15 06:13:37.344060,NA,NA
5090,2011-03-03 18:06:14.456509,2011-03-03 18:06:14.456545,Juan Carlos Henao,imgs/citados/henao_.jpg
23,2010-03-15 06:13:37.375161,2010-03-15 06:13:37.375215,NA,NA
24,2010-03-15 06:13:37.389576,2010-03-15 06:13:37.389628,NA,NA
25,2010-03-15 06:13:37.400988,2010-03-15 06:13:37.401040,NA,NA
26,2010-03-15 06:13:37.413108,2010-03-15 06:13:37.413159,NA,NA
27,2010-03-15 06:13:37.424475,2010-03-15 06:13:37.424526,NA,NA
28,2010-03-15 06:13:37.436571,2010-03-15 06:13:37.436623,NA,NA
29,2010-03-15 06:13:37.448661,2010-03-15 06:13:37.448712,NA,NA
30,2010-03-15 06:13:37.472271,2010-03-15 06:13:37.472325,NA,NA
31,2010-03-15 06:13:37.483732,2010-03-15 06:13:37.483785,NA,NA
32,2010-03-15 06:13:37.492629,2010-03-15 06:13:37.492668,NA,NA
33,2010-03-15 06:13:37.502940,2010-03-15 06:13:37.502992,NA,NA
34,2010-03-15 06:13:37.520892,2010-03-15 06:13:37.520944,NA,NA
35,2010-03-15 06:13:37.543105,2010-03-15 06:13:37.543158,NA,NA
36,2010-03-15 06:13:37.554869,2010-03-15 06:13:37.554935,NA,NA
37,2010-03-15 06:13:37.568729,2010-03-15 06:13:37.568781,NA,NA
1,2010-03-15 06:13:37.110522,2017-06-08 19:48:12.426536,NA,NA
39,2010-03-15 06:13:37.592086,2010-03-15 06:13:37.592141,NA,NA
41,2010-03-15 06:13:37.616253,2010-03-15 06:13:37.616296,NA,NA
42,2010-03-15 06:13:37.632088,2010-03-15 06:13:37.632141,NA,NA
43,2010-03-15 06:13:37.658295,2010-03-15 06:13:37.658348,NA,NA
44,2010-03-15 06:13:37.672114,2010-03-15 06:13:37.672166,NA,NA
45,2010-03-15 06:13:37.690778,2010-03-15 06:13:37.690830,NA,NA
