id,control_politico_id,persona_id,asistencia_id,tipo_citado,activo,usercreated,usermodifed,created_at,updated_at
1,1976,18399,5,0,NA,NA,NA,NA,NA
2,1976,18396,5,0,NA,NA,NA,NA,NA
3,1976,18400,5,0,NA,NA,NA,NA,NA
4,2001,18399,5,0,NA,NA,NA,NA,NA
5,2001,18396,5,0,NA,NA,NA,NA,NA
6,2001,18416,5,0,NA,NA,NA,NA,NA
7,2001,18416,5,0,NA,NA,NA,NA,NA
8,2001,18417,5,0,NA,NA,NA,NA,NA
9,2024,18419,5,0,NA,NA,NA,NA,NA
10,2024,18420,5,0,NA,NA,NA,NA,NA
11,2024,18421,5,0,NA,NA,NA,NA,NA
12,2024,18423,5,0,NA,NA,NA,NA,NA
13,2024,18424,5,0,NA,NA,NA,NA,NA
14,2024,18425,5,0,NA,NA,NA,NA,NA
15,2024,18426,5,0,NA,NA,NA,NA,NA
16,2024,18427,5,0,NA,NA,NA,NA,NA
2460,25307,19768,NA,0,NA,NA,NA,NA,NA
2461,25307,19769,NA,0,NA,NA,NA,NA,NA
201,3475,18399,5,0,NA,NA,NA,NA,NA
1908,20907,19496,5,0,NA,NA,NA,NA,NA
1909,20907,18482,5,0,NA,NA,NA,NA,NA
1910,20907,17379,5,0,NA,NA,NA,NA,NA
1924,21143,19468,5,0,NA,NA,NA,NA,NA
2093,181,19107,5,0,NA,NA,NA,NA,NA
2094,181,19680,5,0,NA,NA,NA,NA,NA
2105,23659,19064,5,0,NA,NA,NA,NA,NA
2106,23659,19065,5,0,NA,NA,NA,NA,NA
2107,23659,18416,5,0,NA,NA,NA,NA,NA
31,2279,18452,1,0,NA,NA,NA,NA,NA
32,2279,18453,5,0,NA,NA,NA,NA,NA
34,2284,18454,1,0,NA,NA,NA,NA,NA
35,2284,18458,5,0,NA,NA,NA,NA,NA
36,2283,18459,5,0,NA,NA,NA,NA,NA
37,2283,18411,5,0,NA,NA,NA,NA,NA
48,2401,18479,1,0,NA,NA,NA,NA,NA
49,2401,18480,5,0,NA,NA,NA,NA,NA
65,2553,18421,5,0,NA,NA,NA,NA,NA
66,2553,18419,5,0,NA,NA,NA,NA,NA
67,2553,18420,5,0,NA,NA,NA,NA,NA
