id,control_politico_id,persona_id
68306,22629,9
68307,22629,189
68342,21803,1819
59550,8630,11
59551,8630,14
68343,21803,39
59640,9022,10
59641,9022,1260
59917,10395,97
59918,10395,906
59919,10395,100
59920,10395,62
59921,10395,47
68344,21803,875
68345,21803,77
68346,21803,2447
68347,21803,59
68427,20209,1178
68428,20209,2083
68429,20209,1894
68430,20209,183
68496,19636,1615
68576,18318,48
68577,18318,668
68578,18318,1486
68613,27582,862
63872,25835,257
58713,16943,74
58897,17394,318
59141,17952,2697
59142,17952,1219
59143,17952,127
65578,27597,2017
65579,27597,836
65580,27597,142
65581,27597,2448
65582,27597,2514
65583,27597,819
65584,27597,2108
83731,49777,446
83732,49651,2233
63910,25980,177
63911,25980,258
63912,25989,248
63913,25989,190
63914,25989,111
63915,26003,512
63916,26003,248
63917,26003,212
63918,26003,134
63919,26004,121
63924,26005,512
63925,26005,248
63926,26005,212
63927,26005,134
74361,40535,1201
74362,40535,1631
74363,40535,873
63544,25113,77
63549,25119,36
74733,41875,242
74734,41875,2443
74735,41875,590
74736,41875,189
74737,41875,6099
74910,41974,1279
74911,41974,59
74912,41974,2600
74913,41974,77
74914,41974,2447
74915,41974,153
74916,41974,1819
74917,41974,507
75415,42421,2080
75416,42421,2506
63611,25155,288
63612,25155,66
63613,25155,290
63614,25155,1486
63615,25155,1805
63616,25155,48
63617,25155,2231
63618,25155,88
63619,25155,2233
63620,25155,763
63621,25155,668
63622,25155,2462
63623,25155,1055
75417,42421,2539
63681,25266,50
63682,25266,19
63683,25266,511
63684,25269,50
63685,25270,50
63686,25271,50
139,57,921
63687,25272,50
63688,25272,511
63689,25273,50
63690,25273,511
63691,25275,97
63692,25275,50
63694,25295,96
65599,27533,297
65600,27533,131
65601,27533,4
155,64,329
156,64,6
157,64,357
158,64,28
159,64,511
160,64,591
161,64,601
162,64,631
163,64,662
164,64,686
165,64,753
166,64,879
167,64,906
168,64,963
169,64,992
170,64,101
171,64,1022
172,64,242
173,65,734
174,65,1022
175,65,1064
65602,27533,566
83733,50064,2499
63724,25197,1201
63725,25410,1168
63726,25410,922
63727,25410,172
63728,25410,103
63729,25412,75
63730,25412,493
63731,25412,999
63732,25417,9
63733,25417,75
63734,25417,493
63735,25424,93
63736,25425,122
63737,25426,193
197,79,10
198,79,14
199,79,511
200,79,668
201,79,811
202,79,77
203,79,29
204,79,61
205,79,1260
206,79,48
58714,16949,793
58715,16949,314
58898,17397,130
58899,17397,2107
58900,17397,922
58901,17397,1166
58902,17397,311
59390,8496,1248
59391,8496,1260
59392,8496,1255
59552,9955,66
59553,9955,668
59554,9955,46
59555,9955,88
59556,9955,1276
59557,9955,61
59558,9955,1055
60092,18764,50
59642,7493,1191
59643,7493,201
59644,7493,398
59645,7493,1264
229,83,9
230,83,14
231,83,25
232,83,28
233,83,505
234,83,61
59646,7493,113
59647,7493,117
59648,7493,123
59922,9595,2600
59923,9595,921
59924,9595,59
59925,9595,77
60093,18764,1277
83734,50064,2502
83735,50064,9129
83736,50064,2508
60302,19220,2489
63738,25426,250
248,91,668
249,91,77
60601,19706,131
60602,19706,1173
83737,50064,9427
63739,25426,166
63740,25432,612
63741,25432,519
63742,25432,12
63743,25432,49
63744,25432,55
63745,25432,60
63746,25432,93
63747,25432,1278
63748,25453,612
63749,25453,519
63750,25453,12
63751,25453,49
57039,8091,2600
57040,8091,1257
63752,25453,55
63753,25453,60
63754,25453,93
63755,25453,1278
63757,25463,894
63758,25495,1167
57267,9713,896
63759,25499,2489
63760,25505,318
63761,25517,38
83738,50064,2484
57927,13111,10
