id,nombre,departamento_id
1,Cali,32
2,Bucaramanga,29
4,Bogotá,1
5,Barranquilla,5
6,Cúcuta,24
7,Palmira,32
8,Popayán,11
9,San Gil,29
10,Rivera,18
11,Pereira,27
12,Medellín,3
13,Purificacion,31
14,Carmen de Bolivar,6
15,Montelibano,14
16,Duitama,7
18,Ansermanuevo,32
19,Magangué,6
21,Moniquirá,7
22,Nimaima,15
24,Pinillos,6
25,Tarazá,3
26,Líbano,31
27,Cartago,32
28,Socorro,29
29,Cimitarra,29
31,Tocaima,15
32,Mocoa,25
33,Chitaraque,7
34,San Calixto,24
35,Bugalagrande,32
36,Choachí,15
37,Guasca,15
38,Cómbita,7
39,Cerrito,29
40,Tenerife,20
41,Sincelejo,30
43,Florida,32
44,Lorica,14
45,Santa Isabel,31
46,San Vicente de Chucurí,29
47,Florencia,9
48,Manizales,8
49,Chiquinquirá,7
50,Paz de Ariporo,10
51,Marinilla,3
52,Bello,3
53,Fusagasugá,15
54,Sonsón,3
55,Villa del Rosario,24
56,San Jerónimo,3
57,Valledupar,12
58,Yopal,10
59,Girón,29
60,Tarso,3
61,San Martín,22
62,La Celia,27
63,Campoalegre,18
64,La Plata,18
65,La Paz,29
66,Cachipay,15
67,Río Frío,32
68,Sahagún,14
69,Barranco de Loba,6
70,Rionegro,3
72,Caparrapí,15
73,San Juan del Cesar,19
74,Santa Marta,20
75,Cubarral,22
76,Neiva,18
80,Floridablanca,29
81,Támesis,3
82,Piedecuesta,29
83,Arauca,4
84,Gámbita,29
85,Pradera,32
86,Bogotá,1
87,Corozal,30
88,Andes,3
89,Candelaria,32
90,Sitio Nuevo,20
91,San Andrés,28
92,Garagoa,7
99,Briceño,7
100,Marsella,27
101,Cartagena,6
102,Duitama,7
103,Timbiquí,11
104,Cereté,14
107,Villavicencio,22
108,San Pedro de los Milagros,3
109,Sevilla,32
110,Bolivar,11
111,Sogamoso,7
112,Teruel,18
113,Chinácota,24
114,Yumbo,32
115,Leticia,2
116,Montería,14
117,Fundación,20
118,Yacopí,15
119,Guamo,31
120,Valle de San Juan,31
121,Ovejas,30
127,Miami EEUU,36
129,Melgar,31
130,Remedios,3
132,Guaitarilla,23
135,Barbosa,29
136,Calarcá,26
137,Espinal,31
138,Andalucía,32
140,San Pablo,6
141,Carmen,6
142,Iles,23
143,La Paz,12
146,Ibagué,31
147,Armenia,26
152,Cumbal,23
154,Pasto,23
157,Belén de Umbria,27
174,El Banco,20
159,San Bernardo del Viento,14
161,Monterrey,10
163,Frontino,3
164,Guaranda,30
165,Miraflores,17
17,Sincé,30
349,Totoró,11
166,Ocaña,24
167,Chiriguaná,12
168,Fundación,20
169,Pensilvania,8
170,Taminango,23
171,Pijao,26
172,Villahermosa,31
173,Labranzagrande,7
350,Guepsa,29
288,Güicán,7
175,Icononzo,31
176,Ciénaga,20
177,El Cerrito,32
178,Carolina del Príncipe,3
179,Envigado,3
