id,created_at,updated_at,nombre,fecha_fundacion,direccion,direccion,estatutos
102,2010-01-17 17:19:23.640196,2010-03-18 19:46:21.971417,Popular Colombiano - Movimiento Nacional C,NA,NA,NA,NA
27,2010-01-17 17:19:23.307205,2010-01-17 21:01:42.240185,Movimiento Ciudadano,NA,NA,NA,NA
32,2010-01-17 17:19:23.328352,2010-01-17 21:01:43.166014,Movimiento Comunitario,NA,NA,NA,NA
57,2010-01-17 17:19:23.460979,2010-01-17 21:01:40.953716,Movimiento 98,NA,NA,NA,NA
59,2010-01-17 17:19:23.479285,2010-01-17 21:01:42.129743,Movimiento Bolivariano,NA,NA,NA,NA
65,2010-01-17 17:19:23.509876,2010-01-17 21:01:43.282583,Movimiento Conservatismo,NA,NA,NA,NA
100,2010-01-17 17:19:23.633481,2011-05-11 15:29:25.992579,Nacional Cristiano,NA,NA,NA,NA
70,2010-01-17 17:19:23.526239,2010-01-17 21:01:45.742233,Movimiento Humbertista,NA,NA,NA,NA
74,2010-01-17 17:19:23.538413,2010-01-17 21:01:46.215354,Movimiento Nacional Conservador,NA,NA,NA,NA
75,2010-01-17 17:19:23.541532,2010-01-17 21:01:46.338961,Movimiento Nacional Conservador - Alianza Nacional,NA,NA,NA,NA
53,2010-01-17 17:19:23.451914,2010-01-18 17:21:11.336694,Coalición,NA,NA,NA,NA
55,2010-01-17 17:19:23.456716,2010-01-18 17:21:45.773930,"Educación, Trabajo y Cambio Social",NA,NA,NA,NA
54,2010-01-17 17:19:23.454619,2010-01-18 17:21:26.540451,Coalición Partido Liberal Colombiano,NA,NA,NA,NA
73,2010-01-17 17:19:23.535373,2011-05-17 15:29:43.047713,Movimiento Nacional,NA,Edificio Nuevo delCongreso Of. 525 y 526,Edificio Nuevo delCongreso Of. 525 y 526,NA
60,2010-01-17 17:19:23.491974,2010-01-18 23:07:37.896460,Movimiento Cívico Independiente - Cpc-Movimiento D,NA,NA,NA,NA
76,2010-01-17 17:19:23.544691,2010-01-18 23:08:52.284789,Movimiento Nacional Conservador - Partido Conservador,NA,NA,NA,NA
77,2010-01-17 17:19:23.547795,2010-01-18 23:09:05.016671,Movimiento Nacional Conservador-Partido Conservador,NA,NA,NA,NA
79,2010-01-17 17:19:23.553910,2010-01-18 23:09:22.316430,Movimiento Nueva Fuerza Democrática/Conservador,NA,NA,NA,NA
