id,created_at,updated_at,nombres,apellidos,fechaNacimiento,municipio_nacimiento_id,grado_estudios,profesion_id,genero_id,fecha_fallecimiento
2991,2010-09-17 19:57:15.553883,2010-09-17 20:53:30.259098,NA,NA,NA,NA,NA,NA,NA,NA
293,2010-01-12 17:13:56.029256,2010-01-12 17:14:38.564659,NA,NA,NA,NA,NA,NA,NA,NA
2270,2010-02-20 16:48:31.763284,2010-02-20 16:48:31.763332,NA,NA,NA,NA,NA,NA,NA,NA
2548,2010-05-05 02:31:04.155660,2010-05-05 02:37:00.077190,Victor,Alvarez|,NA,NA,NA,NA,NA,NA
3535,2011-03-17 13:33:52.069837,2011-03-17 13:33:52.404201,NA,NA,NA,NA,NA,NA,NA,NA
4057,2011-06-26 19:09:10.579258,2011-06-26 19:09:10.698616,NA,NA,NA,NA,NA,NA,NA,NA
1325,2010-01-18 22:10:15.291312,2010-09-13 14:07:40.591558,German,Avellaneda Ballen,NA,86,NA,NA,NA,NA
2918,2010-08-30 22:23:23.390411,2010-08-30 22:23:37.641257,NA,NA,NA,NA,NA,NA,NA,NA
3020,2010-09-25 13:55:51.446550,2010-09-25 13:57:51.650607,NA,NA,NA,NA,NA,NA,NA,NA
4190,2011-07-28 13:10:06.920088,2011-07-28 13:10:06.929216,NA,NA,NA,NA,NA,NA,NA,NA
2923,2010-09-02 20:37:29.959364,2011-01-18 04:40:43.102693,NA,NA,NA,NA,NA,NA,NA,NA
3925,2011-05-30 15:20:31.325914,2011-07-26 16:01:08.322206,Francisco,Álvarez,NA,NA,NA,NA,NA,NA
3661,2011-04-12 17:15:32.414939,2011-04-12 17:16:30.963669,NA,NA,NA,NA,NA,NA,NA,NA
2922,2010-08-31 22:18:07.989092,2010-12-16 19:13:02.297443,Carolina,Saldarriaga,NA,NA,NA,NA,NA,NA
4959,2012-01-19 22:10:02.864991,2012-01-19 22:10:03.035942,NA,NA,NA,NA,NA,NA,NA,NA
3135,2010-10-21 00:00:10.586002,2010-10-21 00:00:10.586023,NA,NA,NA,NA,NA,NA,NA,NA
2924,2010-09-02 22:06:59.845093,2010-09-02 22:16:05.163238,Edgar David,Mayordomo Tavera,1988-04-14,86,NA,NA,NA,NA
3522,2011-03-14 16:12:26.200107,2011-03-14 16:12:26.255666,NA,NA,NA,NA,NA,NA,NA,NA
6537,2013-04-29 15:44:47.233367,2013-04-29 15:45:09.237252,NA,NA,NA,NA,NA,NA,NA,NA
5345,2012-04-26 15:13:03.531294,2012-04-26 15:13:03.600416,NA,NA,NA,NA,NA,NA,NA,NA
6539,2013-04-29 20:28:57.975791,2013-04-29 20:29:16.939398,NA,NA,NA,NA,NA,NA,NA,NA
6821,2013-07-11 21:59:02.688350,2013-07-11 21:59:02.838185,NA,NA,NA,NA,NA,NA,NA,NA
6566,2013-05-07 14:17:23.655948,2013-05-07 14:18:48.739162,NA,NA,NA,NA,NA,NA,NA,NA
6651,2013-05-30 18:19:22.871323,2013-05-30 18:20:15.079550,NA,NA,NA,NA,NA,NA,NA,NA
6864,2013-08-03 13:52:30.365348,2013-08-03 13:52:30.653966,NA,NA,NA,NA,NA,NA,NA,NA
7057,2013-10-07 20:52:34.132011,2013-10-07 20:56:02.537786,NA,NA,NA,NA,NA,NA,NA,NA
4068,2011-06-29 00:57:30.773471,2011-06-29 01:00:57.998330,NA,NA,NA,NA,NA,NA,NA,NA
1492,2010-01-26 21:06:04.686861,2013-11-15 14:14:45.785283,Myriam,Pulido Oviedo,NA,107,Po,184,2,NA
1536,2010-01-27 16:52:58.852982,2013-11-15 14:14:46.534442,Luis Carlos,Robayo,NA,NA,NA,NA,1,NA
280,2010-01-10 23:01:09.054755,2013-11-15 14:14:50.329972,Emel,Rojas Castillo,NA,NA,U,NA,1,NA
274,2010-01-10 21:59:02.607021,2013-11-15 14:14:52.626446,Wilson Benjamin,Rey,NA,NA,NA,NA,1,NA
1914,2010-02-05 17:51:12.244832,2013-11-15 14:15:03.608542,Segundo Noe,Viancha Viancha,NA,NA,NA,NA,1,NA
272,2010-01-10 20:34:53.695215,2013-11-15 14:15:20.465734,Juan Camilo,Montes Pineda,NA,NA,U,NA,1,NA
7162,2013-11-08 21:37:27.280206,2013-11-08 21:43:58.153044,DAVID ALEJANDRO,MARTINEZ BECERRA,NA,1,NA,NA,NA,NA
3342,2011-01-18 13:15:51.593785,2011-01-18 13:18:07.378772,NA,NA,NA,NA,NA,NA,NA,NA
3536,2011-03-17 21:54:37.373725,2011-03-17 21:55:00.246516,NA,NA,NA,NA,NA,NA,NA,NA
9973,2014-06-09 19:00:21.932257,2014-06-09 19:08:19.759013,Harold,Díaz,NA,NA,NA,NA,NA,NA
9972,2014-06-09 15:25:59.868845,2014-08-05 10:57:49.280555,Jaime,Alejandro Amin,NA,NA,NA,NA,NA,NA
6997,2013-09-12 19:21:09.969815,2013-12-27 22:47:52.555578,Alexis,Diaz,NA,NA,NA,NA,NA,NA
263,2010-01-07 17:14:54.867634,2015-11-24 17:17:16.081425,NA,NA,NA,NA,NA,NA,NA,NA
1556,2010-01-27 18:45:47.539930,2014-07-18 10:03:38.471401,Claudia Patricia,Lascarro Torres,NA,NA,NA,NA,2,NA
2992,2010-09-17 20:42:51.953992,2010-11-02 22:07:23.609483,Clara,López Obregón,NA,NA,NA,NA,NA,NA
4336,2011-08-15 12:11:40.803404,2011-08-15 12:51:05.363078,NA,NA,NA,NA,NA,NA,NA,NA
271,2010-01-10 19:39:27.604223,2018-01-22 16:10:23.074291,Pierre,Onzaga Ramirez,NA,NA,U,NA,1,NA
1935,2010-02-05 19:39:04.402892,2018-01-23 20:00:12.762699,Wilson,Arango Florez,NA,NA,NA,NA,1,NA
