id,created_at,updated_at,nombre
2,2010-06-08 20:46:57.710407,2010-06-08 20:46:57.710447,"Ministro de Hacienda y Crédito Público, Oscar Iván Zuluaga"
3,2010-06-08 20:54:30.972999,2010-07-15 19:31:24.157616,"Ministra de Educación Nacional, Cecilia María Vélez White"
4,2010-06-08 20:57:15.531075,2010-06-08 20:57:15.531116,"Ministro del Interior y de Justicia, Fabio Valencia Cossio"
5,2010-06-08 21:01:41.283429,2010-06-08 21:01:41.283474,"Ministro de la Protección Social, Diego Palacio Betancourt"
7,2010-06-08 21:41:16.756340,2010-06-08 21:41:16.756395,"Ministro de Transporte, Andrés Uriel Gallego"
8,2010-06-08 21:48:08.161423,2010-06-08 21:48:08.161466,"Ministra de Tecnologías de la Información y las Comunicaciones, María del Rosario Guerra de la Espriella"
90,2010-12-06 14:32:42.853931,2010-12-06 14:32:42.853977,"Viceministro de Minas y Energía, Tomás González"
11,2010-06-24 21:57:54.744069,2010-06-24 21:57:54.744113,Iniciativa Popular
6,2010-06-08 21:07:14.411967,2010-06-08 21:07:14.412010,"Viceministro de Justicia y del Derecho, Miguel Ceballos"
15,2010-06-25 13:07:58.586409,2010-06-25 13:07:58.586465,"Ministro de Comercio, Industria y Turismo, Luis Guillermo Plata"
16,2010-06-25 13:12:59.767999,2010-06-25 13:12:59.768041,"Ministro de Ambiente, Vivienda y Desarrollo Territorial, Juan Lozano Ramírez"
17,2010-06-25 22:32:17.872418,2010-06-25 22:32:17.872479,"Fiscal General de la Nación, (E) Guillermo Mendoza Diago"
18,2010-06-28 18:46:17.308706,2010-06-28 18:46:17.308743,"Ministro de Defensa Nacional, Juan Manuel Santos"
10,2010-06-24 20:02:22.233297,2010-06-24 20:02:22.233333,"Procurador General de la Nación, Edgardo José Maya Villazón"
20,2010-06-28 20:15:41.947906,2010-06-28 20:15:41.947947,"Ministro de Defensa Nacional, Gabriel Silva Luján"
12,2010-06-24 22:15:21.742433,2010-06-24 22:15:21.742469,"Ministro de Agricultura y Desarrollo Rural, Andrés Fernández"
43,2010-07-10 23:20:38.849247,2010-07-10 23:20:38.849283,"Viceministra de Hacienda y Crédito Público, Gloria Inés Cortés Arango"
22,2010-06-29 15:42:32.611896,2010-06-29 15:42:32.611929,"Contralor General de la Nación, Julio César Turbay Quintero"
23,2010-06-29 20:39:36.509611,2010-06-29 20:43:02.569627,"Ministro de Relaciones Exteriores, Guillermo Fernández de Soto"
13,2010-06-24 22:15:43.111013,2010-07-10 16:58:55.545308,"Ministro de Agricultura y Desarrollo Rural, Andrés Felipe Arias Leiva"
24,2010-06-29 20:40:20.076542,2010-06-29 20:42:46.156319,"Ministra de Comercio Exterior, Marta Lucía Ramírez"
26,2010-06-29 23:14:03.435479,2010-06-29 23:15:58.207439,"Ministra de Relaciones Exteriores, Carolina Barco Isackson"
30,2010-06-30 21:21:50.847875,2010-08-18 16:31:53.395303,"Presidente Consejo de Estado, Ramiro Saavedra Becerra"
31,2010-07-01 20:38:45.197403,2010-07-01 20:38:45.197437,"Ministra de Relaciones Exteriores, María Emma Mejía Vélez"
28,2010-06-30 21:20:31.824360,2010-06-30 21:20:31.824404,"Fiscal General de la Nación, Mario Iguarán Arana"
29,2010-06-30 21:21:31.726264,2010-06-30 21:21:31.726298,"Presidente Corte Suprema de Justicia, Yesid Ramírez Bastidas"
32,2010-07-07 15:41:26.211844,2010-07-07 15:41:26.211883,"Ministro del Interior y de Justicia, Carlos Holguín Sardi"
33,2010-07-07 16:19:14.471322,2010-07-07 16:19:14.471358,"Ministro de Comercio, Industria y Turismo, Jorge Humberto Botero"
34,2010-07-07 16:49:33.809581,2010-07-07 16:49:33.809624,"Ministro de Relaciones Exteriores, María Consuelo Araújo Castro"
52,2010-08-18 16:35:47.358341,2012-08-02 18:42:32.669376,"Ministro de Hacienda y Crédito Público, Juan Carlos Echeverry"
36,2010-07-07 17:20:54.303632,2010-07-07 17:20:54.303665,"Ministro de Relaciones Exteriores, Fernando Araújo Perdomo"
37,2010-07-07 17:34:53.116545,2010-07-07 17:34:53.116590,"Ministra de Cultura, Elvira Cuervo de Jaramillo"
38,2010-07-07 17:46:53.610656,2010-07-07 17:46:53.610695,"Ministro de Minas y Energía, Luis Ernesto Mejía Castro"
39,2010-07-07 17:59:19.611833,2010-07-07 17:59:19.611881,"Ministra de Ambiente, Vivienda y Desarrollo Territorial, Sandra Suárez Pérez"
21,2010-06-28 21:57:22.960598,2010-07-07 19:26:35.845474,"Ministro del Interior y de Justicia, Sabas Pretelt de la Vega"
40,2010-07-09 14:43:46.041142,2010-07-09 14:43:46.041174,"Viceministro de Agricultura y Desarrollo Rural, Juan Camilo Salazar Rueda"
41,2010-07-09 20:50:33.357778,2010-07-09 20:50:33.357815,"Defensor del Pueblo, Volmar Pérez Ortiz"
42,2010-07-10 23:17:25.627253,2010-07-10 23:17:25.627281,"Viceministro de Relaciones Exteriores, Camilo Reyes Rodríguez"
44,2010-07-11 23:42:16.438636,2010-07-11 23:42:16.438670,"Presidente del Consejo Superior de la Judicatura, José Alfredo Escobar Araujo"
45,2010-07-13 20:58:08.666627,2010-07-13 20:58:08.666671,"Viceministra de Medio Ambiente, Claudia Patricia Mora Pineda"
35,2010-07-07 17:04:04.735999,2010-07-13 21:28:15.025797,"Viceministra de Cultura, María Cecilia Donado García"
46,2010-07-14 17:17:46.295873,2010-07-14 17:17:46.295917,"Presidenta Consejo Nacional Electoral, Clelia América Sánchez de Alfonso"
47,2010-07-14 20:05:01.253592,2010-07-14 20:05:01.253624,"Ministro de Defensa Nacional, Camilo Ospina Bernal"
48,2010-08-04 20:48:00.324070,2010-08-18 16:25:34.608311,"Vocero Federación Nacional de Concejos, Antonio Galán Sarmiento"
49,2010-08-05 20:15:09.224872,2010-08-05 21:58:09.853213,"Ministro de Ambiente Vivienda y Desarrollo Territorial, Carlos Costa Posada"
14,2010-06-25 13:04:40.979616,2010-08-10 20:11:44.099592,"Ministra de Cultura, Paula Marcela Moreno Zapata"
50,2010-08-18 16:20:15.784913,2010-08-18 16:20:15.784954,"Ministro del Interior y de Justicia, Germán Vargas Lleras"
51,2010-08-18 16:34:11.503519,2010-08-18 16:34:11.503560,"Ministra de Relaciones Exteriores, María Angela Holguín"
53,2010-08-18 16:37:30.427379,2010-08-18 16:37:30.427417,"Ministro de Defensa Nacional, Rodrigo Rivera Salazar"
54,2010-08-23 15:04:36.089823,2010-08-23 15:04:36.089867,"Ministro de la Protección Social, Mauricio Santamaría Salamanca"
55,2010-08-23 15:06:05.812944,2010-08-23 15:06:05.812983,"Ministro de Comercio, Industria y Turismo, Sergio Diazgranados Guida"
56,2010-08-24 21:07:51.343172,2010-08-24 21:07:51.343216,"Presidente del Consejo de Estado, Rafael Ostau De Lafont"
57,2010-08-24 21:45:44.072572,2010-08-24 21:45:44.072606,"Directora del Departamento Administrativo de la Función Pública,  Elizabeth  Rodríguez  Taylor."
112,2011-01-26 18:23:36.235142,2011-01-26 18:23:36.235200,"Fiscal General de la Nación, Jaime Córdoba triviño"
83,2010-11-10 19:05:27.732832,2010-11-10 19:05:27.732872,"Ministro del Interior y de Justicia, Fernando Londoño Hoyos"
84,2010-11-10 21:50:59.956093,2010-11-10 21:50:59.956133,"Defensor del Pueblo, Eduardo Cifuentes Muñoz"
85,2010-11-12 14:50:17.337594,2010-11-12 14:50:17.337629,"Viceministro de Hacienda y Crédito Público,  Juan Ricardo Ortega López"
86,2010-11-12 15:23:10.344413,2010-11-12 15:23:10.344456,"Ministro (E)  de Relaciones Exteriores, Jaime Girón Duarte"
59,2010-08-25 17:06:10.187316,2010-08-25 17:07:26.021081,"Procurador General de la Nación, Alejandro Ordoñez Maldonado"
64,2010-09-01 19:26:58.068972,2010-09-01 19:26:58.069016,"Presidente Consejo Electoral, Oscar Giraldo Jiménez"
63,2010-08-30 20:57:41.374111,2010-08-30 20:58:52.410358,"Presidente del Consejo Nacional Electoral, Ciro Muñoz Oñate"
66,2010-09-02 16:28:17.033743,2010-09-02 16:28:17.033805,"Ministro de Minas y Energía, Carlos Rodado Noriega"
67,2010-09-02 19:56:41.726439,2010-09-02 19:56:41.726469,"Contralor Encargado, Roberto Pablo Hoyos Botero"
69,2010-09-08 16:41:31.949876,2010-09-08 16:41:31.949915,"Ministro de Agricultura y Desarrollo Rural, Juan Camilo Restrepo"
70,2010-09-09 20:38:21.151113,2010-09-09 20:38:21.151155,"Viceministro de Desarrollo Económico, Juan Alfredo Pinto Saavedra"
71,2010-09-09 21:13:21.038909,2010-09-09 21:13:21.038940,"Procurador General de la Nación, Jaime Bernal Cuellar"
