id,persona_id,tipo_autor_id,proyecto_ley_id,created_at,updated_at,activo,usercreated,usermodifed
26894,50,114,6160,2011/04/14 14:29:35,2011/04/14 14:29:35,NA,NA,NA
26898,132,114,5043,2011/04/14 21:18:36,2011/04/14 21:18:36,NA,NA,NA
26900,50,114,6163,2011/04/15 18:07:47,2011/04/15 18:07:47,NA,NA,NA
26924,141,114,5067,2011/04/18 20:44:33,2011/04/18 20:44:33,NA,NA,NA
26761,53,114,6128,2011/03/30 18:27:08,2011/03/30 18:27:08,NA,NA,NA
26764,50,114,6129,2011/03/30 18:45:14,2011/03/30 18:45:14,NA,NA,NA
26765,136,114,4881,2011/03/30 19:55:21,2011/03/30 19:55:21,NA,NA,NA
26766,136,114,4959,2011/03/30 22:11:14,2011/03/30 22:11:14,NA,NA,NA
26767,134,114,4959,2011/03/30 22:11:31,2011/03/30 22:11:31,NA,NA,NA
26768,136,114,4960,2011/03/30 22:47:54,2011/03/30 22:47:54,NA,NA,NA
26769,120,114,4960,2011/03/30 22:48:17,2011/03/30 22:48:17,NA,NA,NA
26770,134,114,4960,2011/03/30 22:48:31,2011/03/30 22:48:31,NA,NA,NA
26771,23,114,4878,2011/03/30 22:56:02,2011/03/30 22:56:02,NA,NA,NA
26772,130,114,4878,2011/03/30 22:56:19,2011/03/30 22:56:19,NA,NA,NA
26773,120,114,4882,2011/03/30 22:58:19,2011/03/30 22:58:19,NA,NA,NA
26777,134,114,4889,2011/04/01 21:21:51,2011/04/01 21:21:51,NA,NA,NA
11659,104,114,4322,2010/01/29 01:10:40,2011/01/21 21:46:55,NA,NA,NA
26782,50,114,6135,2011/04/04 19:30:12,2011/04/04 19:30:12,NA,NA,NA
26783,50,114,6136,2011/04/04 19:32:02,2011/04/04 19:32:02,NA,NA,NA
26786,139,114,4966,2011/04/05 21:26:31,2011/04/05 21:26:31,NA,NA,NA
26787,129,114,4980,2011/04/05 21:40:26,2011/04/05 21:40:26,NA,NA,NA
26788,51,114,6139,2011/04/06 14:20:47,2011/04/06 14:20:47,NA,NA,NA
26789,53,114,6139,2011/04/06 14:25:23,2011/04/06 14:25:23,NA,NA,NA
26790,51,114,6140,2011/04/06 14:27:00,2011/04/06 14:27:00,NA,NA,NA
26791,140,114,6140,2011/04/06 14:31:54,2011/04/06 14:31:54,NA,NA,NA
26792,51,114,6141,2011/04/06 14:49:18,2011/04/06 14:49:18,NA,NA,NA
27133,10,24,6197,2011/05/23 16:52:21,2011/05/23 16:52:21,NA,NA,NA
26793,65,114,6141,2011/04/06 14:49:43,2011/04/06 14:49:43,NA,NA,NA
26794,51,114,6142,2011/04/06 14:57:18,2011/04/06 14:57:18,NA,NA,NA
26795,65,114,6142,2011/04/06 14:57:35,2011/04/06 14:57:35,NA,NA,NA
26796,51,114,6143,2011/04/06 15:50:59,2011/04/06 15:50:59,NA,NA,NA
26797,65,114,6143,2011/04/06 15:51:16,2011/04/06 15:51:16,NA,NA,NA
26798,65,114,6144,2011/04/06 15:56:28,2011/04/06 15:56:28,NA,NA,NA
26799,51,114,6144,2011/04/06 15:56:46,2011/04/06 15:56:46,NA,NA,NA
26800,51,114,6145,2011/04/06 16:31:35,2011/04/06 16:31:35,NA,NA,NA
26801,52,114,6145,2011/04/06 16:31:56,2011/04/06 16:31:56,NA,NA,NA
26802,51,114,6146,2011/04/06 16:36:51,2011/04/06 16:36:51,NA,NA,NA
26803,55,114,6146,2011/04/06 16:37:12,2011/04/06 16:37:12,NA,NA,NA
26804,136,114,4962,2011/04/06 21:29:48,2011/04/06 21:29:48,NA,NA,NA
26805,134,114,4962,2011/04/06 21:30:07,2011/04/06 21:30:07,NA,NA,NA
27134,24,114,5315,2011/05/25 16:17:38,2011/05/25 16:17:38,NA,NA,NA
27138,148,114,6200,2011/05/27 20:28:55,2011/05/27 20:28:55,NA,NA,NA
27139,66,114,6200,2011/05/27 20:29:44,2011/05/27 20:29:44,NA,NA,NA
27140,52,114,6200,2011/05/27 20:30:15,2011/05/27 20:30:15,NA,NA,NA
27141,134,114,5334,2011/05/30 19:41:16,2011/05/30 19:41:16,NA,NA,NA
27142,149,114,5334,2011/05/30 19:44:32,2011/05/30 19:44:32,NA,NA,NA
27143,23,114,5291,2011/05/30 20:39:24,2011/05/30 20:39:24,NA,NA,NA
26823,50,114,6147,2011/04/08 14:50:05,2011/04/08 14:50:05,NA,NA,NA
26824,50,114,6148,2011/04/08 14:53:12,2011/04/08 14:53:12,NA,NA,NA
27144,134,114,5291,2011/05/30 20:39:39,2011/05/30 20:39:39,NA,NA,NA
12505,124,114,4585,2010/01/29 01:10:50,2011/02/16 15:28:46,NA,NA,NA
26830,50,114,6151,2011/04/08 15:34:16,2011/04/08 15:34:16,NA,NA,NA
26833,23,114,4986,2011/04/08 22:16:34,2011/04/08 22:16:34,NA,NA,NA
26834,120,114,4986,2011/04/08 22:17:15,2011/04/08 22:17:15,NA,NA,NA
26835,23,114,4987,2011/04/08 22:41:18,2011/04/08 22:41:18,NA,NA,NA
26837,23,114,4988,2011/04/08 23:05:51,2011/04/08 23:05:51,NA,NA,NA
26838,23,114,4989,2011/04/08 23:46:48,2011/04/08 23:46:48,NA,NA,NA
26839,134,114,4989,2011/04/08 23:47:35,2011/04/08 23:47:35,NA,NA,NA
26840,23,114,4990,2011/04/08 23:56:56,2011/04/08 23:56:56,NA,NA,NA
26841,123,114,4990,2011/04/08 23:57:37,2011/04/08 23:57:37,NA,NA,NA
26856,50,114,6157,2011/04/12 17:06:36,2011/04/12 17:06:36,NA,NA,NA
26875,50,114,6159,2011/04/13 14:28:06,2011/04/13 14:28:06,NA,NA,NA
26879,132,114,5023,2011/04/13 16:59:03,2011/04/13 16:59:03,NA,NA,NA
26890,23,114,5027,2011/04/13 21:30:52,2011/04/13 21:30:52,NA,NA,NA
26891,138,114,5027,2011/04/13 21:31:13,2011/04/13 21:31:13,NA,NA,NA
26892,24,114,5027,2011/04/13 21:31:37,2011/04/13 21:31:37,NA,NA,NA
27145,23,114,5292,2011/06/01 19:31:15,2011/06/01 19:31:15,NA,NA,NA
27146,150,114,5292,2011/06/01 19:33:23,2011/06/01 19:33:23,NA,NA,NA
26893,139,114,5029,2011/04/13 22:13:20,2011/04/13 22:13:20,NA,NA,NA
26627,108,114,4620,2011/03/18 20:06:30,2011/03/18 20:06:30,NA,NA,NA
26628,136,114,4769,2011/03/18 21:16:21,2011/03/18 21:16:21,NA,NA,NA
27147,23,114,5293,2011/06/01 20:02:55,2011/06/01 20:02:55,NA,NA,NA
27148,150,114,5293,2011/06/01 20:03:08,2011/06/01 20:03:08,NA,NA,NA
27149,24,114,5297,2011/06/01 20:41:37,2011/06/01 20:41:37,NA,NA,NA
27150,23,114,5297,2011/06/01 20:41:53,2011/06/01 20:41:53,NA,NA,NA
