id,proyecto_ley_estado_id,comision_id
13617,44651,2
13673,41420,3
13735,44724,1
13791,44775,7
13827,43806,11
9,35229,9
6520,30069,13
13828,43806,4
13887,42465,11
6522,30571,5
13928,45041,4
6842,2629,6
6843,37841,14
6845,4014,11
18,34990,4
6524,30931,5
20,34952,1
21,34950,5
6846,26546,11
23,34936,1
6847,37844,4
6526,37176,5
6848,4016,4
6849,16556,5
6527,29838,8
6850,4376,5
6528,29838,10
6529,29838,12
32,34724,3
33,34642,8
6530,29838,13
35,34635,10
36,34633,4
37,34956,7
38,34634,10
6851,37846,9
40,34552,10
41,35130,6
42,34636,10
6532,29883,1
6533,29814,1
45,34417,1
46,34644,6
47,34220,5
13979,43988,3
49,34151,4
50,35128,6
51,35129,6
6853,37849,3
6854,4680,3
6855,4678,6
6856,37864,1
56,34153,4
57,34059,11
14032,45201,3
59,34052,7
6535,36530,1
61,34053,4
62,34155,7
63,33920,12
64,33920,13
65,33920,10
66,33920,8
67,34049,11
14080,45254,5
69,34638,5
71,33707,11
72,33379,11
73,33238,3
74,33008,1
6537,34766,9
76,32750,14
77,32645,7
78,32679,7
79,32644,14
80,32678,7
81,32647,1
82,32566,9
83,32320,11
84,32321,14
6857,36658,3
87,33239,11
88,32116,14
89,31177,12
90,31176,12
91,32113,14
92,32114,14
93,32112,14
94,30930,14
97,35127,6
98,30921,7
99,30922,7
100,30923,7
6860,25909,7
102,30872,3
103,30873,11
104,30876,11
105,30824,10
106,30909,10
107,30908,10
108,30877,1
109,30825,5
6541,37285,14
111,30820,6
112,30819,14
113,30778,7
114,30772,7
116,30763,5
117,30766,1
118,30767,12
119,30773,7
120,30797,7
122,30723,1
123,30721,10
124,30721,8
6543,29231,7
6544,29232,7
127,30730,1
128,30731,14
130,30754,12
132,30765,13
134,30756,6
135,30724,11
136,30749,6
137,30751,12
138,31092,11
6861,3378,7
140,30728,1
141,30703,13
142,30701,11
143,30702,13
144,30719,4
145,30682,7
146,30682,1
148,30709,12
149,30794,4
151,30708,12
152,30683,10
153,30683,8
154,30758,2
6545,29658,7
156,30686,1
6546,30287,7
158,30737,2
6547,36386,7
160,30672,12
161,30672,13
163,30665,1
164,30667,1
165,30685,3
6254,34991,1
167,30676,11
6255,35067,1
6256,35482,1
171,30662,4
172,30718,1
173,30182,10
175,30740,6
6257,29193,4
177,30641,2
178,30641,14
179,30642,1
180,30595,12
181,30595,13
182,30750,12
183,30596,1
184,30649,1
185,30729,1
186,30636,2
187,30588,1
188,30644,8
189,30645,8
190,30652,6
191,30637,2
192,30589,11
193,30591,12
194,30576,1
195,30578,14
196,30654,11
197,30575,13
198,30764,13
199,30600,12
200,30250,12
201,30465,13
203,30562,12
204,30543,7
6258,36878,12
6259,36880,13
207,30544,7
208,30655,1
209,30530,1
6264,36882,12
211,30523,7
6265,36884,7
213,30529,1
214,30582,7
215,30574,1
6266,3146,7
217,30556,2
218,30554,14
219,30553,14
220,30555,14
221,30430,7
222,30499,1
223,30577,14
13618,44652,2
225,30500,1
13674,41444,3
227,30690,4
13736,44725,1
229,30501,1
230,30484,4
231,30369,7
6269,36885,12
233,30482,3
6270,36892,11
237,30727,1
239,30485,12
6276,36899,7
241,30738,5
242,30359,7
243,30283,4
244,30211,7
13792,44776,7
247,30235,12
248,30235,13
249,30284,7
250,30264,7
251,30164,1
252,30236,1
6862,3144,7
13829,43548,11
255,30290,1
256,30323,1
257,30286,3
258,30321,7
259,30322,7
13888,42466,11
261,30285,12
262,30180,4
263,30186,1
265,30184,14
266,30288,7
6278,36907,11
268,30371,2
6863,37867,2
270,30185,14
271,30172,1
6864,4594,14
6865,26514,2
275,30282,7
276,30122,7
277,30175,11
278,30174,11
14033,45207,4
280,30113,1
14081,45255,5
282,30114,11
283,30115,11
284,30116,11
6281,36912,6
6282,36913,6
6866,37880,2
290,30094,12
291,30086,1
292,30085,1
6868,37884,14
294,30202,12
296,30929,2
297,30070,1
6869,37885,14
299,30073,10
300,30072,7
301,30080,11
302,30135,14
303,30081,4
305,30075,13
306,30092,12
309,30027,1
311,30033,13
313,30071,7
315,30008,4
316,30005,7
317,30022,1
318,30021,9
319,30016,14
320,30540,1
321,29165,7
324,29913,1
325,29958,1
326,30003,2
327,30007,7
329,30001,4
330,29944,12
332,29985,7
334,30017,7
335,29952,7
337,30018,7
338,30370,2
339,30006,7
340,30011,3
6870,3789,1
342,30294,7
344,29991,5
345,29923,7
346,29919,7
347,29936,10
348,29891,7
349,29901,14
350,29896,1
351,29925,2
353,29898,14
354,29909,11
355,29856,14
356,29857,14
357,29885,12
359,29884,12
360,29876,7
361,29929,7
6292,26446,1
364,29878,7
365,29842,11
366,29811,7
367,29926,7
368,29835,11
6293,36601,4
370,29813,1
371,29827,14
372,29808,7
373,29826,14
375,29828,14
376,29822,10
377,30755,6
379,29754,1
380,29816,7
6294,36918,10
6295,36919,10
6296,26586,11
6297,25966,14
385,29803,4
388,29800,7
389,29819,1
390,29742,7
391,29802,7
392,29823,13
393,29799,11
395,29764,11
396,29762,1
397,29874,4
398,29763,11
399,29801,7
402,29790,5
404,29716,1
405,29718,1
406,29701,7
407,29712,12
408,29699,14
6300,25901,1
410,29732,4
13619,44653,2
13675,41441,3
413,29722,11
414,29784,6
416,29794,7
6871,16149,1
418,29741,6
419,29708,7
420,29782,1
421,29691,1
6872,16152,7
423,29832,1
424,29749,7
425,29746,1
426,29690,1
427,29707,7
428,29761,1
429,29685,11
430,29791,14
431,29735,6
433,29721,3
434,29734,6
435,29679,1
436,29686,7
437,29733,6
438,29736,12
13737,44726,1
440,29662,12
441,29669,14
13793,44778,2
443,29661,7
13830,43577,11
445,29656,10
446,29623,1
447,29558,1
449,29674,1
450,29680,11
451,29675,1
452,29673,1
453,29561,7
454,29865,4
455,29530,14
456,29639,3
13889,42468,11
458,29657,7
459,29731,7
460,29640,14
461,29670,1
462,29720,14
463,29678,7
464,29528,1
465,30468,2
466,29482,4
13930,44375,8
468,29730,7
469,29409,11
470,29389,14
471,29379,7
472,29378,1
473,29410,14
13981,44223,8
475,29391,3
476,29373,1
477,29376,7
14034,43825,7
479,29390,14
480,29380,7
481,30551,14
482,29357,11
483,29374,1
484,29418,1
485,29356,14
486,29719,1
487,29233,2
488,29483,4
489,29395,12
490,29234,1
491,29396,12
14082,44555,14
493,29413,7
6303,36924,6
6304,36925,7
496,29236,1
497,29408,14
498,29089,1
500,29096,1
501,29170,7
502,29072,1
503,29032,1
504,29381,1
505,28859,1
506,29047,9
507,28123,3
508,28408,7
509,28409,7
510,28179,1
511,28047,13
512,28406,7
513,28407,9
514,28180,1
515,28170,1
516,28009,13
518,28296,4
522,28024,6
523,28022,6
524,28026,6
530,27977,8
532,28033,14
534,28019,6
535,28018,6
538,28029,8
539,28027,8
543,28001,1
545,28132,3
546,28014,4
548,28102,1
549,28013,4
550,27979,14
