id,fecha,estado_proyecto_ley_id,proyecto_ley_id,gaceta_texto,corporacion_id
37241,2011-06-20,70,5856,NA,NA
37242,2011-06-20,70,5878,NA,NA
20,1998-07-22,56,3901,125/98,NA
37243,2011-06-20,70,5880,NA,NA
37244,2011-06-20,70,5891,NA,NA
35302,2001-05-08,15,5081,NA,1
35303,2001-05-10,56,5081,189/01,1
37245,2011-06-20,70,5896,NA,NA
35305,2001-05-08,15,5082,NA,1
35306,2001-05-10,56,5082,189/01,1
37246,2011-06-20,70,5914,NA,NA
3426,2001-05-30,56,5105,254/01,2
35308,2001-05-25,15,5105,NA,2
37247,2011-06-20,70,5915,NA,NA
35309,2002-06-11,43,5105,218/02,2
35310,2002-06-20,70,5105,NA,2
37248,2011-06-20,70,5917,NA,NA
35312,2001-04-24,37,4786,"190/01, 287/01",NA
35313,2001-05-11,12,4786,190/01,1
35314,2001-04-25,13,4786,287/01,2
35315,2001-04-19,37,4573,190/01,NA
35316,2001-05-11,12,4573,190/01,1
35317,2001-04-23,43,4626,141/01,1
53,1998-08-27,56,3950,164/98,NA
55,1998-09-04,56,3952,169/98,NA
56,1998-09-04,56,3953,169/98,NA
57,1998-09-11,56,3956,180/98,NA
59,1998-09-11,56,3960,180/98,NA
65,1998-09-17,56,3962,185/98,NA
102,1998-11-25,56,4020,296/98,NA
138,1998-08-27,56,4085,163/98,NA
139,1998-08-31,56,4088,166/98,NA
140,1998-09-02,56,4089,168/98,NA
141,1998-09-09,56,4091,178/98,NA
37211,2011-06-20,70,5957,NA,NA
145,1998-09-17,56,4094,183/98,NA
19,1998-07-22,56,3899,125/98,1
21,1998-07-22,56,3902,125/98,1
23,1998-07-22,56,3905,126/98,1
24,1998-07-22,56,3906,126/98,1
25,1998-07-22,56,3907,126/98,1
29,1998-07-27,56,3912,127/98,1
27,1998-07-27,56,3910,127/98,1
33,1998-07-31,56,3914,130/98,1
30,1998-07-31,56,3913,130/98,1
37249,2011-06-20,70,5962,NA,NA
