id,nombre
1,Jaime Sanín Greiffenstein
2,Simón Rodríguez Rodríguez
3,Ciro Angarita Barón
4,Jorge Arango Mejía
5,Hernando Herrera Vergara
6,Eduardo Cifuentes
7,Vladimiro Naranjo Mesa
8,Antonio Barrera Carbonell
9,Alejandro Martínez Caballero
10,Fabio Morón Díaz
11,José Gregorio Hernández Galindo
12,Carlos Gaviria Díaz
13,Luis Eduardo Montealegre Lynett
14,Alfredo Beltrán Sierra
15,Álvaro Tafur Galvis
16,Rodrigo Escobar Gil
17,Manuel José Cepeda Espinosa
18,Jaime Córdoba Triviño
19,Clara Inés Vargas Hernández
20,Jaime Araújo Rentería
21,Marco Gerardo Monroy Cabra
22,Humberto Sierra Porto
23,Nilson Pinilla Pinilla
24,Rodrigo Uprimny Yépez
25,Martha Victoria Sáchica de Moncaleano
26,Carmenza Isaza de Gómez
27,Julio César Ortiz Gutiérrez
28,Cristina Pardo Schlessinger
29,Jairo Charry Rivas.
30,Maria Teresa Garcés Lloreda
31,María Victoria Calle
32,Mauricio Gonzalez Cuervo
33,Jorge Pretelt Chaljub
34,Jorge Iván Palacio
35,Luis Ernesto Vargas
36,Gabriel Eduardo Mendoza
37,Juan Carlos Henao
38,Luis Guillermo Guerrero
39,Alberto Rojas Ríos
40,Catalina Botero Mariño
41,Clara Elena Reales Gutierrez
42,Adriana María Guillen Arango
43,Alexei Julio Estrada
44,Gloria Stella Ortiz
45,Sonia Vivas Pineda
46,Andrés Mutis
999,No Especifica
