id,nombre
1,Económico
2,Electoral / Partidos políticos
3,Separación de poderes
4,Derechos civiles y/o políticos
5,Derechos sociales y/o económicos
6,"Conflicto armado, orden público"
7,Derechos ambientales y colectivos
8,Administrativo
9,Menor y familia
10,Institucional
11,Internacional
12,Penal y procesal penal
13,Justicia
14,Tránsito y transporte
15,Sector agropecuario
16,Regulación de profesiones
17,Ordenamiento territorial
18,Procesal civil
19,Derecho Comercial
20,Energía
21,Jurisdicción Indígena
22,Derecho Disciplinario
23,Voluntariado
24,Areas Metropolitanas.
25,Cultura y patrimonio
26,Cultura
27,Tributario
28,Celebraciones
29,Tecnologías de la Información y las Comunicaciones
99,No Aplica
