id,seguido_type_id,seguido_id,seguidor_id,fecha
1,1,28,2133,NA
2,28,1219,2423,NA
3,28,302,302,NA
4,28,309,309,NA
5,28,484,484,NA
6,28,498,498,NA
7,28,1190,1190,NA
8,28,1196,1196,NA
9,28,1239,1239,NA
11,28,1290,1290,NA
12,28,1197,1197,NA
13,28,934,934,NA
14,28,904,904,NA
15,28,1315,1315,NA
16,28,939,939,NA
17,28,950,950,NA
18,28,260,260,NA
19,28,100,100,NA
20,28,511,511,NA
21,28,99,99,NA
22,28,20,20,NA
23,28,896,896,NA
24,28,60,60,NA
25,28,847,847,NA
26,28,753,753,NA
27,28,651,651,NA
28,28,973,973,NA
29,28,932,932,NA
30,28,738,738,NA
31,28,2117,2117,NA
32,28,963,963,NA
33,28,390,390,NA
34,28,570,570,NA
35,28,177,177,NA
36,28,1022,1022,NA
37,28,490,490,NA
38,28,580,580,NA
39,28,992,992,NA
40,28,557,557,NA
41,28,560,560,NA
42,28,1406,1406,NA
43,28,1696,1696,NA
44,28,1454,1454,NA
45,28,2290,2290,NA
46,28,303,303,NA
47,28,1,1,NA
48,28,2116,2116,NA
49,28,304,304,NA
50,28,102,102,NA
51,28,1964,1964,NA
52,28,306,306,NA
53,28,1531,1531,NA
54,28,307,307,NA
55,28,1801,1801,NA
56,28,308,308,NA
57,28,1950,1950,NA
58,28,1147,1147,NA
59,28,1872,1872,NA
60,28,1098,1098,NA
61,28,103,103,NA
62,28,1491,1491,NA
63,28,310,310,NA
64,28,234,234,NA
65,28,1750,1750,NA
66,28,104,104,NA
67,28,312,312,NA
68,28,1208,1208,NA
69,28,313,313,NA
70,28,314,314,NA
71,28,311,311,NA
72,28,3,3,NA
73,28,1579,1579,NA
74,28,1455,1455,NA
75,28,1766,1766,NA
76,28,1385,1385,NA
77,28,320,320,NA
78,28,322,322,NA
79,28,1912,1912,NA
80,28,323,323,NA
81,28,324,324,NA
82,28,106,106,NA
83,28,325,325,NA
84,28,107,107,NA
85,28,1412,1412,NA
86,28,1849,1849,NA
87,28,326,326,NA
88,28,1048,1048,NA
89,28,327,327,NA
90,28,1931,1931,NA
91,28,2224,2224,NA
92,28,1084,1084,NA
93,28,4,4,NA
94,28,329,329,NA
95,28,1569,1569,NA
96,28,5,5,NA
97,28,333,333,NA
98,28,334,334,NA
99,28,337,337,NA
100,28,1935,1935,NA
101,28,2018,2018,NA
102,28,1445,1445,NA
103,28,1154,1154,NA
104,28,338,338,NA
105,28,108,108,NA
106,28,336,336,NA
107,28,339,339,NA
108,28,2231,2231,NA
109,28,1352,1352,NA
110,28,340,340,NA
