id,post_id,tag_id
844,111,64
845,111,1
846,111,66
29,14,10
847,111,65
848,111,62
849,111,63
157,25,10
1687,187,1
851,112,67
480,57,48
481,57,19
482,57,22
163,12,24
164,12,25
165,12,26
166,12,27
167,12,28
46433,7466,960
46434,7466,1750
483,57,47
484,63,8
46435,7466,902
46436,7466,135
46437,7466,777
46438,7466,10
62,21,11
63,21,12
485,63,1
486,63,29
487,63,14
852,112,30
853,109,9
580,62,24
581,62,25
582,62,26
583,62,27
584,62,28
585,98,1
586,98,28
587,98,21
77,1,1
78,1,2
79,1,3
187,18,8
188,18,1
82,16,9
588,98,14
589,98,9
590,94,34
423,45,19
424,45,42
425,45,43
426,45,44
591,94,19
257,29,8
258,29,1
259,29,10
260,29,19
261,29,14
854,109,19
97,28,16
98,28,17
99,28,18
100,28,15
1688,187,98
856,113,10
857,113,19
858,113,68
859,113,13
434,54,1
435,54,2
436,54,3
437,54,4
438,54,5
439,54,6
440,54,7
316,41,1
317,41,2
216,35,32
217,35,33
117,27,1
118,27,10
119,27,13
120,27,14
121,27,9
318,41,3
319,41,4
320,41,5
756,101,9
757,101,14
758,101,19
759,101,21
602,99,57
760,101,58
761,101,59
762,101,60
603,99,15
763,101,61
764,104,19
765,104,10
766,104,35
767,104,22
860,113,69
1689,187,131
1690,187,100
1691,187,39
1298,138,96
1299,138,10
1165,118,80
1166,118,10
1167,118,19
1168,118,79
1300,138,91
1301,138,93
780,106,20
218,35,10
219,35,24
220,35,25
221,35,26
222,35,27
781,106,23
782,106,52
783,106,39
465,46,45
1172,119,81
1173,119,10
1174,119,82
466,46,46
467,55,8
468,55,1
469,55,22
470,55,37
471,55,38
791,110,19
792,110,10
793,110,35
794,110,22
538,96,19
539,96,50
540,96,51
541,96,52
795,110,23
1181,117,8
548,97,37
549,97,19
550,97,53
551,97,54
552,97,55
553,97,56
554,65,49
555,65,10
556,65,19
557,65,44
558,65,42
982,114,64
983,114,1
984,114,66
985,114,70
566,34,8
567,34,10
568,34,28
569,34,21
986,114,65
987,114,72
988,114,73
989,114,10
990,114,71
991,114,44
992,114,19
993,114,74
994,114,62
995,114,63
1035,115,64
1036,115,1
1037,115,70
1038,115,65
1039,115,44
1040,115,10
1041,115,75
1042,115,76
1148,116,34
1043,115,19
1044,115,71
1045,115,58
1046,115,62
1047,115,63
1149,116,35
1150,116,8
1151,116,10
1152,116,77
1153,116,14
1154,116,19
1155,116,78
1156,116,22
1157,116,23
1286,135,82
1287,135,83
1692,187,8
1693,187,137
1190,122,10
1191,122,83
1192,122,84
1193,122,85
1694,187,10
1695,187,43
1696,187,44
1302,138,95
1697,187,60
1698,187,136
1699,187,114
1700,187,19
1490,164,96
1491,164,1
1204,123,81
1205,123,83
1206,124,14
1492,164,103
1493,164,8
1494,164,105
1495,164,10
1211,132,88
1212,132,89
1213,132,86
1214,132,87
1496,164,107
1497,164,109
1498,164,112
1499,164,17
1500,164,22
1220,120,34
1221,120,19
1222,120,52
1223,120,42
1224,120,22
1225,134,90
1226,134,91
1501,164,104
1502,164,59
1503,164,106
1504,149,102
1505,149,117
1506,149,118
1322,141,16
1323,141,15
1701,187,132
1702,187,135
1703,187,138
1327,143,97
2409,315,190
1825,192,19
1328,143,98
1329,143,28
1330,136,91
1331,136,92
1332,140,64
1333,140,10
1334,140,14
1335,140,82
1336,140,19
1337,140,59
1338,140,60
1339,140,93
1340,140,94
1341,144,64
1342,144,96
1343,144,98
1344,144,97
1345,144,10
1346,144,75
1347,144,82
1348,144,95
2410,315,191
2413,314,186
8374,1246,380
2417,318,82
2419,317,186
1354,145,10
1355,145,99
2421,324,193
1358,147,100
1359,147,101
1519,165,120
1520,165,121
1521,165,117
1522,165,119
1523,166,34
1524,166,36
1525,166,122
1526,166,94
1527,166,93
1532,168,91
1533,168,123
1534,168,93
1535,168,94
1838,197,24
1839,197,26
1370,148,96
1371,148,91
1372,148,69
1373,148,94
1374,148,93
1840,197,91
1841,197,93
1842,197,94
1546,169,10
1547,169,22
1548,169,124
1549,169,125
1550,169,126
1551,171,2
1552,171,3
1553,171,69
1554,171,70
1555,171,71
1556,171,81
1557,171,19
1849,204,155
1403,150,98
1404,150,103
1405,150,104
1406,150,105
1407,150,10
1408,150,107
1409,150,44
1410,150,34
1411,150,109
1412,150,108
1413,150,19
1414,150,106
1416,151,96
1417,151,104
1418,151,91
1419,151,93
1420,151,94
1421,152,10
1422,153,103
1423,153,104
1424,153,105
1425,153,106
1426,153,107
1427,153,108
1428,153,109
1429,154,91
1430,154,94
1431,154,93
1432,154,110
1433,154,111
1434,155,112
1435,155,113
1436,155,93
1437,155,94
1582,172,128
1583,172,93
1584,172,94
1585,172,127
1806,191,10
1807,191,139
1808,191,140
1809,191,141
1810,191,142
1811,191,143
1812,191,144
1813,191,145
1814,191,146
1815,191,147
1816,191,148
1817,191,149
1818,191,150
1819,191,24
1820,191,25
1821,191,26
1822,191,27
1823,191,28
1616,179,128
1617,179,10
1618,179,94
1619,179,93
1620,179,126
1621,179,127
1622,178,64
1623,178,129
1624,178,130
1625,178,10
1626,178,43
1627,178,82
1628,178,114
1629,178,19
1630,178,59
1631,178,60
2411,311,188
2412,311,189
3848,552,161
2416,316,186
2418,319,82
31371,5085,609
2422,325,126
3604,478,338
3849,552,10
1862,231,82
1863,231,93
1864,231,95
1865,230,152
1866,230,10
1867,230,156
1868,230,157
2798,369,34
1870,232,159
2799,369,19
2205,261,162
2206,261,69
2207,261,71
2208,261,10
2209,261,108
2210,261,112
2211,261,19
1879,235,82
1880,235,93
1881,235,94
1882,235,37
2212,261,85
2213,261,138
3262,407,257
3263,407,262
3264,407,230
1888,236,4
1889,236,69
1890,236,22
3265,407,274
3266,407,275
1895,237,160
1896,237,75
1897,237,155
1898,237,22
3267,407,276
3268,407,277
3269,407,216
3850,552,230
3851,552,135
3282,420,295
2837,351,113
2838,351,181
2839,351,193
3285,413,288
3286,413,289
3287,413,280
3288,413,216
3289,413,281
3290,413,282
3291,413,283
3292,413,284
3293,413,285
2242,275,170
2243,275,172
1922,250,149
1923,250,153
1924,250,116
1925,250,125
1926,250,93
2244,275,38
2245,273,168
2246,273,166
2247,273,167
3294,413,286
3295,413,287
2453,340,112
2454,340,10
2455,340,19
2253,278,87
2254,279,173
2456,340,23
2877,362,208
2885,347,195
2886,347,167
3868,563,376
3869,563,377
31372,5085,1220
3317,418,166
12941,2187,908
31373,5085,1745
31374,5085,1264
2904,374,224
2469,339,192
2470,339,41
2471,339,16
2905,374,225
2906,374,226
2089,262,160
2090,262,34
2091,262,38
2092,262,103
2093,262,104
2094,262,107
2095,262,109
2096,262,81
2097,262,22
2098,262,39
2907,374,227
2908,374,228
2275,281,80
2276,281,162
2277,281,69
2278,281,70
2279,281,71
2280,281,161
2281,281,112
2282,281,48
2283,281,19
2284,281,58
2909,374,193
2910,374,97
2911,374,216
3344,425,224
3345,425,296
3346,425,297
3347,425,298
3348,425,216
3349,425,159
2489,345,159
2302,283,176
2303,283,177
2304,283,174
2305,283,175
2133,260,34
2134,260,10
2308,286,97
2309,286,126
2138,242,34
2310,282,34
2311,282,19
2141,198,41
2312,282,10
2313,284,170
2314,284,166
2315,288,180
2316,288,166
3365,437,184
3366,437,192
3367,437,306
2142,198,82
2149,196,30
2150,196,151
2773,354,199
2774,354,200
2335,289,160
2336,289,39
2337,289,104
2338,289,106
2339,289,109
2340,289,16
2775,354,201
2776,354,202
2777,354,203
2778,354,204
2526,338,194
2527,338,124
2528,352,196
2359,296,160
2360,296,98
2361,296,39
2362,296,104
2363,296,107
2364,296,109
2365,296,22
2366,296,103
2385,291,181
2386,291,47
2387,298,34
2388,298,19
2389,298,10
2390,301,183
2391,301,151
2393,306,34
2394,308,184
2397,310,112
2398,310,185
2400,313,187
2559,350,86
2560,350,87
2789,368,41
2790,368,209
2791,368,210
2850,376,97
2851,376,151
3601,482,341
3605,483,342
2593,363,162
2594,363,30
2792,368,211
2793,368,212
2794,368,214
2795,368,215
2796,368,216
2797,368,217
8375,1246,603
8376,1246,35
8377,1246,132
6968,1075,505
4220,631,216
4221,631,393
4222,631,319
4223,631,326
4224,631,63
3870,563,378
3871,563,379
3872,563,216
3893,561,34
3270,401,257
3271,401,167
2878,366,130
2879,366,10
2880,366,78
2881,366,81
2882,366,82
2883,366,19
2884,366,119
2887,353,159
3311,417,216
2912,371,218
2913,371,87
2928,378,161
2929,378,82
2930,378,207
2931,378,79
3312,417,185
3313,417,260
3314,417,293
3315,417,294
3318,415,292
3319,415,87
2945,379,230
2946,379,231
2947,379,232
2948,379,233
2949,379,234
2950,379,235
2951,379,236
2952,379,237
2953,379,238
2954,379,239
2955,379,240
2956,379,241
2957,379,242
2958,379,216
3331,431,294
3332,431,75
3333,431,207
3334,431,82
2963,373,218
2964,373,87
3335,431,19
3336,431,185
3337,431,222
2779,367,60
2780,367,132
2781,367,78
3357,436,304
3358,436,305
2971,381,244
3359,436,216
3360,436,230
3361,436,174
3368,437,228
2976,384,248
2977,384,249
2978,384,247
2979,385,249
2980,385,247
2981,386,256
2982,386,230
2983,386,80
2984,386,216
2985,386,250
2986,386,251
2987,386,252
2988,386,253
2989,386,254
2990,386,255
3374,438,307
2994,364,36
2995,377,229
2996,377,46
3375,438,308
3376,438,247
3378,440,309
3010,372,64
3011,372,97
3012,372,130
3013,372,75
3014,372,44
3015,372,222
3016,372,216
3017,372,218
3018,372,58
3019,372,219
3020,372,220
3021,372,221
3022,372,62
3404,427,160
3406,429,227
3026,388,34
3027,388,19
3415,433,236
3416,433,301
3419,446,193
3420,446,311
3421,446,183
3422,446,312
3423,446,151
3424,446,216
3425,446,313
3426,446,63
3437,297,182
3438,297,166
3439,297,159
3051,390,160
3054,398,257
3055,398,258
3056,398,261
3057,398,262
3058,398,263
3059,398,264
3060,398,7
3061,398,216
3062,395,259
3063,395,127
3064,389,160
3068,387,257
3069,387,258
3070,387,167
3071,380,243
3072,383,246
3073,383,247
3074,391,4
3458,441,310
3459,441,87
3462,443,166
3466,447,34
3477,450,64
3478,450,220
3479,450,216
3480,450,315
3481,450,316
3482,450,62
3491,463,64
3492,463,216
3493,463,324
3494,463,325
3495,463,326
3097,394,127
3523,465,230
3525,451,36
3526,451,222
3532,462,186
3535,469,216
3536,469,330
3537,469,245
3544,464,115
3545,464,75
3123,406,272
3124,406,273
3125,406,247
3134,400,265
3135,400,44
3136,408,278
3137,409,279
3138,404,216
3139,404,245
3546,464,279
3556,475,192
3557,475,228
3558,475,334
3148,397,260
3158,411,34
3159,411,19
3857,542,369
3858,542,370
3256,399,70
3257,399,169
3258,399,10
3259,399,82
3260,399,21
3261,399,249
6599,929,210
3609,492,344
3880,548,342
3889,567,380
3890,567,114
3891,567,100
3894,564,304
31375,5085,81
3298,412,180
3898,575,230
3899,575,10
3900,575,75
3901,575,82
3902,575,19
3903,575,314
6600,929,391
6601,929,34
6602,929,477
3915,583,216
3916,583,246
3917,583,383
3921,574,192
3922,574,305
3923,574,216
3369,414,290
3370,414,291
3373,430,100
3377,439,226
3927,578,345
3928,578,340
3929,578,246
3930,578,247
3653,499,224
3654,499,216
3655,499,226
3656,499,348
3657,499,349
7584,1091,34
3659,493,345
3660,494,192
3402,428,299
3403,428,300
3405,435,303
3661,496,346
3662,496,347
31376,5085,1428
3664,481,16
3665,481,15
4241,633,168
4242,633,45
4243,633,398
3417,434,126
3418,434,302
4244,633,397
4245,633,46
3431,448,96
3224,402,7
3225,402,9
3226,402,266
3227,402,267
3228,402,268
3229,402,269
3230,402,270
3231,402,216
3432,448,230
3433,448,10
3434,448,75
3435,448,19
3436,448,314
4246,633,216
31377,5085,792
31378,5085,752
4830,770,464
4831,770,216
3463,426,160
4832,770,462
3679,495,226
3470,452,64
3471,452,230
3472,452,210
3473,452,216
3474,452,319
3475,452,318
3476,452,63
3483,449,180
3680,500,103
3489,453,320
3490,453,321
4833,770,463
3684,516,355
3685,516,356
3515,466,249
3516,466,290
3517,466,69
3518,466,135
3691,507,192
5375,878,494
5376,878,7
3533,460,323
3534,460,15
3697,506,64
3542,468,328
3543,468,329
3547,467,304
3548,467,216
3549,467,90
3550,467,174
3551,467,327
3698,506,353
3555,473,34
3559,475,335
3560,475,336
3561,475,337
3562,475,216
3699,506,354
3700,506,216
3701,508,314
3566,479,340
3702,519,216
3703,519,357
3704,519,358
3570,471,15
3705,519,359
3573,480,166
5423,908,185
5424,908,251
7764,1104,586
3579,477,112
3580,477,248
3581,470,331
3582,472,333
3583,484,297
3584,484,24
3585,484,343
3586,484,216
3587,484,25
3588,484,159
3589,487,34
3590,487,186
7765,1104,587
7766,1104,588
7767,1104,525
3707,517,36
3710,505,352
3716,521,36
3717,521,103
7950,1176,639
3721,504,103
3722,504,236
3723,504,15
3724,503,236
3725,503,15
7974,1175,246
7975,1175,247
7976,1175,633
3729,522,34
7977,1175,634
3731,526,361
3732,526,362
3733,526,363
3734,526,300
3735,526,336
3736,526,216
7978,1175,635
7979,1175,410
3757,530,112
3758,530,116
3759,530,134
3760,533,364
3761,533,247
3762,520,360
3763,529,360
3764,529,16
3765,529,164
3798,541,368
3799,541,367
3812,539,19
3813,539,103
3814,539,106
3815,539,75
3816,539,39
3822,523,180
3823,545,352
3824,545,216
3825,545,371
3826,545,366
3827,545,350
5280,873,520
3829,549,345
3830,549,340
3831,538,216
3832,538,366
3833,538,365
3834,538,350
3835,538,327
5281,873,455
5282,873,518
4237,632,394
4238,632,395
4239,632,396
3841,551,216
3842,551,338
3843,551,372
3874,553,216
3875,553,246
3876,553,373
3877,553,374
3878,553,375
3881,540,192
5283,873,519
3882,540,34
3883,540,83
3884,540,157
3885,540,69
6969,1075,163
