id,created_at,edited_at,fecha_hora,persona_id,tipo_id,texto,content_type_id,object_id,periodo_id
2,2010-01-28 09:44:01.275293,2010-01-28 09:44:01.275318,2010-01-28 09:44:01.275335,1,2,NA,73,4,NA
3,2010-02-14 23:36:26.085157,2010-02-14 23:36:26.085189,2010-02-14 23:36:26.085207,1446,2,NA,73,18,NA
4,2010-02-14 23:38:02.379788,2010-02-14 23:38:02.379812,2010-02-14 23:38:02.379830,1446,2,NA,73,19,NA
5,2010-02-16 17:46:46.978480,2010-02-16 17:46:46.978511,2010-02-16 17:46:46.978528,1844,2,NA,73,20,NA
6,2010-02-17 16:52:18.717608,2010-02-17 16:52:18.717639,2010-02-17 16:52:18.717657,1415,2,NA,73,21,NA
7,2010-02-19 16:18:31.828298,2010-02-19 16:18:31.828323,2010-02-19 16:18:31.828340,57,1,NA,73,22,NA
8,2010-02-19 17:04:47.980906,2010-02-19 17:04:47.980931,2010-02-19 17:04:47.980949,1374,1,NA,73,23,NA
9,2010-02-25 04:20:16.035274,2010-02-25 04:20:16.035298,2010-02-25 04:20:16.035316,1,1,NA,73,24,NA
10,2010-02-26 07:10:15.284361,2010-02-26 07:10:15.284393,2010-02-26 07:10:15.284411,131,2,NA,73,25,NA
11,2010-02-26 07:27:00.509464,2010-02-26 07:27:00.509488,2010-02-26 07:27:00.509505,131,2,NA,73,26,NA
12,2010-03-02 19:44:11.613160,2010-03-02 19:44:11.613196,2010-03-02 19:44:11.613214,131,2,NA,73,27,NA
14,2010-03-03 13:51:10.452402,2010-03-03 13:51:10.452434,2010-03-03 13:51:10.452454,2229,1,NA,73,29,NA
15,2010-03-03 13:53:52.812935,2010-03-03 13:53:52.812958,2010-03-03 13:53:52.812976,77,1,NA,73,30,NA
16,2010-03-03 18:16:58.752772,2010-03-03 18:16:58.752805,2010-03-03 18:16:58.752823,793,1,NA,73,31,NA
17,2010-03-03 21:15:36.155542,2010-03-03 21:15:36.155567,2010-03-03 21:15:36.155585,793,1,NA,73,32,NA
18,2010-03-03 21:18:51.585594,2010-03-03 21:18:51.585620,2010-03-03 21:18:51.585644,8,1,NA,73,33,NA
19,2010-03-03 21:21:34.908779,2010-03-03 21:21:34.908819,2010-03-03 21:21:34.908838,1,1,NA,73,34,NA
20,2010-03-06 00:29:05.825630,2010-03-06 00:29:05.825656,2010-03-06 00:29:05.825674,1406,1,NA,73,35,NA
21,2010-03-08 13:59:55.559751,2010-03-08 13:59:55.559776,2010-03-08 13:59:55.559800,1894,1,NA,73,36,NA
22,2010-03-09 18:21:12.542443,2010-03-09 18:21:12.542482,2010-03-09 18:21:12.542500,19,1,NA,73,37,NA
23,2010-03-09 18:52:48.785823,2010-03-09 18:52:48.785846,2010-03-09 18:52:48.785864,1803,1,NA,73,38,NA
24,2010-03-09 19:06:25.531245,2010-03-09 19:06:25.531268,2010-03-09 19:06:25.531287,77,1,NA,73,39,NA
25,2010-03-09 19:08:27.833050,2010-03-09 19:08:27.833073,2010-03-09 19:08:27.833091,1226,1,NA,73,40,NA
26,2010-03-09 19:42:24.945622,2010-03-09 19:42:24.945643,2010-03-09 19:42:24.945661,10,1,NA,73,41,NA
27,2010-03-10 15:47:57.779418,2010-03-10 15:47:57.779446,2010-03-10 15:47:57.779465,1696,1,NA,73,42,NA
28,2010-03-10 21:40:09.446164,2010-03-10 21:40:09.446197,2010-03-10 21:40:09.446214,1982,1,NA,73,43,NA
29,2010-03-11 17:14:00.017893,2010-03-11 17:14:00.017920,2010-03-11 17:14:00.017938,2383,2,NA,73,44,NA
30,2010-03-12 15:15:48.334751,2010-03-12 15:15:48.334779,2010-03-12 15:15:48.334797,827,1,NA,73,45,NA
31,2010-03-16 17:44:46.975314,2010-03-16 17:44:46.975338,2010-03-16 17:44:46.975355,4,1,NA,73,46,NA
32,2010-03-16 19:04:59.978507,2010-03-16 19:04:59.978531,2010-03-16 19:04:59.978549,1200,1,NA,73,47,NA
33,2010-03-25 18:54:41.786241,2010-03-25 18:54:41.786276,2010-03-25 18:54:41.786292,4,3,NA,55,61202,NA
34,2010-03-25 18:54:42.104151,2010-03-25 18:54:42.104187,2010-03-25 18:54:42.104202,8,3,NA,55,61203,NA
35,2010-03-25 18:54:42.449496,2010-03-25 18:54:42.449516,2010-03-25 18:54:42.449531,13,3,NA,55,61204,NA
36,2010-03-25 18:54:42.588878,2010-03-25 18:54:42.588917,2010-03-25 18:54:42.588933,22,3,NA,55,61205,NA
37,2010-03-25 18:54:42.616071,2010-03-25 18:54:42.616108,2010-03-25 18:54:42.616124,26,3,NA,55,61206,NA
38,2010-03-25 18:54:42.644489,2010-03-25 18:54:42.644509,2010-03-25 18:54:42.644524,28,3,NA,55,61207,NA
39,2010-03-25 18:54:42.755145,2010-03-25 18:54:42.755178,2010-03-25 18:54:42.755194,29,3,NA,55,61208,NA
40,2010-03-25 18:54:42.816618,2010-03-25 18:54:42.816650,2010-03-25 18:54:42.816666,16,3,NA,55,61209,NA
41,2010-03-25 18:54:42.840736,2010-03-25 18:54:42.840757,2010-03-25 18:54:42.840773,33,3,NA,55,61210,NA
42,2010-03-25 18:54:42.896496,2010-03-25 18:54:42.896517,2010-03-25 18:54:42.896532,557,3,NA,55,61211,NA
43,2010-03-25 18:54:42.991720,2010-03-25 18:54:42.991750,2010-03-25 18:54:42.991765,41,3,NA,55,61212,NA
44,2010-03-25 18:54:43.046776,2010-03-25 18:54:43.046796,2010-03-25 18:54:43.046812,42,3,NA,55,61213,NA
45,2010-03-25 18:54:43.067841,2010-03-25 18:54:43.067861,2010-03-25 18:54:43.067876,53,3,NA,55,61214,NA
46,2010-03-25 18:54:43.092813,2010-03-25 18:54:43.092855,2010-03-25 18:54:43.092871,58,3,NA,55,61215,NA
47,2010-03-25 18:54:43.196231,2010-03-25 18:54:43.196251,2010-03-25 18:54:43.196267,793,3,NA,55,61216,NA
48,2010-03-25 18:54:43.261252,2010-03-25 18:54:43.261274,2010-03-25 18:54:43.261290,811,3,NA,55,61217,NA
49,2010-03-25 18:54:43.301477,2010-03-25 18:54:43.301500,2010-03-25 18:54:43.301515,814,3,NA,55,61218,NA
50,2010-03-25 18:54:43.330505,2010-03-25 18:54:43.330527,2010-03-25 18:54:43.330542,809,3,NA,55,61219,NA
51,2010-03-25 18:54:43.372736,2010-03-25 18:54:43.372761,2010-03-25 18:54:43.372777,834,3,NA,55,61220,NA
52,2010-03-25 18:54:43.401164,2010-03-25 18:54:43.401184,2010-03-25 18:54:43.401199,842,3,NA,55,61221,NA
53,2010-03-25 18:54:43.451126,2010-03-25 18:54:43.451146,2010-03-25 18:54:43.451161,874,3,NA,55,61222,NA
54,2010-03-25 18:54:43.485325,2010-03-25 18:54:43.485346,2010-03-25 18:54:43.485361,879,3,NA,55,61223,NA
55,2010-03-25 18:54:43.536772,2010-03-25 18:54:43.536792,2010-03-25 18:54:43.536807,896,3,NA,55,61224,NA
56,2010-03-25 18:54:43.560113,2010-03-25 18:54:43.560134,2010-03-25 18:54:43.560149,90,3,NA,55,61225,NA
57,2010-03-25 18:54:43.595132,2010-03-25 18:54:43.595152,2010-03-25 18:54:43.595168,973,3,NA,55,61226,NA
58,2010-03-25 18:54:43.617992,2010-03-25 18:54:43.618011,2010-03-25 18:54:43.618026,92,3,NA,55,61227,NA
59,2010-03-25 18:54:43.642490,2010-03-25 18:54:43.642511,2010-03-25 18:54:43.642526,96,3,NA,55,61228,NA
60,2010-03-25 20:23:15.935538,2010-03-25 20:23:15.935573,2010-03-25 20:23:15.935589,102,3,NA,55,61229,NA
61,2010-03-25 20:23:16.135870,2010-03-25 20:23:16.135900,2010-03-25 20:23:16.135916,103,3,NA,55,61230,NA
62,2010-03-25 20:23:16.299956,2010-03-25 20:23:16.299975,2010-03-25 20:23:16.299990,234,3,NA,55,61231,NA
63,2010-03-25 20:23:16.393253,2010-03-25 20:23:16.393275,2010-03-25 20:23:16.393290,104,3,NA,55,61232,NA
64,2010-03-25 20:23:16.432209,2010-03-25 20:23:16.432229,2010-03-25 20:23:16.432254,1208,3,NA,55,61233,NA
65,2010-03-25 20:23:16.472704,2010-03-25 20:23:16.472724,2010-03-25 20:23:16.472739,313,3,NA,55,61234,NA
66,2010-03-25 20:23:16.515419,2010-03-25 20:23:16.515439,2010-03-25 20:23:16.515454,106,3,NA,55,61235,NA
