id,congresistas,candidatos,content_type_id,object_id
1825,1023,592,57,1
1949,1,0,24,76
1826,149,174,57,2
1950,1,0,24,77
1827,6,6,58,208
1952,1,0,24,20
1828,284,92,58,174
1951,6,0,24,40
1829,13,9,58,201
1953,2,0,24,41
1830,62,28,58,175
1954,2,0,24,79
1831,2,1,58,176
1956,1,0,24,80
1832,11,2,58,177
1957,2,0,24,81
1958,1,0,24,83
2149,3,1,58,178
1834,1,0,58,179
1959,7,0,24,110
1835,2,0,58,221
2233,3,0,58,225
1836,60,18,58,180
1961,1,0,24,42
1837,21,7,58,181
1962,5,0,24,43
1838,20,8,58,182
1964,3,0,24,45
1839,2,0,58,223
1965,9,0,24,68
1840,0,1,58,183
1966,2,0,24,34
1841,25,12,58,184
1967,2,0,24,100
1842,53,10,58,185
1968,2,0,24,78
1843,15,3,58,209
1969,1,0,24,127
1970,1,0,24,86
1973,2,0,24,94
1845,1,1,58,187
1974,28,36,24,6
1846,6,4,58,218
1976,1,0,24,49
1847,4,0,58,188
1977,1,0,24,102
1848,1,0,58,189
1978,1,0,24,107
1849,0,1,58,190
1979,3,0,24,35
1980,2,0,24,129
1851,1,0,58,202
1983,1,0,24,44
1852,0,1,58,192
1984,1,0,24,106
1853,17,13,58,207
2111,2,1,84,38
1854,106,31,58,193
2112,6,2,84,37
2113,9,1,84,36
2114,3,1,84,39
1856,3,5,58,216
1857,4,2,58,203
2115,460,34,84,35
1858,1,2,58,194
2116,9,1,84,4
1859,2,0,58,195
2281,6,1,60,2
1860,1,0,58,224
2117,70,10,84,3
1861,18,12,58,206
2292,22,3,60,13
1862,3,16,58,200
2234,1,0,58,226
2118,10,1,84,5
2119,24,2,84,2
2120,65,5,84,1
2121,25,0,84,7
2294,1,0,60,39
2122,29,3,84,8
2123,26,1,84,10
2295,41,4,60,15
2124,6,0,84,13
2125,10,1,84,11
2296,31,3,60,14
2126,11,3,84,9
2127,25,2,84,15
2297,136,17,60,1
2128,14,2,84,14
2129,26,2,84,12
2298,2,1,60,36
2130,17,2,84,16
2131,6,1,84,18
2299,13,1,60,16
2132,11,1,84,19
2133,18,1,84,20
2300,13,1,60,17
2134,16,1,84,17
2135,28,2,84,22
2301,31,2,60,18
2136,10,2,84,21
2137,16,1,84,23
2302,21,2,60,19
2138,25,1,84,24
2139,7,1,84,25
2303,49,2,60,20
2140,15,2,84,30
2141,15,2,84,26
2304,16,2,60,22
2153,1,0,24,136
2142,7,2,84,27
2143,29,4,84,28
2144,19,1,84,29
2145,35,4,84,34
2306,39,4,60,23
2146,9,0,84,33
2147,7,1,84,32
2307,33,1,60,24
2148,62,3,84,31
2282,102,11,60,3
2283,20,1,60,4
2284,62,2,60,5
2285,49,4,60,6
2286,43,5,60,7
2287,38,1,60,8
2288,13,0,60,9
2289,11,1,60,10
2290,24,3,60,11
2291,29,2,60,12
2308,11,1,60,25
2309,16,3,60,26
2310,26,4,60,27
2311,7,1,60,28
2312,62,9,60,29
2313,31,2,60,30
2314,44,3,60,31
2315,97,5,60,32
2316,24,0,60,33
2317,8,1,60,34
1985,1,0,24,50
1986,2,0,24,134
1987,3,0,24,103
1988,9,65,24,12
1989,4,0,24,105
1991,2,0,24,47
1992,2,0,24,46
1993,269,1,34,6
1994,241,89,34,2
1995,311,7,34,4
2200,86,9,20,6
2027,2,0,59,3
2029,16,3,59,6
2030,47,12,59,8
2031,425,143,59,1
2032,164,40,59,4
2033,27,11,59,9
2034,5,2,59,10
1996,361,7,34,1
1998,4,2,18,2
2201,94,9,20,2
1999,4,3,18,4
2000,7,3,18,1
2202,106,8,20,12
2001,1,0,18,3
2002,715,499,19,2
2203,2,0,20,17
2003,467,265,19,1
2204,79,4,20,8
2205,82,7,20,1
2206,70,7,20,5
2207,65,5,20,11
1895,1,0,24,52
1863,5,4,58,212
1897,7,7,24,9
1898,76,59,24,3
1899,17,0,24,53
1900,1,0,24,54
1901,7,1,24,8
1902,2,0,24,62
1903,4,0,24,29
