id,problema_id,link_id
1,244,1
2,244,2
3,30,3
4,30,4
10,285,6
11,302,4
12,302,5
13,284,7
14,283,8
15,282,9
16,281,10
17,280,11
18,279,12
19,278,13
20,277,14
21,276,15
22,274,16
23,273,17
24,272,18
25,271,19
26,270,20
27,269,21
28,268,22
29,267,23
30,180,24
31,21,25
34,316,27
39,235,29
40,220,30
41,317,31
44,318,33
45,318,34
47,319,36
51,322,39
52,34,40
59,323,42
60,324,43
61,17,41
62,17,35
63,17,44
64,325,45
65,260,46
66,38,47
71,321,48
72,321,38
75,315,26
76,315,28
77,315,50
78,195,51
80,2,52
81,2,53
82,326,54
83,74,55
85,328,57
86,238,58
88,329,59
90,227,60
91,227,61
92,330,62
93,327,56
94,331,63
95,332,64
96,332,65
99,162,66
100,162,67
101,333,68
102,335,69
104,121,70
108,226,72
109,158,73
110,110,74
112,337,75
113,32,32
114,32,49
115,32,76
117,3,78
118,166,80
119,166,81
120,166,82
121,166,83
122,166,79
124,91,85
125,91,86
126,91,87
127,61,88
128,61,89
129,336,71
130,346,90
131,347,91
132,348,92
133,40,84
134,40,93
136,12,96
137,12,95
139,349,97
140,165,98
141,350,99
143,352,100
144,353,101
145,353,102
146,250,104
147,250,103
150,354,105
151,354,106
152,354,107
158,338,108
159,338,77
160,338,109
161,22,110
162,308,94
163,308,111
