id,created_at,edited_at,nombre
10,2013-11-05 21:21:57.772204,2013-11-05 21:24:00.185337,¿Hasta que punto aprueba o desaprueba que los desmovilizados de las FARC buscarían presentar candidatos a las elecciones de 2015?
12,2013-11-05 21:22:20.789832,2013-12-17 16:15:57.087791,¿Hasta qué punto aprueba o desaprueba que los desmovilizados de las FARC presenten candidatos al  Congreso en las elecciones de 2014?
2,2009-11-25 14:53:05.000000,2014-06-09 10:47:15.580234,"¿A pesar de que la democracia tenga problemas, es mejor que cualquier otra   forma de gobierno?"
4,2009-11-25 14:53:23.000000,2014-06-09 10:47:29.398373,¿La democracia puede existir sin partidos políticos?
3,2009-11-25 14:53:16.000000,2014-06-09 10:47:38.462941,¿Los tratados de libre comercio (TLC) son muy positivos para la economía colombiana?
1,2009-11-25 14:52:57.000000,2014-06-09 10:47:53.212944,¿Las compañías extranjeras deben tener la posibilidad de comprar tierras en Colombia?
5,2013-11-05 21:20:50.517866,2014-06-09 10:48:03.828712,¿Las compañías nacionales deben tener la posibilidad de realizar actividades relacionadas con la explotación minera?
6,2013-11-05 21:21:01.072843,2014-06-09 10:48:13.194930,¿ Las compañías nacionales deben tener la posibilidad de realizar actividades relacionadas con la explotación minera?
7,2013-11-05 21:21:12.933754,2014-06-09 10:48:25.048706,¿ Hasta qué punto apoya usted el proceso de paz que actualmente el gobierno del presidente Juan Manuel Santos adelanta con las FARC?
8,2013-11-05 21:21:22.725900,2014-06-09 10:48:34.344227,¿ Hasta qué punto está de acuerdo o en desacuerdo con que un eventual acuerdo de paz entre del gobierno y las FARC sea ratificado electoral?
9,2013-11-05 21:21:51.395279,2014-06-09 10:48:45.299145,¿Hasta que punto aprueba o desaprueba que los desmovilizados de las FARC buscarían formar un partido político?
