id,entity_content_type_id,count,counted_content_type_id,counted_object_id
68227,98,1,21,2882
68233,98,5,21,97
54733,98,5,97,107
68262,98,1,21,1260
64383,98,1,97,163
57100,98,1,97,148
54734,98,3,97,108
68265,98,3,21,142
64384,98,4,97,167
58970,98,6,21,2449
54735,98,6,97,109
68143,98,1,21,3178
68196,98,1,21,447
67998,98,1,21,87
54736,98,1,97,110
68030,98,1,21,2238
57132,98,4,97,151
67796,98,3,21,288
54737,98,1,97,111
67715,98,3,21,13
67604,98,1,21,668
57101,98,2,97,124
54738,98,8,97,112
64358,98,1,97,189
64344,54,1,20,8
67608,98,2,21,60
54739,98,2,97,113
67618,98,1,21,1894
67051,98,1,97,264
67052,98,1,97,309
67054,98,2,97,338
57102,98,2,97,157
67055,98,1,97,326
67056,98,1,97,330
67057,98,1,97,312
67058,98,2,97,260
67060,98,1,97,337
67061,98,1,97,266
67062,98,4,97,249
67063,98,1,97,202
64321,52,11,50,12
67064,98,1,97,217
54743,98,2,97,117
67065,98,1,97,225
67066,98,2,97,374
54685,52,341,34,6
67067,98,1,97,375
57104,98,3,97,135
54744,98,1,97,118
54687,52,24,72,138
67068,98,4,97,207
67069,98,2,97,220
67070,98,1,97,255
57105,98,3,97,130
54745,98,2,97,119
67071,98,1,97,380
67072,98,1,97,273
67073,98,2,97,248
54746,98,1,97,120
67074,98,1,97,272
64359,98,3,97,174
54693,52,341,122,17
57106,98,1,97,129
67075,98,1,97,329
54747,98,1,97,121
67076,98,4,97,382
67077,98,1,97,299
67078,98,1,97,334
54748,98,1,97,122
54697,54,461,34,6
67079,98,1,97,289
67080,98,4,97,193
67082,98,1,97,303
57107,98,3,97,41
54749,98,1,97,123
67083,98,2,97,350
67084,98,1,97,284
57134,98,6,97,159
67085,98,2,97,297
57108,98,1,97,139
54706,98,5,97,36
54709,98,5,97,83
54710,98,1,97,84
54711,98,2,97,85
54712,98,2,97,86
54713,98,7,97,87
64362,98,1,97,177
54714,98,1,97,88
54715,98,1,97,89
54716,98,2,97,90
64351,98,2,97,116
54717,98,8,97,91
54718,98,1,97,92
54719,98,14,97,93
57109,98,1,97,131
54720,98,11,97,94
64363,98,2,97,187
54721,98,3,97,95
54722,98,6,97,96
54723,98,6,97,97
54724,98,5,97,98
54725,98,1,97,99
54726,98,4,97,100
64352,98,1,97,153
54727,98,1,97,101
54728,98,1,97,102
64364,98,1,97,176
54729,98,9,97,103
57135,98,8,97,160
54730,98,7,97,104
54731,98,3,97,105
54732,98,5,97,106
57110,98,1,97,137
57111,98,1,97,147
57087,67,14,63,3
57088,67,18,72,138
57113,98,2,97,155
64354,98,2,97,164
57114,98,1,97,141
57092,98,2,97,125
57093,98,2,97,149
64355,98,1,97,175
57096,98,1,97,156
57098,98,1,97,144
64372,98,2,97,183
57099,98,1,97,146
57115,98,1,97,150
57116,98,2,97,128
64373,98,2,97,184
57118,98,5,97,126
64374,98,1,97,182
57119,98,1,97,152
64375,98,3,97,185
57120,98,2,97,138
57121,98,1,97,145
64376,98,1,97,165
57123,98,1,97,143
64377,98,2,97,188
57124,98,4,97,127
64385,98,1,97,179
57126,98,1,97,140
64386,98,8,97,166
57127,98,3,97,161
57128,98,3,97,132
64387,98,2,97,181
57129,98,4,97,114
57130,98,1,97,136
57131,98,1,97,142
64357,98,3,97,170
64366,98,5,97,186
64367,98,3,97,162
64369,98,3,97,169
64370,98,1,97,172
64379,98,2,97,191
64380,98,1,97,173
64381,98,1,97,190
64382,98,1,97,168
64388,98,4,97,180
64389,98,1,97,178
67086,98,1,97,369
67087,98,1,97,367
67088,98,1,97,301
