id,created_at,edited_at,nombres,entidad_id,cargo_id,old_id,imagen
2,2010-03-15 06:13:37.124360,2010-03-15 06:13:37.124403,NA,4,179,NA,NA
3,2010-03-15 06:13:37.133962,2010-03-15 06:13:37.134004,NA,3,208,NA,NA
4,2010-03-15 06:13:37.147330,2010-03-15 06:13:37.147368,NA,5,208,NA,NA
5,2010-03-15 06:13:37.155374,2010-03-15 06:13:37.155411,NA,6,179,NA,NA
6,2010-03-15 06:13:37.163100,2010-03-15 06:13:37.163138,NA,7,208,NA,NA
7,2010-03-15 06:13:37.170661,2010-03-15 06:13:37.170697,NA,8,171,NA,NA
8,2010-03-15 06:13:37.179167,2010-03-15 06:13:37.179207,NA,9,171,NA,NA
9,2010-03-15 06:13:37.187787,2010-03-15 06:13:37.187829,NA,10,171,NA,NA
10,2010-03-15 06:13:37.197249,2010-03-15 06:13:37.197301,NA,11,171,NA,NA
11,2010-03-15 06:13:37.209025,2010-03-15 06:13:37.209076,NA,12,171,NA,NA
13,2010-03-15 06:13:37.248651,2010-03-15 06:13:37.248704,NA,4,179,NA,NA
14,2010-03-15 06:13:37.261223,2010-03-15 06:13:37.261275,NA,19,179,NA,NA
15,2010-03-15 06:13:37.272907,2010-03-15 06:13:37.272959,NA,2,179,NA,NA
16,2010-03-15 06:13:37.285448,2010-03-15 06:13:37.285502,NA,20,179,NA,NA
17,2010-03-15 06:13:37.297291,2010-03-15 06:13:37.297343,NA,21,179,NA,NA
18,2010-03-15 06:13:37.309081,2010-03-15 06:13:37.309134,NA,22,179,NA,NA
19,2010-03-15 06:13:37.320565,2010-03-15 06:13:37.320615,NA,23,179,NA,NA
20,2010-03-15 06:13:37.332088,2010-03-15 06:13:37.332140,NA,2,179,NA,NA
21,2010-03-15 06:13:37.344005,2010-03-15 06:13:37.344060,NA,24,179,NA,NA
5090,2011-03-03 18:06:14.456509,2011-03-03 18:06:14.456545,Juan Carlos Henao,348,185,NA,imgs/citados/henao_.jpg
23,2010-03-15 06:13:37.375161,2010-03-15 06:13:37.375215,NA,4,179,NA,NA
24,2010-03-15 06:13:37.389576,2010-03-15 06:13:37.389628,NA,26,179,NA,NA
25,2010-03-15 06:13:37.400988,2010-03-15 06:13:37.401040,NA,5,208,NA,NA
26,2010-03-15 06:13:37.413108,2010-03-15 06:13:37.413159,NA,14,208,NA,NA
27,2010-03-15 06:13:37.424475,2010-03-15 06:13:37.424526,NA,2,179,NA,NA
28,2010-03-15 06:13:37.436571,2010-03-15 06:13:37.436623,NA,24,179,NA,NA
29,2010-03-15 06:13:37.448661,2010-03-15 06:13:37.448712,NA,6,179,NA,NA
30,2010-03-15 06:13:37.472271,2010-03-15 06:13:37.472325,NA,7,208,NA,NA
31,2010-03-15 06:13:37.483732,2010-03-15 06:13:37.483785,NA,3,208,NA,NA
32,2010-03-15 06:13:37.492629,2010-03-15 06:13:37.492668,NA,29,179,NA,NA
33,2010-03-15 06:13:37.502940,2010-03-15 06:13:37.502992,NA,30,179,NA,NA
34,2010-03-15 06:13:37.520892,2010-03-15 06:13:37.520944,NA,27,208,NA,NA
35,2010-03-15 06:13:37.543105,2010-03-15 06:13:37.543158,NA,31,179,NA,NA
36,2010-03-15 06:13:37.554869,2010-03-15 06:13:37.554935,NA,32,179,NA,NA
37,2010-03-15 06:13:37.568729,2010-03-15 06:13:37.568781,NA,33,179,NA,NA
1,2010-03-15 06:13:37.110522,2017-06-08 19:48:12.426536,NA,3,269,NA,NA
39,2010-03-15 06:13:37.592086,2010-03-15 06:13:37.592141,NA,2,179,NA,NA
41,2010-03-15 06:13:37.616253,2010-03-15 06:13:37.616296,NA,28,179,NA,NA
42,2010-03-15 06:13:37.632088,2010-03-15 06:13:37.632141,NA,14,208,NA,NA
43,2010-03-15 06:13:37.658295,2010-03-15 06:13:37.658348,NA,14,208,NA,NA
44,2010-03-15 06:13:37.672114,2010-03-15 06:13:37.672166,NA,27,208,NA,NA
45,2010-03-15 06:13:37.690778,2010-03-15 06:13:37.690830,NA,22,179,NA,NA
47,2010-03-15 06:13:37.720858,2010-03-15 06:13:37.720911,NA,36,179,NA,NA
48,2010-03-15 06:13:37.735010,2010-03-15 06:13:37.735066,NA,24,179,NA,NA
49,2010-03-15 06:13:37.753887,2010-03-15 06:13:37.753938,NA,35,179,NA,NA
50,2010-03-15 06:13:37.766644,2010-03-15 06:13:37.766695,NA,35,179,NA,NA
51,2010-03-15 06:13:37.779993,2010-03-15 06:13:37.780045,NA,37,179,NA,NA
52,2010-03-15 06:13:37.793774,2010-03-15 06:13:37.793827,NA,38,208,NA,NA
53,2010-03-15 06:13:37.805326,2010-03-15 06:13:37.805377,NA,39,179,NA,NA
54,2010-03-15 06:13:37.817319,2010-03-15 06:13:37.817369,NA,40,179,NA,NA
55,2010-03-15 06:13:37.828735,2010-03-15 06:13:37.828786,NA,41,179,NA,NA
72,2010-03-15 06:13:38.069323,2017-06-06 16:13:30.165460,NA,38,13,NA,NA
57,2010-03-15 06:13:37.869483,2010-03-15 06:13:37.869535,NA,1,179,NA,NA
58,2010-03-15 06:13:37.882400,2010-03-15 06:13:37.882452,NA,2,179,NA,NA
59,2010-03-15 06:13:37.895354,2010-03-15 06:13:37.895405,NA,38,208,NA,NA
60,2010-03-15 06:13:37.907845,2010-03-15 06:13:37.907920,NA,2,179,NA,NA
61,2010-03-15 06:13:37.920414,2010-03-15 06:13:37.920468,NA,46,179,NA,NA
62,2010-03-15 06:13:37.946887,2010-03-15 06:13:37.946941,NA,28,179,NA,NA
63,2010-03-15 06:13:37.960193,2010-03-15 06:13:37.960244,NA,24,208,NA,NA
64,2010-03-15 06:13:37.972909,2010-03-15 06:13:37.972963,NA,2,179,NA,NA
65,2010-03-15 06:13:37.987867,2010-03-15 06:13:37.987930,NA,47,208,NA,NA
66,2010-03-15 06:13:37.999520,2010-03-15 06:13:37.999570,NA,44,208,NA,NA
67,2010-03-15 06:13:38.011059,2010-03-15 06:13:38.011111,NA,1,208,NA,NA
68,2010-03-15 06:13:38.022406,2010-03-15 06:13:38.022458,NA,48,179,NA,NA
69,2010-03-15 06:13:38.034202,2010-03-15 06:13:38.034252,NA,24,208,NA,NA
70,2010-03-15 06:13:38.045683,2010-03-15 06:13:38.045734,NA,2,179,NA,NA
71,2010-03-15 06:13:38.057621,2010-03-15 06:13:38.057673,NA,43,179,NA,NA
73,2010-03-15 06:13:38.081096,2010-03-15 06:13:38.081148,NA,49,179,NA,NA
75,2010-03-15 06:13:38.106282,2010-03-15 06:13:38.106335,NA,42,210,NA,NA
76,2010-03-15 06:13:38.118697,2010-03-15 06:13:38.118749,NA,47,208,NA,NA
77,2010-03-15 06:13:38.130544,2010-03-15 06:13:38.130597,NA,50,208,NA,NA
78,2010-03-15 06:13:38.145379,2010-03-15 06:13:38.145440,NA,42,179,NA,NA
79,2010-03-15 06:13:38.158531,2010-03-15 06:13:38.158585,NA,24,208,NA,NA
80,2010-03-15 06:13:38.170450,2010-03-15 06:13:38.170502,NA,16,208,NA,NA
81,2010-03-15 06:13:38.182350,2010-03-15 06:13:38.182401,NA,51,179,NA,NA
82,2010-03-15 06:13:38.195021,2010-03-15 06:13:38.195075,NA,52,179,NA,NA
83,2010-03-15 06:13:38.207590,2010-03-15 06:13:38.207641,NA,47,208,NA,NA
84,2010-03-15 06:13:38.219055,2010-03-15 06:13:38.219108,NA,39,179,NA,NA
85,2010-03-15 06:13:38.230681,2010-03-15 06:13:38.230732,NA,7,208,NA,NA
86,2010-03-15 06:13:38.242740,2010-03-15 06:13:38.242794,NA,18,161,NA,NA
87,2010-03-15 06:13:38.253034,2010-03-15 06:13:38.253070,NA,53,179,NA,NA
88,2010-03-15 06:13:38.261734,2010-03-15 06:13:38.261773,NA,54,179,NA,NA
89,2010-03-15 06:13:38.269459,2010-03-15 06:13:38.269496,NA,44,208,NA,NA
90,2010-03-15 06:13:38.277228,2010-03-15 06:13:38.277266,NA,55,179,NA,NA
91,2010-03-15 06:13:38.285645,2010-03-15 06:13:38.285688,NA,56,179,NA,NA
92,2010-03-15 06:13:38.297616,2010-03-15 06:13:38.297668,NA,27,179,NA,NA
74,2010-03-15 06:13:38.093516,2017-06-06 16:13:34.046672,NA,38,13,NA,NA
94,2010-03-15 06:13:38.323232,2010-03-15 06:13:38.323283,NA,44,208,NA,NA
95,2010-03-15 06:13:38.335078,2010-03-15 06:13:38.335130,NA,57,179,NA,NA
96,2010-03-15 06:13:38.346772,2010-03-15 06:13:38.346824,NA,58,179,NA,NA
97,2010-03-15 06:13:38.359260,2010-03-15 06:13:38.359312,NA,59,179,NA,NA
98,2010-03-15 06:13:38.371672,2010-03-15 06:13:38.371724,NA,60,179,NA,NA
99,2010-03-15 06:13:38.383952,2010-03-15 06:13:38.384005,NA,16,208,NA,NA
100,2010-03-15 06:13:38.397242,2010-03-15 06:13:38.397296,NA,61,179,NA,NA
101,2010-03-15 06:13:38.408814,2010-03-15 06:13:38.408865,NA,44,208,NA,NA
102,2010-03-15 06:13:38.420928,2010-03-15 06:13:38.420980,NA,5,179,NA,NA
103,2010-03-15 06:13:38.432551,2010-03-15 06:13:38.432604,NA,2,179,NA,NA
104,2010-03-15 06:13:38.448552,2010-03-15 06:13:38.448603,NA,5,179,NA,NA
105,2010-03-15 06:13:38.460222,2010-03-15 06:13:38.460275,NA,62,179,NA,NA
106,2010-03-15 06:13:38.471777,2010-03-15 06:13:38.471829,NA,2,179,NA,NA
107,2010-03-15 06:13:38.483930,2010-03-15 06:13:38.483982,NA,63,179,NA,NA
108,2010-03-15 06:13:38.497031,2010-03-15 06:13:38.497084,NA,6,179,NA,NA
109,2010-03-15 06:13:38.508897,2010-03-15 06:13:38.508949,NA,3,179,NA,NA
110,2010-03-15 06:13:38.520830,2010-03-15 06:13:38.520882,NA,2,179,NA,NA
111,2010-03-15 06:13:38.532416,2010-03-15 06:13:38.532467,NA,8,171,NA,NA
112,2010-03-15 06:13:38.545745,2010-03-15 06:13:38.545804,NA,24,179,NA,NA
113,2010-03-15 06:13:38.558525,2010-03-15 06:13:38.558576,NA,44,208,NA,NA
2688,2010-03-15 06:14:14.450004,2017-06-06 16:17:37.425240,NA,16,13,NA,NA
115,2010-03-15 06:13:38.582711,2010-03-15 06:13:38.582765,NA,64,179,NA,NA
116,2010-03-15 06:13:38.595381,2010-03-15 06:13:38.595433,NA,39,208,NA,NA
117,2010-03-15 06:13:38.605074,2010-03-15 06:13:38.605111,NA,18,161,NA,NA
118,2010-03-15 06:13:38.612939,2010-03-15 06:13:38.612976,NA,42,208,NA,NA
119,2010-03-15 06:13:38.647667,2010-03-15 06:13:38.647719,NA,67,179,NA,NA
120,2010-03-15 06:13:38.660255,2010-03-15 06:13:38.660307,NA,24,179,NA,NA
121,2010-03-15 06:13:38.676405,2010-03-15 06:13:38.676457,NA,1,208,NA,NA
122,2010-03-15 06:13:38.692119,2010-03-15 06:13:38.692325,NA,16,208,NA,NA
123,2010-03-15 06:13:38.706049,2010-03-15 06:13:38.706104,NA,7,179,NA,NA
125,2010-03-15 06:13:38.741023,2010-03-15 06:13:38.741075,NA,69,179,NA,NA
126,2010-03-15 06:13:38.750658,2010-03-15 06:13:38.750696,NA,2,179,NA,NA
127,2010-03-15 06:13:38.760494,2010-03-15 06:13:38.760545,NA,49,179,NA,NA
128,2010-03-15 06:13:38.772124,2010-03-15 06:13:38.772175,NA,70,179,NA,NA
129,2010-03-15 06:13:38.784312,2010-03-15 06:13:38.784365,NA,56,179,NA,NA
130,2010-03-15 06:13:38.798290,2010-03-15 06:13:38.798341,NA,27,179,NA,NA
131,2010-03-15 06:13:38.809950,2010-03-15 06:13:38.810001,NA,14,208,NA,NA
132,2010-03-15 06:13:38.844984,2010-03-15 06:13:38.845039,NA,1,208,NA,NA
133,2010-03-15 06:13:38.858291,2010-03-15 06:13:38.858343,NA,72,179,NA,NA
134,2010-03-15 06:13:38.870388,2010-03-15 06:13:38.870808,NA,36,179,NA,NA
135,2010-03-15 06:13:38.883532,2010-03-15 06:13:38.883585,NA,73,179,NA,NA
93,2010-03-15 06:13:38.311338,2017-06-06 16:12:28.250429,NA,38,13,NA,NA
46,2010-03-15 06:13:37.702656,2017-06-06 18:27:08.287049,NA,19,147,NA,NA
38,2010-03-15 06:13:37.580273,2017-06-06 19:10:05.261482,NA,289,13,NA,NA
40,2010-03-15 06:13:37.604251,2017-06-06 19:15:46.177267,NA,289,13,NA,NA
136,2010-03-15 06:13:38.904339,2010-03-15 06:13:38.904392,NA,2,179,NA,NA
2824,2010-03-15 06:14:16.069593,2017-06-06 16:18:03.094356,NA,16,13,NA,NA
138,2010-03-15 06:13:38.928557,2010-03-15 06:13:38.928610,NA,57,179,NA,NA
139,2010-03-15 06:13:38.953140,2010-03-15 06:13:38.953192,NA,50,208,NA,NA
179,2010-03-15 06:13:39.613135,2017-06-06 19:12:09.618953,NA,289,13,NA,NA
189,2010-03-15 06:13:39.731565,2017-06-06 19:12:24.269817,NA,289,13,NA,NA
142,2010-03-15 06:13:39.003003,2010-03-15 06:13:39.003054,NA,14,208,NA,NA
143,2010-03-15 06:13:39.030383,2010-03-15 06:13:39.030440,NA,76,179,NA,NA
144,2010-03-15 06:13:39.045236,2010-03-15 06:13:39.045295,NA,77,179,NA,NA
3979,2010-04-29 21:51:03.861515,2017-06-06 15:21:05.905800,NA,732,55,NA,imgs/citados/Loterias.jpg
146,2010-03-15 06:13:39.069311,2010-03-15 06:13:39.069363,NA,39,208,NA,NA
147,2010-03-15 06:13:39.081633,2010-03-15 06:13:39.081687,NA,36,179,NA,NA
148,2010-03-15 06:13:39.094655,2010-03-15 06:13:39.094706,NA,73,179,NA,NA
149,2010-03-15 06:13:39.107220,2010-03-15 06:13:39.107272,NA,44,208,NA,NA
150,2010-03-15 06:13:39.119119,2010-03-15 06:13:39.119171,NA,48,179,NA,NA
151,2010-03-15 06:13:39.131623,2010-03-15 06:13:39.131675,NA,24,179,NA,NA
152,2010-03-15 06:13:39.147943,2010-03-15 06:13:39.147995,NA,39,208,NA,NA
153,2010-03-15 06:13:39.161523,2010-03-15 06:13:39.161576,NA,6,179,NA,NA
154,2010-03-15 06:13:39.172990,2010-03-15 06:13:39.173042,NA,6,179,NA,NA
