id,numero_expediente,sentencia_id
1,RE001,1
2,RE003,2
3,D006,3
4,D015,4
5,D014,5
6,D026,6
7,D-008,7
8,D-010,7
9,RE004,8
10,RE005,9
11,D033,10
12,D004,11
13,D032,12
14,ACTI03,13
15,D003,14
16,D020,15
17,D025,15
18,D031,15
19,D040,15
20,ACTI05,16
21,D029,17
22,D-034,18
23,D042,19
24,D038,20
25,D001,21
26,D045,22
27,D056,23
28,D092,23
29,D017,24
30,D051,24
31,D110,24
32,D011,25
33,D012,25
34,D023,26
35,D041,26
36,D022,27
37,D028,27
38,D037,28
39,RE-006,29
40,RE007,30
41,D036,31
42,D035,32
43,D039,33
44,D063,34
45,ACTI02,35
46,ACTI04,36
47,ACTI07,37
48,ACTI06,38
49,D066,39
50,RE- 008,40
51,D058,41
52,D053,42
53,D055,43
54,D053,44
55,ACTI01,45
56,D052,46
57,D070,47
58,D075,47
59,D081,47
60,D103,47
61,D062,48
62,D104,48
63,D072,49
64,D044,50
65,D-076,51
66,D-114,51
67,D069,52
68,D101,52
69,D105,52
70,D082,53
71,D099,54
72,D125,54
73,D127,54
74,D138,55
75,D074,56
76,D060,57
77,D086,58
78,D054,59
79,D073,59
80,RE091,60
81,D083,61
82,D-078,62
83,D065,63
84,D043,64
85,D050,64
86,D095,64
87,D100,64
88,D120,65
89,D102,66
90,D145,66
91,D115,67
92,D107,68
93,D143,69
94,D147,69
95,D148,69
96,D149,69
97,D067,70
98,D118,71
99,D116,71
100,D136,71
101,RE009,72
102,RE-011,73
103,RE012,74
104,RE010,75
105,RE0014,76
106,D118,77
107,D142,78
108,D108,79
109,D197,80
110,RE0013,81
111,D132,82
112,D117,83
113,D121,83
114,D123,83
115,D131,83
116,D-133,84
117,D111,85
118,OP001,86
119,RE0016,87
120,RE020,88
121,RE0021,89
122,D203,90
123,RE002,91
124,RE0017,92
125,RE015,93
126,RE019,94
127,D-134,95
128,D113,96
129,RE023,97
130,RE027,98
131,D119,99
132,RE025,100
133,RE028,101
134,RE029,102
135,RE030,103
136,RE026,104
137,LAT005,105
138,LAT-03,106
139,LAT001,107
