id,nombre_id,intervencion,concepto,sentencia_id
1,1,99,99,1
2,2,99,99,1
3,3,99,99,1
4,4,99,99,1
5,5,99,99,1
6,6,99,99,1
7,7,99,99,1
8,8,99,99,1
9,9,99,99,1
10,10,99,99,1
11,11,99,99,1
12,12,99,99,1
13,13,99,99,1
14,14,99,99,1
15,1,99,99,2
16,2,99,99,2
17,3,99,99,2
18,4,99,99,2
19,5,99,99,2
20,6,99,99,2
21,7,99,99,2
22,8,99,99,2
23,9,99,99,2
24,10,99,99,2
25,11,99,99,2
26,12,99,99,2
27,13,99,99,2
28,14,99,99,2
29,1,99,99,3
30,2,99,99,3
31,3,99,99,3
32,4,99,99,3
33,5,99,99,3
34,6,99,99,3
35,7,99,99,3
36,8,99,99,3
37,9,99,99,3
38,10,99,99,3
39,11,99,99,3
40,12,99,99,3
41,13,99,99,3
42,14,99,99,3
43,1,99,99,4
44,2,99,99,4
45,3,99,99,4
46,4,99,99,4
47,5,99,99,4
48,6,99,99,4
49,7,99,99,4
50,8,99,99,4
51,9,99,99,4
52,10,99,99,4
53,11,99,99,4
54,12,99,99,4
55,13,99,99,4
56,14,99,99,4
57,1,99,99,5
58,2,99,99,5
59,3,99,99,5
60,4,99,99,5
61,5,99,99,5
62,6,99,99,5
63,7,99,99,5
64,8,99,99,5
65,9,99,99,5
66,10,99,99,5
67,11,99,99,5
68,12,99,99,5
69,13,99,99,5
70,14,99,99,5
71,1,99,99,6
72,2,99,99,6
73,3,99,99,6
74,4,99,99,6
75,5,99,99,6
76,6,99,99,6
77,7,99,99,6
78,8,99,99,6
79,9,99,99,6
80,10,99,99,6
81,11,99,99,6
82,12,99,99,6
83,13,99,99,6
84,14,99,99,6
85,1,99,99,7
86,2,99,99,7
87,3,99,99,7
88,4,99,99,7
89,5,99,99,7
90,6,99,99,7
91,7,99,99,7
92,8,99,99,7
93,9,99,99,7
94,10,99,99,7
95,11,99,99,7
96,12,99,99,7
97,13,99,99,7
98,14,99,99,7
99,1,99,99,8
100,2,99,99,8
101,3,99,99,8
102,4,99,99,8
103,5,99,99,8
104,6,99,99,8
105,7,2,98,8
106,8,99,99,8
107,9,99,99,8
108,10,99,99,8
109,11,99,99,8
110,12,99,99,8
111,13,99,99,8
112,14,99,99,8
113,1,99,99,9
114,2,99,99,9
115,3,99,99,9
116,4,99,99,9
117,5,99,99,9
118,6,99,99,9
119,7,99,99,9
120,8,99,99,9
121,9,99,99,9
122,10,99,99,9
123,11,99,99,9
124,12,99,99,9
125,13,99,99,9
126,14,99,99,9
127,1,99,99,10
128,2,99,99,10
129,3,99,99,10
130,4,99,99,10
131,5,99,99,10
132,6,99,99,10
133,7,99,99,10
