id,definitivo_id,sentencia_id
1,6,1
2,999,1
3,999,1
4,1,2
5,999,2
6,999,2
7,3,3
8,999,3
9,999,3
10,11,4
11,999,4
12,999,4
13,10,5
14,999,5
15,999,5
16,10,6
17,999,6
18,999,6
19,10,7
20,999,7
21,999,7
22,6,8
23,999,8
24,999,8
25,11,9
26,999,9
27,999,9
28,9,10
29,999,10
30,999,10
31,3,11
32,999,11
33,999,11
34,11,12
35,999,12
36,999,12
37,11,13
38,3,13
39,6,13
40,6,14
41,999,14
42,999,14
43,9,15
44,999,15
45,999,15
46,9,16
47,999,16
48,999,16
49,6,17
50,999,17
51,999,17
52,6,18
53,999,18
54,999,18
55,11,19
56,999,19
57,999,19
58,6,20
59,999,20
60,999,20
61,3,21
62,999,21
63,999,21
64,10,22
65,999,22
66,999,22
67,11,23
68,999,23
69,999,23
70,9,24
71,3,24
72,6,24
73,9,25
74,999,25
75,999,25
76,9,26
77,999,26
78,999,26
79,2,27
80,999,27
81,999,27
82,1,28
83,999,28
84,999,28
85,6,29
86,10,29
87,11,29
88,6,30
89,11,30
90,9,30
91,3,31
92,999,31
93,999,31
94,2,32
95,999,32
96,999,32
97,2,33
98,999,33
99,999,33
100,9,34
101,999,34
102,999,34
103,1,35
104,3,35
105,6,35
106,10,36
107,999,36
108,999,36
109,6,37
110,999,37
111,999,37
112,3,38
113,999,38
114,999,38
115,9,39
116,999,39
117,999,39
118,6,40
119,11,40
120,9,40
121,5,41
122,999,41
123,999,41
124,10,42
125,999,42
126,999,42
127,3,43
128,999,43
129,999,43
130,10,44
131,999,44
132,999,44
133,2,45
134,999,45
135,999,45
136,2,46
137,999,46
138,999,46
139,10,47
140,999,47
141,999,47
142,10,48
143,999,48
144,999,48
145,6,49
146,999,49
147,999,49
148,3,50
149,999,50
150,999,50
151,9,51
152,999,51
153,999,51
154,1,52
155,999,52
156,999,52
157,11,53
158,999,53
159,999,53
160,9,54
161,999,54
162,999,54
163,3,55
164,999,55
165,999,55
166,3,56
167,999,56
168,999,56
169,6,57
170,3,57
171,11,57
172,11,58
173,999,58
174,999,58
175,6,59
176,999,59
177,999,59
178,3,60
179,999,60
180,999,60
181,6,61
182,999,61
183,999,61
184,3,62
185,999,62
186,999,62
187,6,63
188,999,63
189,999,63
190,9,64
191,999,64
192,999,64
193,3,65
194,999,65
195,999,65
196,9,66
197,999,66
198,999,66
199,3,67
200,999,67
201,999,67
202,3,68
203,999,68
204,999,68
205,6,69
206,999,69
207,999,69
208,1,70
209,999,70
210,999,70
211,2,71
212,999,71
213,999,71
214,6,72
