id,tema_id,sentencia_id
1,5,1
2,99,1
3,99,1
4,6,2
5,99,2
6,99,2
7,7,3
8,99,3
9,99,3
10,4,4
11,5,4
12,99,4
13,5,5
14,99,5
15,99,5
16,1,6
17,5,6
18,99,6
19,3,7
20,99,7
21,99,7
22,8,8
23,99,8
24,99,8
25,8,9
26,99,9
27,99,9
28,4,10
29,99,10
30,99,10
31,5,11
32,3,11
33,99,11
34,4,12
35,99,12
36,99,12
37,11,13
38,5,13
39,99,13
40,1,14
41,99,14
42,99,14
43,4,15
44,5,15
45,99,15
46,11,16
47,99,16
48,99,16
49,1,17
50,99,17
51,99,17
52,1,18
53,99,18
54,99,18
55,4,19
56,99,19
57,99,19
58,5,20
59,99,20
60,99,20
61,14,21
62,99,21
63,99,21
64,4,22
65,99,22
66,99,22
67,4,23
68,99,23
69,99,23
70,3,24
71,99,24
72,99,24
73,4,25
74,99,25
75,99,25
76,1,26
77,4,26
78,5,26
79,12,27
80,99,27
81,99,27
82,3,28
83,99,28
84,99,28
85,8,29
86,99,29
87,99,29
88,5,30
89,4,30
90,99,30
91,1,31
92,99,31
93,99,31
94,8,32
95,99,32
96,99,32
97,3,33
98,99,33
99,99,33
100,4,34
101,99,34
102,99,34
103,11,35
104,99,35
105,99,35
106,1,36
107,4,36
108,5,36
109,11,37
110,21,37
111,99,37
112,11,38
113,99,38
114,99,38
115,4,39
116,99,39
117,99,39
118,6,40
119,99,40
120,99,40
121,1,41
122,99,41
123,99,41
124,4,42
125,99,42
126,99,42
127,12,43
128,99,43
129,99,43
130,4,44
131,99,44
132,99,44
133,5,45
134,99,45
135,99,45
136,1,46
137,99,46
138,99,46
139,4,47
140,99,47
141,99,47
142,1,48
143,5,48
144,99,48
145,1,49
146,99,49
147,99,49
148,5,50
149,99,50
150,99,50
151,3,51
152,99,51
153,99,51
154,1,52
155,5,52
156,99,52
157,4,53
158,99,53
159,99,53
160,4,54
161,99,54
162,99,54
163,5,55
164,1,55
165,99,55
166,4,56
167,99,56
168,99,56
169,8,57
170,99,57
171,99,57
172,6,58
173,4,58
174,99,58
175,1,59
176,5,59
177,3,59
178,10,60
179,99,60
180,99,60
181,1,61
182,99,61
183,99,61
184,5,62
185,99,62
186,99,62
187,5,63
188,99,63
189,99,63
190,4,64
191,99,64
192,99,64
193,9,65
194,12,65
195,99,65
196,2,66
197,99,66
198,99,66
199,5,67
200,1,67
201,99,67
202,1,68
203,99,68
204,99,68
205,3,69
206,1,69
207,99,69
208,5,70
209,7,70
210,99,70
211,11,71
212,99,71
213,99,71
214,6,72
215,99,72
216,99,72
217,6,73
218,99,73
219,99,73
220,6,74
221,99,74
222,99,74
223,6,75
224,99,75
225,99,75
226,6,76
227,12,76
228,99,76
229,2,77
