id,nombre_completo,avatar
1,Jaime Sanín Greiffenstein,NA
2,Simón Rodríguez Rodríguez,NA
5,Hernando Herrera Vergara,NA
6,Eduardo Cifuentes,NA
8,Antonio Barrera Carbonell,NA
11,José Gregorio Hernández Galindo,NA
12,Carlos Gaviria Díaz,NA
14,Alfredo Beltrán Sierra,NA
17,Manuel José Cepeda Espinosa,NA
18,Jaime Córdoba Triviño,NA
19,Clara Inés Vargas Hernández,NA
20,Jaime Araujo Rentería,NA
21,Marco Gerardo Monroy Cabra,NA
26,Carmenza Isaza de Gómez,NA
29,Jairo Charry Rivas.,NA
45,Sonia Vivas Pineda,NA
47,Myriam Ávila,NA
555,Ponencia múltiple,NA
999,No aplica,NA
48,Alejandro Linares Cantillo,imgs/sentencias/magistrado/Alejandro_Linares_Cantillo.JPG
44,Gloria Stella Ortiz,imgs/sentencias/magistrado/Gloria_Stella_Ortiz.JPG
39,Alberto Rojas Ríos,imgs/sentencias/magistrado/Alberto_Rojas_Rios.JPG
38,Luis Guillermo Guerrero,imgs/sentencias/magistrado/Luis_Guillermo_Guerrero_Perez.JPG
36,Gabriel Eduardo Mendoza,imgs/sentencias/magistrado/Gabriel_Eduardo_Mendoza.jpg
35,Luis Ernesto Vargas,imgs/sentencias/magistrado/Luis_Ernesto_Vargas.jpg
34,Jorge Iván Palacio,imgs/sentencias/magistrado/Jorge_Ivan_Palacio.jpg
33,Jorge Pretelt Chaljub,imgs/sentencias/magistrado/Jorge_Pretelt_Chaljub.jpg
31,María Victoria Calle,imgs/sentencias/magistrado/Maria_Victoria_Calle_Correa.jpg
32,Mauricio González Cuervo,imgs/sentencias/magistrado/Mauricio_Gonzalez_Cuervo.jpg
42,Adriana María Guillen Arango,imgs/sentencias/magistrado/Adriana_Maria_Guillen_Arango.jpg
9,Alejandro Martínez Caballero,imgs/sentencias/magistrado/Alejandro_Martinez_Caballero1.jpg
43,Alexei Julio Estrada,imgs/sentencias/magistrado/Alexei_Julio_Estrada.jpg
15,Álvaro Tafur Galvis,imgs/sentencias/magistrado/Alvaro_Tafur_Galvis.jpg
46,Andrés Mutis,imgs/sentencias/magistrado/Andres_Mutis_Vanegas.jpg
40,Catalina Botero Mariño,imgs/sentencias/magistrado/Catalina_Botero_Marino.jpg
3,Ciro Angarita Barón,imgs/sentencias/magistrado/Ciro_Angarita_Baron.JPG
41,Clara Elena Reales Gutiérrez,imgs/sentencias/magistrado/Clara_Elena_Reales.jpg
28,Cristina Pardo Schlessinger,imgs/sentencias/magistrado/Cristina_Pardo.jpg
10,Fabio Morón Díaz,imgs/sentencias/magistrado/Fabio_Moron_Diaz.jpg
22,Humberto Sierra Porto,imgs/sentencias/magistrado/Humberto_Sierra_Porto.jpg
4,Jorge Arango Mejía,imgs/sentencias/magistrado/Jorge_Arango_Mejia.jpg
37,Juan Carlos Henao,imgs/sentencias/magistrado/Juan_Carlos_Henao_Perez.jpg
27,Julio César Ortiz Gutiérrez,imgs/sentencias/magistrado/Julio_Cesar_Ortiz_Gutierrez.jpg
13,Luis Eduardo Montealegre Lynett,imgs/sentencias/magistrado/Luis_Eduardo_Montealegre_Lynett.jpg
30,María Teresa Garcés Lloreda,imgs/sentencias/magistrado/Maria_Teresa_Garces_Lloreda.jpg
25,Martha Victoria Sáchica de Moncaleano,imgs/sentencias/magistrado/Martha_Victoria_Sachica.JPG
23,Nilson Pinilla Pinilla,imgs/sentencias/magistrado/Nilson_Pinilla_Pinilla.jpg
16,Rodrigo Escobar Gil,imgs/sentencias/magistrado/Rodrigo_Escobar_Gil.jpg
24,Rodrigo Uprimny Yépez,imgs/sentencias/magistrado/Rodrigo_Uprimny_Yepes.jpeg
7,Vladimiro Naranjo Mesa,imgs/sentencias/magistrado/Vladimiro_Naranjo_Mesa.jpg
49,Jose Gabino Pinzón Sánchez (Conjuez),NA
50,Edgardo Villamil Portilla (Conjuez),NA
51,Aquiles Arrieta Gómez,imgs/sentencias/magistrado/Aquiles_Arrieta.jpg
52,Nicolas Zuleta Hincapie (Conjuez),NA
53,MARÍA VICTORIA CALLE CORREA,NA
54,LUIS ERNESTO VARGAS SILVA,NA
55,JORGE IVÁN PALACIO PALACIO,NA
56,IVÁN HUMBERTO ESCRUCERÍA MAYOLO,NA
57,Jose Antonio Cepeda Amaris,NA
58,ALEJANDRO LINARES CANTILLO,NA
59,HERNÁN CORREA CARDOZO,NA
60,ANTONIO JOSÉ LIZARAZO OCAMPO,NA
61,CARLOS BERNAL PULIDO,NA
