id,nombre,avatar
2,Ministerio de Justicia y del Derecho,NA
3,Ministerio de Hacienda y Crédito Público,NA
4,Ministerio de Defensa Nacional,NA
5,Ministerio de Relaciones Exteriores,NA
6,Ministerio de Agricultura,NA
7,Ministerio del Trabajo y Seguridad Social,NA
10,Ministerio de Comercio Exterior,NA
11,Ministerio de Desarrollo Económico,NA
12,Ministerio de Educación,NA
13,Ministerio del Medio Ambiente,NA
14,Ministerio de Transporte,NA
15,Ministerio de Cultura,NA
16,Ministerio de Comunicaciones,NA
17,Ministerio de Vivienda,NA
1,Ministerio del Interior,imgs/sentencias/ministerio/escudo-mininterior.jpg
9,Ministerio de Minas y Energía,NA
8,Ministerio de Salud,imgs/sentencias/ministerio/MINSALUD1-011.png
18,Ministerio de Tecnologías de la Información y las comunicaciones,NA
19,Ministerio de Gobierno,NA
20,"Ministerio de Comercio, Industria y Turismo",NA
21,Ministerio Publico,NA
22,Ministerio de Justicia y del Derecho,NA
23,Ministerio de minas y energia,NA
