id,nombres,apellidos,avatar
1,Carlos Gustavo,Arrieta Padilla,NA
2,Orlando,Vásquez Velásquez,NA
3,Luis Eduardo,Montoya  Medina,NA
4,José León,Jaramillo Jaramillo,NA
5,Jaime,Bernal Cuellar,NA
6,Edgardo,Maya Villazón,NA
8,Martha Isabel,Castañeda Curvelo,NA
9,Mauricio,Echeverry Gutierrez,NA
10,Luis Eduardo,Montealegre Lynett,NA
11,Orlando,Solano Barcebas,NA
12,Guillermo,Zalah Zuleta,NA
13,Alberto,Hernández Esquivel,NA
14,Santiago,Gomez Parra,NA
15,Carlos Arturo,Gómez Pavajeau,NA
16,Nubia,Herrera Ariza,NA
17,Sonia Patricia,Tellez Bletrán,NA
18,Maria Claudia,Zea Ramírez,NA
19,Carmenza,Isaza Delgado,NA
20,Francisco Javier,Farfán Molina,NA
7,Alejandro,Ordoñez Maldonado,imgs/sentencias/procurador/ordonez_1.jpg
21,Martha Isabel,Castañeda,NA
22,Fernando,Carillo,NA
