id,nombre
1,Económico
2,Electoral / Partidos políticos
3,Separación de poderes
4,Derechos civiles y/o políticos
5,Derechos sociales y/o económicos
6,"Conflicto armado, orden público"
7,Derechos ambientales y colectivos
8,Administrativo
9,Menor y familia
10,Institucional
11,Internacional
12,Penal y procesal penal
13,Justicia
14,Tránsito y transporte
15,Sector agropecuario
16,Regulación de profesiones
17,Ordenamiento territorial
18,Descentralización
19,Régimen disciplinario – Disciplinario
20,Cultura y patrimonio – Honores
21,Comercial
99,No aplica
22,Libertad religiosa
23,Estado de excepción
24,Arbitraje nacional e internacional
25,Infraestructura de transporte
26,Trubutario
27,Tributario
28,Educación
29,Contratación Publica
30,Discapacitados
31,personas en situación de discapacidad física
32,Comercio de armas
33,nstituto Penitenciario y Carcelario
34,Implementación del proceso de paz
35,Trato a los animales
36,Cultura
37,Procedimientos (Procesal)
