id,app_name,migration,applied
1,orden_del_dia,0001_initial,2011-01-04 00:25:17.854795
2,orden_del_dia,0002_auto__chg_field_citadoasistentecitacion_asiste,2011-01-04 00:25:23.429545
3,orden_del_dia,0003_auto__chg_field_invitadoasistentecitacion_asiste,2011-01-04 00:25:23.906700
4,blog,0001_initial,2011-01-04 00:51:00.205798
5,blog,0002_auto__chg_field_post_fecha_publicacion,2011-01-04 00:51:06.780441
6,proyecto_de_ley,0001_initial,2011-01-04 01:11:23.046974
7,proyecto_de_ley,0002_auto__add_field_votacion_numero_no_asistencias,2011-01-04 01:11:33.086073
8,orden_del_dia,0004_auto__add_field_citacion_respuesta,2011-01-08 00:42:02.071120
9,proyecto_de_ley,0003_auto__chg_field_votacion_proyecto__chg_field_autorproyectoley_proyecto,2011-04-25 21:59:37.539654
10,proyecto_de_ley,0004_m2m_estadodeproyectodeley_comision,2011-04-25 22:28:43.088290
11,proyecto_de_ley,0005_auto__del_field_estadodeproyectodeley_comision,2011-04-25 22:37:29.807240
12,congreso,0001_initial,2011-04-29 21:06:30.910995
13,congreso,0002_auto__add_tipocomision,2011-05-03 19:27:06.808657
14,congreso,0003_auto__add_field_comision_tipo_comision,2011-05-03 21:46:41.379469
15,congreso,0004_comisiones_legales_y_otras,2011-05-03 22:54:01.020940
16,congreso,0005_auto__add_cargocamara__add_integrantecamara,2011-05-07 00:32:13.247122
17,congreso,0006_copiar_tuplas_integrantecomision_y_cargocomision,2011-05-07 00:32:14.867895
18,proyecto_de_ley,0008_auto__add_clasevotacion,2011-06-22 01:14:17.759358
25,congreso,0008_auto__chg_field_comision_camara,2011-07-27 00:33:00.695858
20,proyecto_de_ley,0009_auto__add_field_votacion_clase_votacion,2011-06-22 02:31:04.720961
21,proyecto_de_ley,0010_auto__add_field_votacion_numero_asistencias,2011-06-22 21:07:43.145230
22,proyecto_de_ley,0006_auto__add_field_proyectoley_estado_proyecto_ley_actual,2011-06-25 03:16:18.017143
23,proyecto_de_ley,0007_hallar_EstadoDeProyectoDeLey_actual,2011-06-25 04:15:15.205336
24,congreso,0007_auto__add_field_comision_correo__add_field_comision_oficina__add_field,2011-06-25 04:22:35.848639
26,orden_del_dia,0005_auto__chg_field_proyectoenordendia_proyecto__chg_field_invitadoasisten,2011-08-09 20:43:43.181780
27,grupo,0001_initial,2011-08-18 02:29:04.461927
28,grupo,0002_permiso_admin_todos_grupos,2011-08-18 02:29:19.819075
29,orden_del_dia,0006_auto__chg_field_ordendeldia_fecha_programada,2011-08-23 00:30:57.850487
30,congreso,0009_auto__add_field_temaopinion_obtenido_votacion,2011-11-01 21:55:28.555520
31,proyecto_de_ley,0011_auto__add_field_votacion_estados_proyecto,2011-12-14 01:57:14.934142
32,proyecto_de_ley,0012_reasignar_estado_proyecto_actual,2011-12-14 01:58:19.649109
33,proyecto_de_ley,0013_asignar_estado_PL_a_votaciones,2012-01-10 21:40:15.051975
34,proyecto_de_ley,0014_auto__add_field_estadodeproyectodeley_numero_titulos__add_field_estado,2012-04-13 01:59:52.524374
35,proyecto_de_ley,0015_auto__add_field_proyectoley_alias,2012-04-25 02:05:47.941188
38,proyecto_de_ley,0016_separar_alias,2012-04-25 23:36:16.830746
39,proyecto_de_ley,0017_auto__add_field_proyectoley_importancia__add_field_proyectoley_destaca,2012-05-14 21:14:20.766611
40,congreso,0010_auto__add_field_partido_es_bancada,2012-06-07 00:39:58.894955
41,proyecto_de_ley,0018_auto__add_field_proyectoley_alcance,2012-06-07 01:25:06.804085
42,proyecto_de_ley,0019_auto__add_field_estadodeproyectodeley_observaciones,2012-06-14 02:36:57.775420
43,proyecto_de_ley,0020_auto__add_field_votacion_datos_importacion__add_field_votacion_resulta,2012-06-21 21:09:04.416496
44,proyecto_de_ley_textos,0001_initial,2012-06-27 00:26:23.161427
45,proyecto_de_ley_textos,0002_auto__add_comparacion,2012-07-04 02:39:50.755993
46,proyecto_de_ley,0021_eliminar_votos_congresista_lucero_cortes,2012-07-06 01:14:37.846991
47,proyecto_de_ley,0022_eliminar_votos_congresista_lucero_cortes_encabezado,2012-07-06 01:38:07.612648
48,proyecto_de_ley,0023_auto__add_field_estadodeproyectodeley_orden,2012-07-26 20:56:25.574249
49,django_extensions,0001_empty,2013-11-13 15:25:12.164425
50,social_auth,0001_initial,2013-11-13 15:25:12.398011
51,social_auth,0002_auto__add_unique_nonce_timestamp_salt_server_url__add_unique_associati,2013-11-13 15:25:12.433801
52,congreso,0011_auto__chg_field_congresista_partido_politico,2013-11-13 15:25:20.336221
53,congreso,0012_auto__add_field_reemplazo_partido__add_field_reemplazo_camara__add_fie,2013-11-13 15:40:00.209176
