id,created_at,nombre,descripcion,activo,usercreated,usermodifed,updated_at
3,2009-12-03 22:08:38.482325,Medio Ambiente,NA,TRUE,NA,NA,2009-12-03 22:08:38.482365
100,2009-12-03 22:08:53.125858,Tránsito y transporte,"aéreo, fluvial, masivo, código de tránsito, normas de tránsito, pico y placa,",TRUE,NA,NA,2010-03-03 16:30:45.883063
38,2009-12-03 22:08:39.785592,Servicios Públicos,NA,TRUE,NA,NA,2009-12-03 22:08:39.785649
55,2009-12-03 22:08:42.182651,Mujer,NA,TRUE,NA,NA,2009-12-03 22:08:42.182707
63,2009-12-03 22:08:43.657830,Corrupción,NA,TRUE,NA,NA,2009-12-03 22:08:43.657884
95,2009-12-03 22:08:51.390379,Familia,NA,TRUE,NA,NA,2009-12-03 22:08:51.390435
106,2009-12-03 22:08:54.957934,Juegos Azar,NA,TRUE,NA,NA,2009-12-03 22:08:54.957973
8,2009-12-03 22:08:38.568337,Agropecuario y agrícola,"agricultura, animales",TRUE,NA,NA,2010-02-25 17:23:49.813037
116,2010-02-25 17:11:37.426020,Bienestar y pobreza,todo lo relacionado con política social,TRUE,NA,NA,2010-02-25 17:11:37.426061
94,2009-12-03 22:08:51.294920,Derechos Humanos y DIH,NA,TRUE,NA,NA,2010-02-25 17:24:07.662273
47,2009-12-03 22:08:41.189788,"Celebraciones, honores y monumentos","efemérides, patrimonio, conmemoraciones",TRUE,NA,NA,2010-02-25 17:16:44.887523
53,2009-12-03 22:08:41.769393,"Comunicaciones, medios y tecnologías de la información","tecnologías de la información, televisión, satélites, radio",TRUE,NA,NA,2010-08-10 20:28:27.872880
119,2010-02-25 17:19:11.399138,Conflicto armado,"procesos de paz, víctimas, justicia y paz, intercambio humanitario, desmovilización, reinserción",TRUE,NA,NA,2010-02-25 17:19:11.399174
64,2009-12-03 22:08:43.706100,"Comercio, industria y turismo",consumidores,TRUE,NA,NA,2010-02-25 17:19:31.885999
2,2009-12-03 22:08:38.469734,"Educación, cultura, ciencia y tecnología","ciencia, investigación, cultura",TRUE,NA,NA,2010-08-10 19:44:57.129865
22,2009-12-03 22:08:38.953656,Laboral,"Salarios, sindicatos, huelgas, trabajo, empleo, prestaciones",TRUE,NA,NA,2010-02-25 17:25:55.234331
108,2009-12-03 22:08:56.265574,Política Internacional,"relaciones internacionales, TLC, tratados, convenciones, acuerdos, migración, doble nacionalidad, fronteras",TRUE,NA,NA,2010-02-25 17:29:02.719468
120,2010-02-25 19:46:46.978732,Minorías étnicas y sexuales,"indígenas, afros, LGBT",TRUE,NA,NA,2010-02-25 19:46:46.978773
121,2010-02-25 19:59:47.931053,Rama Ejecutiva,"presidente, ministros, gobernadores, alcaldes, secretarías",TRUE,NA,NA,2010-02-25 19:59:47.931103
122,2010-02-25 21:43:48.534116,Justicia,"cárceles, códigos, delitos, narcotráfico, extradición",TRUE,NA,NA,2010-02-25 21:43:48.534143
123,2010-02-25 21:59:56.454073,"Seguridad, defensa y fuerza pública","servicio militar, seguridad ciudadana, armas",TRUE,NA,NA,2010-02-25 21:59:56.454111
124,2010-02-26 21:31:07.536780,Asuntos administrativos,NA,FALSE,NA,NA,2010-02-26 21:31:07.536830
28,2009-12-03 22:08:39.329437,Derechos Fundamentales,NA,TRUE,NA,NA,2010-03-02 20:18:22.405261
