id,problema_id,link_id
1,244,1
2,244,2
3,30,3
4,30,4
10,285,6
11,302,4
12,302,5
13,284,7
14,283,8
15,282,9
17,280,11
18,279,12
19,278,13
20,277,14
21,276,15
22,274,16
23,273,17
24,272,18
25,271,19
26,270,20
27,269,21
28,268,22
29,267,23
30,180,24
31,21,25
39,235,29
41,317,31
44,318,33
45,318,34
47,319,36
51,322,39
52,34,40
59,323,42
60,324,43
61,17,41
62,17,35
63,17,44
64,325,45
65,260,46
66,38,47
71,321,48
72,321,38
75,315,26
76,315,28
77,315,50
80,2,52
81,2,53
83,74,55
85,328,57
86,238,58
88,329,59
90,227,60
91,227,61
93,327,56
94,331,63
95,332,64
96,332,65
99,162,66
100,162,67
102,335,69
110,110,74
113,32,32
114,32,49
115,32,76
117,3,78
118,166,80
119,166,81
120,166,82
121,166,83
122,166,79
124,91,85
125,91,86
126,91,87
127,61,88
128,61,89
131,347,91
132,348,92
133,40,84
134,40,93
136,12,96
137,12,95
139,349,97
140,165,98
141,350,99
143,352,100
144,353,101
145,353,102
146,250,104
147,250,103
150,354,105
151,354,106
152,354,107
158,338,108
159,338,77
160,338,109
161,22,110
162,308,94
163,308,111
167,356,113
202,366,131
205,369,134
217,381,146
218,381,147
221,382,148
228,389,153
231,392,155
232,392,156
240,396,161
251,405,165
252,407,167
255,410,170
256,412,171
258,414,173
264,418,177
266,281,10
267,281,179
268,182,178
270,420,181
283,429,191
285,355,112
286,355,192
287,221,193
291,432,196
292,431,195
293,430,194
295,422,184
296,351,197
297,433,198
298,434,199
299,421,200
301,195,51
302,436,202
303,189,203
304,189,204
305,138,205
306,196,206
307,437,208
308,437,207
309,178,209
310,178,210
311,179,211
312,152,212
313,438,213
314,438,214
315,145,216
316,145,215
317,193,217
318,188,218
319,202,219
320,197,220
321,197,221
322,439,222
323,439,223
324,440,224
325,153,225
326,184,226
327,441,227
328,185,228
329,198,229
331,136,231
332,442,232
333,121,233
334,121,234
335,121,70
336,116,235
337,80,236
338,346,90
339,346,237
340,337,75
341,336,71
342,330,62
343,443,238
344,443,239
345,220,240
346,220,241
347,220,30
348,263,242
349,241,243
350,240,244
351,214,245
352,214,246
353,226,72
354,226,247
355,224,248
356,224,249
357,233,250
358,233,251
359,239,252
360,239,253
362,205,254
363,204,256
364,204,255
365,187,257
366,158,73
367,158,258
368,130,259
369,113,260
370,113,261
371,444,262
372,444,263
375,69,264
376,69,265
377,29,266
378,77,267
379,77,268
380,333,68
382,259,269
383,259,270
384,445,271
386,447,273
387,447,274
388,448,275
390,435,201
391,449,276
392,450,277
394,388,152
395,388,278
397,399,163
398,399,279
400,394,280
401,394,158
406,385,281
407,385,149
408,367,132
410,362,282
411,362,126
412,361,283
413,361,127
414,406,166
415,357,115
416,357,116
417,395,160
420,360,123
421,360,124
422,387,151
423,316,27
424,402,164
426,451,284
427,446,272
428,446,285
431,326,286
432,452,287
433,453,288
