id,created_at,updated_at,nombre,fechaDeCreacion,lugar,estatutos,lineamientos,resenaHistorica,activo
102,2010-01-17 17:19:23.640196,2010-03-18 19:46:21.971417,Popular Colombiano - Movimiento Nacional C,NA,NA,NA,NA,NA,2
27,2010-01-17 17:19:23.307205,2010-01-17 21:01:42.240185,Movimiento Ciudadano,NA,NA,NA,NA,NA,2
32,2010-01-17 17:19:23.328352,2010-01-17 21:01:43.166014,Movimiento Comunitario,NA,NA,NA,NA,NA,2
57,2010-01-17 17:19:23.460979,2010-01-17 21:01:40.953716,Movimiento 98,NA,NA,NA,NA,NA,2
59,2010-01-17 17:19:23.479285,2010-01-17 21:01:42.129743,Movimiento Bolivariano,NA,NA,NA,NA,NA,2
65,2010-01-17 17:19:23.509876,2010-01-17 21:01:43.282583,Movimiento Conservatismo,NA,NA,NA,NA,NA,2
100,2010-01-17 17:19:23.633481,2011-05-11 15:29:25.992579,Nacional Cristiano,NA,NA,NA,NA,NA,2
70,2010-01-17 17:19:23.526239,2010-01-17 21:01:45.742233,Movimiento Humbertista,NA,NA,NA,NA,NA,2
74,2010-01-17 17:19:23.538413,2010-01-17 21:01:46.215354,Movimiento Nacional Conservador,NA,NA,NA,NA,NA,2
75,2010-01-17 17:19:23.541532,2010-01-17 21:01:46.338961,Movimiento Nacional Conservador - Alianza Nacional,NA,NA,NA,NA,NA,2
53,2010-01-17 17:19:23.451914,2010-01-18 17:21:11.336694,Coalición,NA,NA,NA,NA,NA,2
55,2010-01-17 17:19:23.456716,2010-01-18 17:21:45.773930,"Educación, Trabajo y Cambio Social",NA,NA,NA,NA,NA,2
54,2010-01-17 17:19:23.454619,2010-01-18 17:21:26.540451,Coalición Partido Liberal Colombiano,NA,NA,NA,NA,NA,2
73,2010-01-17 17:19:23.535373,2011-05-17 15:29:43.047713,Movimiento Nacional,NA,NA,NA,NA,NA,2
60,2010-01-17 17:19:23.491974,2010-01-18 23:07:37.896460,Movimiento Cívico Independiente - Cpc-Movimiento D,NA,NA,NA,NA,NA,2
76,2010-01-17 17:19:23.544691,2010-01-18 23:08:52.284789,Movimiento Nacional Conservador - Partido Conservador,NA,NA,NA,NA,NA,2
77,2010-01-17 17:19:23.547795,2010-01-18 23:09:05.016671,Movimiento Nacional Conservador-Partido Conservador,NA,NA,NA,NA,NA,2
79,2010-01-17 17:19:23.553910,2010-01-18 23:09:22.316430,Movimiento Nueva Fuerza Democrática/Conservador,NA,NA,NA,NA,NA,2
83,2010-01-17 17:19:23.566444,2011-08-09 20:03:17.412941,Movimiento Político Laicos por Colombia,NA,NA,NA,NA,NA,2
45,2010-01-17 17:19:23.400005,2011-05-09 15:36:42.156255,Movimiento Unionista,NA,NA,NA,NA,NA,2
86,2010-01-17 17:19:23.576211,2010-01-17 21:01:48.728233,Otras Organizaciones,NA,NA,NA,NA,NA,2
87,2010-01-17 17:19:23.579224,2010-01-17 21:01:48.827493,Otros Partidos O Movimientos.,NA,NA,NA,NA,NA,2
52,2010-01-17 17:19:23.449737,2010-02-15 17:32:06.006785,Asi-Mci-Ca Mockus,NA,NA,NA,NA,NA,2
58,2010-01-17 17:19:23.469190,2010-03-18 16:43:19.623287,Alternativa de Avance Social Alas,NA,NA,NA,NA,NA,2
37,2010-01-17 17:19:23.365942,2010-03-18 17:04:07.706777,Equipo Colombia,NA,NA,NA,NA,NA,2
41,2010-01-17 17:19:23.386386,2011-05-09 15:47:00.813622,Movimiento Nueva Fuerza Democrática,NA,NA,NA,NA,NA,2
90,2010-01-17 17:19:23.602686,2010-03-18 19:25:45.280041,Conservador Colombiano- Movimiento Fuerza,NA,NA,NA,NA,NA,2
81,2010-01-17 17:19:23.560103,2011-05-09 15:51:24.443579,Movimiento Político Ciudadanos por Boyacá,NA,NA,NA,NA,NA,2
93,2010-01-17 17:19:23.611817,2010-03-18 19:26:40.336112,Conservador Colombiano-Pop.Col,NA,NA,NA,NA,NA,2
