id,nombre
1,Acuerdo/Canje de notas/Convención
2,Código Civil
3,Código Contencioso Administrativo
4,Código de Comercio
5,Código Penal
6,Código de Procedimiento Civil
7,Código de Procedimiento Penal
8,Código Sustantivo del Trabajo
9,Ley 100 de 1993
10,Ley 80 de 1993
11,Decreto
12,Ley
13,Acto Legislativo
14,Código Procesal Laboral
15,Código Disciplinario Único
16,Estatuto Tributario
17,Código Penal Militar
18,Proyecto legislativo
19,Proyecto de Ley
20,Código General del Proceso
21,Código de la Infancia y la Adolescencia
22,Código de Minas
23,Código General del Proceso
99,No aplica
