posicion_ptr_id,proposicion_id
11,4
12,2
13,3
14,1
29,4
30,2
31,3
32,1
69,4
70,2
71,3
72,1
80,4
81,2
82,3
83,1
91,4
92,2
93,3
94,1
102,4
103,2
104,3
105,1
113,4
114,2
115,3
116,1
124,4
125,2
126,3
127,1
146,4
147,2
148,3
149,1
157,4
158,2
159,3
160,1
168,4
169,2
170,3
171,1
190,4
191,2
192,3
193,1
201,4
202,2
203,3
204,1
223,4
224,2
225,3
226,1
234,4
235,2
236,3
237,1
278,4
279,2
280,3
281,1
289,4
290,2
291,3
292,1
300,4
301,2
302,3
303,1
311,4
312,2
313,3
314,1
322,4
323,2
324,3
325,1
344,4
345,2
346,3
347,1
355,4
356,2
357,3
358,1
366,4
367,2
368,3
369,1
377,4
378,2
379,3
380,1
388,4
389,2
390,3
391,1
399,4
400,2
401,3
402,1
410,4
411,2
412,3
413,1
443,4
444,2
445,3
446,1
476,4
477,2
478,3
479,1
487,4
488,2
489,3
490,1
509,4
510,2
511,3
512,1
520,4
521,2
531,4
532,2
533,3
534,1
542,4
543,2
544,3
545,1
553,4
554,2
555,3
556,1
575,4
576,2
577,3
578,1
597,4
598,2
599,3
600,1
608,4
609,2
610,3
611,1
619,4
620,2
621,3
622,1
641,4
642,2
421,4
423,3
424,1
643,3
644,1
652,4
653,2
498,4
499,2
500,3
501,1
654,3
655,1
179,4
180,2
181,3
182,1
685,4
686,2
687,3
688,1
718,4
740,4
741,2
742,3
257,2
258,3
256,4
259,1
743,1
762,4
763,2
764,3
765,1
795,4
796,2
797,3
798,1
817,4
818,2
819,3
820,1
828,4
829,2
830,3
831,1
839,4
840,2
841,3
432,4
433,2
434,3
435,1
522,3
523,1
719,2
720,3
721,1
212,4
213,2
214,3
333,4
334,2
335,3
336,1
842,1
850,4
851,2
852,3
853,1
863,3
864,1
883,4
884,2
885,3
886,1
894,4
895,2
896,3
897,1
905,4
906,2
907,3
908,1
916,4
917,2
918,3
919,1
927,4
928,2
929,3
930,1
931,4
932,2
933,3
934,1
945,4
946,2
947,3
948,1
956,4
957,2
958,3
959,1
989,4
990,2
991,3
992,1
1011,4
1033,4
1034,2
1035,3
1036,1
1044,4
1045,2
1046,3
1047,1
1055,4
1056,2
1057,3
1058,1
1088,4
1089,2
1090,3
1091,1
1099,4
1100,2
1101,3
1102,1
1110,4
1111,2
1112,3
1113,1
1132,4
1133,2
1134,3
1135,1
1143,4
1144,2
1145,3
1146,1
1154,4
1155,2
1156,3
1157,1
1168,1
1176,4
1177,2
1178,3
1179,1
1187,4
1188,2
1189,3
1190,1
1198,4
1199,2
1200,3
1201,1
1209,4
1210,2
1211,3
1212,1
1220,4
1221,2
1222,3
1223,1
1231,4
1232,2
1233,3
1234,1
1451,4
1452,2
1453,3
1454,1
1517,4
1518,2
1519,3
1520,1
1561,4
1562,2
1563,3
1564,1
1583,4
1584,2
1585,3
1586,1
1605,4
1606,2
1607,3
1608,1
1616,4
1617,2
1618,3
1619,1
1649,4
1650,2
1651,3
1652,1
1682,4
1683,2
1684,3
1685,1
1693,4
1694,2
1695,3
1696,1
1704,4
1705,2
1706,3
1707,1
1726,4
1727,2
1728,3
1729,1
1759,4
1760,2
1761,3
1762,1
1781,4
1782,2
1783,3
1784,1
1847,4
1848,2
1849,3
1850,1
1869,4
1870,2
1397,4
1871,3
1872,1
1891,4
1892,2
1893,3
1894,1
1902,4
1903,2
1904,3
1905,1
1913,4
1914,2
1915,3
1916,1
1924,4
1925,2
1770,4
1771,2
1772,3
1773,1
1165,4
1166,2
1167,3
872,4
873,2
874,3
1012,2
1013,3
1014,1
1022,4
1023,2
1024,3
