posicion_ptr_id,tema_id
1,9
2,10
4,8
19,9
20,10
21,5
28,8
33,9
34,5
62,9
63,10
73,9
74,10
75,5
76,8
84,9
85,10
86,5
87,8
95,9
96,10
97,5
98,8
106,9
107,10
108,5
109,8
117,9
118,10
119,5
120,8
139,9
140,10
141,5
142,8
150,9
151,10
152,5
153,8
161,9
162,10
163,5
164,8
183,9
184,10
185,5
186,8
216,9
217,10
218,5
219,8
227,9
228,10
229,5
230,8
271,9
272,10
273,5
274,8
282,9
283,10
284,5
285,8
293,9
294,10
295,5
296,8
337,9
338,10
339,5
340,8
35,8
348,9
349,10
350,5
351,8
359,9
360,10
361,5
362,8
370,9
371,10
372,5
373,8
3,5
250,10
251,5
252,8
249,9
381,9
382,10
383,5
384,8
392,9
393,10
394,5
395,8
436,9
437,10
438,5
439,8
480,9
481,10
482,5
483,8
502,9
503,10
504,5
505,8
568,9
569,10
570,5
571,8
590,9
591,10
592,5
593,8
634,9
635,10
636,5
637,8
678,9
679,10
680,5
681,8
491,9
493,5
733,9
734,10
735,5
736,8
755,9
756,10
757,5
758,8
788,9
789,10
790,5
791,8
459,10
326,9
327,10
328,5
194,9
195,10
196,5
197,8
304,9
305,10
306,5
315,9
316,10
317,5
318,8
821,9
811,10
535,9
469,9
470,10
471,5
472,8
843,9
844,10
172,9
547,10
548,5
612,9
614,5
615,8
546,9
514,10
812,5
425,9
426,10
427,5
428,8
810,9
173,10
175,8
515,5
536,10
537,5
524,9
525,10
526,5
527,8
601,9
602,10
603,5
613,10
205,9
206,10
207,5
208,8
645,9
646,10
647,5
513,9
822,10
823,5
824,8
403,9
404,10
405,5
832,9
854,9
857,8
876,9
877,10
878,5
879,8
887,9
888,10
889,5
890,8
898,9
899,10
900,5
901,8
909,9
910,10
911,5
912,8
937,10
938,9
939,10
940,5
941,8
982,9
983,10
984,5
985,8
1026,9
1027,10
1028,5
1029,8
1037,9
1038,10
1039,5
1040,8
1048,9
1049,10
1050,5
1051,8
1081,9
1082,10
1083,5
1084,8
1092,9
1093,10
1094,5
1095,8
1103,9
1104,10
1105,5
1106,8
1125,9
1126,10
1127,5
1128,8
1136,9
1137,10
1138,5
1139,8
1147,9
1148,10
1149,5
1150,8
1169,9
1170,10
1171,5
1172,8
1180,9
1181,10
1182,5
1183,8
1191,9
1192,10
1193,5
1194,8
1202,9
1203,10
1204,5
1205,8
1215,5
1224,9
1225,10
1226,5
1227,8
1444,9
1445,10
1446,5
1447,8
1510,9
1511,10
1512,5
1513,8
1554,9
1555,10
1556,5
1557,8
1576,9
1577,10
1578,5
1579,8
1598,9
1599,10
1600,5
1601,8
1609,9
1610,10
1611,5
1612,8
1642,9
1643,10
1644,5
1645,8
1675,9
1676,10
1677,5
1678,8
1686,9
1687,10
1688,5
1689,8
1719,9
1720,10
1721,5
1722,8
1752,9
1753,10
1754,5
1755,8
1774,9
1775,10
1776,5
1777,8
1862,9
1863,10
1864,5
1865,8
1884,9
1885,10
1886,5
1887,8
1895,9
1896,10
1897,5
1898,8
1906,9
1907,10
1908,5
1909,8
1917,9
1918,10
1919,5
1920,8
1763,9
1764,10
1765,5
1766,8
1158,9
1159,10
1160,5
1161,8
1004,9
1005,10
1015,9
1059,9
866,10
1213,9
868,8
845,5
846,8
920,9
921,10
922,5
1928,9
1929,10
1930,5
1931,8
1840,9
1841,10
1842,5
1006,5
1016,10
1017,5
1018,8
865,9
1214,10
1216,8
867,5
1060,10
1061,5
1543,9
1544,10
1545,5
1697,9
1698,10
1699,5
1700,8
972,10
1620,9
1621,10
1622,5
1070,9
1071,10
1072,5
949,9
950,10
951,5
952,8
993,9
994,10
995,5
1623,8
1246,9
1247,10
1248,5
1249,8
1939,9
1940,10
1941,5
1942,8
1950,9
1951,10
1952,5
1953,8
1961,9
1962,10
1963,5
1964,8
1983,9
1984,10
1985,5
1986,8
1994,9
1995,10
1996,5
1997,8
2005,9
2006,10
2007,5
2008,8
2017,9
2018,10
2019,5
2020,8
2039,9
2040,10
2041,5
2042,8
2061,9
2062,10
2063,5
2064,8
2072,9
2073,10
2074,5
2075,8
2105,9
2106,10
2107,5
2108,8
2127,9
2128,10
2129,5
2130,8
2138,9
2139,10
2140,5
2171,9
2172,10
2173,5
2174,8
2182,9
2183,10
2184,5
2185,8
23991,9
23992,10
23993,5
23994,8
2204,9
2205,10
2206,5
2207,8
2226,9
2227,10
2228,5
2229,8
2237,9
2238,10
2239,5
2240,8
2248,9
2249,10
2250,5
2251,8
2314,9
2315,10
2316,5
2317,8
2325,9
2326,10
2327,5
2328,8
2347,9
2348,10
2349,5
2350,8
2391,9
2392,10
2393,5
2394,8
2435,9
2436,10
2437,5
2438,8
2457,9
2458,10
2459,5
2460,8
2468,9
2469,10
2470,5
2471,8
2479,9
2480,10
2481,5
2482,8
2501,9
2502,10
2503,5
2504,8
2512,9
2513,10
2514,5
2515,8
2523,9
2524,10
2525,5
2526,8
2534,9
2535,10
2536,5
2537,8
2567,9
2568,10
2569,5
2570,8
2578,9
2579,10
2580,5
2581,8
2589,9
2590,10
2591,5
2592,8
2611,9
2612,10
2613,5
2614,8
2622,9
2623,10
2624,5
2625,8
2633,9
2634,5
2635,8
2666,9
2667,10
2668,5
2669,8
2028,9
2403,10
2404,5
2405,8
2116,9
2117,10
2118,5
2119,8
1389,9
2050,9
2051,10
2402,9
2215,9
2216,10
2217,5
2218,8
2545,9
2546,10
2547,5
971,9
973,5
2371,5
974,8
2677,9
2678,10
2679,5
2556,9
2557,10
2558,5
2559,8
2083,9
2084,10
2085,5
1972,9
1973,10
1974,5
1975,8
2699,9
2029,10
2030,5
2052,5
2700,10
2701,5
2702,8
2270,9
2271,10
2272,5
2273,8
2413,9
2414,10
2415,5
2490,9
2491,10
2492,5
2493,8
2688,9
2689,10
2690,5
2369,9
2370,10
2372,8
2778,9
2779,10
2780,5
2781,8
2789,9
2790,10
2791,5
2792,8
2800,9
2801,10
2802,5
2803,8
2811,9
2812,10
2813,5
2814,8
2822,9
2823,10
2824,5
2825,8
2844,9
2845,10
2846,5
2847,8
2877,9
2878,10
2879,5
2880,8
2888,9
2889,10
2890,5
2891,8
2899,9
2900,10
2901,5
2902,8
2910,9
2911,10
2912,5
2913,8
24288,9
24289,10
24290,5
24291,8
2932,9
2933,10
2934,5
2935,8
2943,9
2944,10
2945,5
2946,8
2954,9
2955,10
2956,5
2957,8
2976,9
2977,10
2978,5
2979,8
2987,9
2988,10
2989,5
2990,8
2998,9
2999,10
3000,5
3001,8
3009,9
3010,10
3011,5
3012,8
3020,9
3021,10
3022,5
3023,8
3031,9
3032,10
3033,5
3034,8
3042,9
3043,10
3044,5
3045,8
3053,9
3054,10
3055,5
3056,8
3064,9
