id,proyecto_id,anio,cod_sentencia,num_sentencia,tipo_caso_id,id_norma,titulo_norma,mas_normas,otras_normas,numero_camara,numero_senado,tipo_demanda_id,oficio,fecha_norma
4115,NA,2000,C1159,1159,1,LEY 130 DE 1994,"POR LA CUAL SE DICTA EL ESTATUTO BÁSICO DE LOS PARTIDOS Y MOVIMIENTOS POLÍTICOS, SE DICTAN NORMAS SOBRE SU FINANCIACIÓN Y LA DE LAS CAMPAÑAS ELECTORALES Y SE DICTAN OTRAS DISPOSICIONES",TRUE,9999,9999,9999,9,TRUE,1994-03-23
4116,NA,2000,C371,371,1,PROYECTO DE LEY 158 DE 1998,"POR LA CUAL SE REGLAMENTA LA ADECUADA Y EFECTIVA PARTICIPACIÓN DE LA MUJER EN LOS NIVELES DECISORIOS DE LAS DIFERENTES RAMAS Y ÓRGANOS DEL PODER PÚBLICO DE CONFORMIDAD CON LOS ARTÍCULOS 13, 40 Y 43 DE LA CONSTITUCIÓN NACIONAL Y SE DICTAN OTRAS DISPOSICIONES",TRUE,PROYECTO DE LEY 062 DE 1998,158/98,62/98,9,TRUE,1998-06-30
4117,NA,2000,C393,393,1,"Proyecto de Ley Estatutaria Nº 138/98 Senado, 144/98 Cámara","Por medio de la cual se derogan, modifican y suprimen algunas disposiciones de la Ley 270 de 1996 y Decreto 2699 de 1991 y se dictan otras disposiciones",TRUE,9999,144/1998,138/1998,9,TRUE,1999-07-07
4118,NA,2001,C169,169,1,proyecto de ley número 025/99 Senado y 217/99 Cámara,por la cual se reglamenta el artículo 176 de la Constitución Política de Colombia,TRUE,9999,217/99,025/99,9,TRUE,1999-07-07
4119,NA,2002,C179,179,1,"PROYECTO DE LEY ESTATUTARIA No 58/00 SENADO, 219/01 CÁMARA","POR LA CUAL SE REFORMAN LAS LEYES 1431 Y 134 DE 1994, REGLAMENTARIAS DEL VOTO PROGRAMÁTICO",TRUE,9999,219/01,58/00,9,TRUE,2001-06-22
4120,NA,2002,C295,295,1,PROYECTO DE LEY ESTATUTARIA 24/00 SENADO-218/01 CÁMARA,POR LA CUAL SE MODIFICAN EL ARTÍCULO 134 Y EL NUMERAL 6 DEL ARTÍCULO 152 DE LA LEY 270 DE 1996,TRUE,9999,218/01,24/00,9,TRUE,2001-07-03
4121,NA,2002,C688,688,1,PROYECTO DE LEY NÚMERO 147/01 SENADO  Y 074/01 ACUMULADO 075/01 CÁMARA,POR MEDIO DEL CUAL SE DICTAN NORMAS CONCERNIENTES A LA ELECCIÓN DE CIUDADANOS SECUESTRADOS,TRUE,9999,074/01,147/01,9,TRUE,2001-12-19
4122,NA,2003,C292,292,1,Proyecto de ley estatutaria 22/01 Senado y 149/01 C,Por medio de la cual se reglamentan las veedurías ciudadanas,TRUE,9999,149/01,22/01,9,TRUE,2002-06-20
4123,NA,2004,C1056,1056,1,PROYECTO DE LEY ESTATUTARIA NO. 142/02 SENADO Y NO. 005/02 CÁMARA,Por la cual se reglamenta el artículo 30 de la Constitución Política,TRUE,9999,005 de 2002,142 de 2002,9,TRUE,2002-12-17
4124,NA,2004,C1119,1119,1,"PROYECTO DE LEY No 176/04 SENADO, 211/04 CÁMARA",POR MEDIO DEL CUAL SE DESARROLLA EL ACTO LEGISLATIVO 02 DE 2003,TRUE,9999,211/04,176/04,9,TRUE,2003-12-18
