id,nombre,activo,usercreated,usermodifed,created_at,updated_at
1,Ministerio de Minas y Energía,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
3,Ministerio de Defensa Nacional,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
4,Oficina del Alto Comisionado para la Paz,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
7,Ministerio de Relaciones Exteriores,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
8,Policía Nacional,NA,NA,NA,15/03/10 6:13,06/09/10 14:46
9,Estado Mayor Conjunto de las Fuerzas Militares,NA,NA,NA,15/03/10 6:13,02/09/10 16:45
11,Ejército Nacional,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
1150,Gobernación del Guaviare,NA,NA,NA,28/10/10 17:54,28/10/10 17:54
1755,Fedeartesanos - Federación de Artesanos Productores de Colombia,NA,NA,NA,30/06/17 15:34,30/06/17 15:34
14,Ministerio de Transporte,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
1200,Armada Nacional,NA,NA,NA,09/12/10 19:30,09/12/10 19:30
1756,Oficina de las Naciones Unidas Contra la Droga y el Delito (UNODC),NA,NA,NA,31/07/17 20:29,31/07/17 20:29
18,Alcaldía Mayor de Bogotá,NA,NA,NA,15/03/10 6:13,02/09/10 15:18
1160,Fondo de Promociones Turísticas,NA,NA,NA,05/11/10 21:06,05/11/10 21:06
20,DIMAYOR - División Mayor del Fútbol Profesional Colombiano,NA,NA,NA,15/03/10 6:13,26/08/10 20:15
21,Selección Colombia,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
23,COLFUTBOL - Federación Colombiana de Fútbol,NA,NA,NA,15/03/10 6:13,31/08/10 20:16
1161,Procuraduría Regional del Cauca,NA,NA,NA,08/11/10 15:21,08/11/10 15:21
26,Ministerio de Justicia y el Derecho,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
28,Ministerio de Comunicaciones,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
29,Hospital Militar Central,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
30,Sanidad Ambiental,NA,NA,NA,15/03/10 6:13,15/03/10 6:13
