id,nombre,persona_id,fecha_fundacion,objetivos,mision,vision,imagen,activo,created_at,updated_at,usercreated,usermodifed
68,Grupo Educación en Género,3499,2000-10-24,"Impulsar interdisciplinaria e interinstitucionalmente investigaciones y acciones que identifiquen, revelen y modifiquen barreras culturales que impiden la participación equitativa de mujeres y hombres en la sociedad, para contribuir a una educación democrática y a una formación integral",NA,NA,uploads/grupos/grupo_de_género_1.png,TRUE,2011/03/08 18:33:37,2011/03/08 18:36:59,NA,NA
7,Confederación Colombiana de ONG'S,2563,NA,NA,NA,NA,NA,FALSE,2010/05/11 12:26:08,2010/05/11 12:26:08,NA,NA
11,Colombia Líder,3492,NA,"Objetivo General
Poner en marcha un esquema de seguimiento y control social a la gobernabilidad, pobreza y desigualdad en el país e incentivar la buena gestión pública orientada al logro de resultados


Objetivos Específicos
 Estimular el logro de resultados en la gestión pública local y regional

 Visibilizar las mejores practicas de los gobiernos locales y regionales para estimular la replica en el nivel territorial

 Incentivar una cultura de rendición de cuentas con participación de la sociedad civil en el local, regional y nacional

 Contribuir al fortalecimiento de la gobernabilidad al nivel local, regional y nacional estimulando la transparencia, la gestión por resultados e inclusión social

 Retroalimentar al gobierno a través de la percepción ciudadana y el análisis de expertos sectoriales

 Monitorear y ejercer un activo control social a los resultados de las políticas sociales contenidas en las distintas estrategias para la reducción de la pobreza y desigualdad en el país 

 Mantener vigente el debate y la reflexión sobre las acciones encaminadas a la reducción de la pobreza y la desigualdad, y sus resultados en el país

 Incentivar la generación y uso de la información oportuna y de calidad, sobre los resultados sobre las políticas y programas del Estado. 
",NA,NA,uploads/grupos/Colombia_lider.tif,TRUE,2010/05/11 12:45:12,2012/05/30 14:30:21,NA,NA
30,Corporación Viva la Ciudadanía,2578,NA,NA,"LA CONSTRUCCIÓN DE LO PÚBLICO DEMOCRÁTICO

La Misión de la Corporación Viva la Ciudadanía es la de trabajar por la refundación de lo público democrático en Colombia, cuyo actor central ha sido la sociedad civil, teniendo en cuenta una ciudadanía moderna, plural y diversa. 

Para ello se deberá trabajar por una profunda reforma en las costumbres políticas y de una democratización de los partidos políticos en el propio aparato de Estado, puesto que las instituciones públicas y las leyes son bienes públicos que deben recuperarse para que se pongan al servicio del bien común; por el fortalecimiento del tercer sector o sociedad civil, como un sector con vocación pública; por unas reformas económicas y sociales que favorezcan la equidad y la superación de la pobreza, por la búsqueda de la paz y la convivencia ciudadana y por el desarrollo de una amplia pedagogía política que permita la formación de un liderazgo social y político con vocación de servicio público.",NA,uploads/grupos/logoviva.jpg,FALSE,2010/05/11 13:11:34,2011/01/12 20:47:51,NA,NA
26,Centro de Investigación en Comunicación Política - Universidad Externado de Colombia,2577,NA,NA,NA,NA,NA,FALSE,2010/05/11 13:09:27,2010/05/11 13:52:07,NA,NA
9,Corporación Ocasa,4037,2004-06-29,"Sensibilizar, formar y empoderar a jóvenes de todo el país.","Crear espacios innovadores de participación que involucren a los jóvenes colombianos en la construcción de una democracia transparente.

","Ocasa compromete a los jóvenes colombianos con la defensa de lo público, incide en las políticas públicas, promueve el cambio social a través de su Red Nacional de Jóvenes, y es una institución de referencia a nivel nacional e internacional.",uploads/grupos/ocasa_.jpg,TRUE,2010/05/11 12:29:49,2011/06/20 16:40:05,NA,NA
90,Corporación Excelencia en la Justicia,5525,1996-08-28,NA,NA,NA,uploads/grupos/Corporaci_n_execencia_a_la_justicia.JPG,TRUE,2012/06/12 21:52:05,2013/08/02 20:33:35,NA,NA
75,Plataforma Civil Animalista de Colombia,4186,2011-06-08,"Congregar a los diferentes actores y sectores nacionales preocupados por la vida y la dignidad de los animales, con el fin de posicionar la protección y la defensa de las especies en la agenda pública, generando resultados concretos y cambios de impacto.",Trabajar para que Colombia reconozca la existencia de los derechos de los animales y el Estado asuma su protección.,"Convertirse en la herramienta principal de posicionamiento de la protección animal en Colombia, llegando a resultados específicos y convirtiendo a Colombia en un país respetuoso hacia los mismos.",uploads/grupos/LOGO_ALTO.jpg,TRUE,2011/06/21 20:02:36,2011/08/03 19:03:44,NA,NA
19,Red Nacional de Mujeres,2574,NA,NA,NA,NA,uploads/grupos/rednalmujeres.jpg,TRUE,2010/05/11 13:04:17,2011/01/17 19:34:00,NA,NA
6,Concejo Cómo Vamos,3493,2002-09-02,"El seguimiento sistemático que hace Concejo Cómo Vamos aplica un modelo de indicadores para evaluar el desempeño de cada concejal, las bancadas y la Corporación en su totalidad. 


En lo referente a la actividad normativa, el modelo tiene en cuenta el impacto esperado en los proyectos de acuerdo de autoria de cada concejal que sean discutidos en las sesiones de la corporación y la entrega oportuna de ponencias. Para la evaluación al desempeño de las Bancadas y del Concejo, se tienen en cuenta las iniciativas del cabildo, las propuestas del Alcalde y la coherencia en la votación de los concejales.


De acuerdo con las competencias de Control Político el seguimiento se centra en la evaluación del impacto y la prioridad que tienen los temas discutidos para la ciudadanía bogotana. La asistencia y permanencia en las sesiones seguirá siendo un criterio de valoración para el desempeño de los concejales. 


Tales indicadores son complementados a partir de análisis sobre la pertinencia de los temas y sobre el estado de las relaciones entre el Concejo y la administración de la ciudad en cabeza de la Alcaldía Mayor. El programa publica informes semestrales sobre el desempeño de la corporación y complementa esta actividad con la realización de foros y mesas de trabajo en los que participan expertos, funcionarios de la administración distrital y ciudadanos interesados. 
",NA,"Gran parte de los materiales producidos por Concejo Cómo Vamos se divulga a través de la sección Bogotá del periódico El Tiempo y del canal local City TV. Como un medio para conocer la evolución de la opinión ciudadana, a partir de 2002 el proyecto realiza una encuesta de percepción para establecer el conocimiento, la imagen y la valoración que los ciudadanos hacen de las actividades del concejo y sus concejales. La encuesta se aplica a cerca de 1.500 personas, representativas de la población de la ciudad, así como de las distintas zonas y grupos de estratos.",uploads/grupos/Concejo_Pequeño.jpg,TRUE,2010/05/11 12:23:55,2011/03/08 22:06:11,NA,NA
