id,nombre,departamento_id,activo,usercreated,usermodifed,created_at,updated_at
1,Cali,32,NA,NA,NA,NA,NA
2,Bucaramanga,29,NA,NA,NA,NA,NA
4,Bogotá,1,NA,NA,NA,NA,NA
5,Barranquilla,5,NA,NA,NA,NA,NA
6,Cúcuta,24,NA,NA,NA,NA,NA
7,Palmira,32,NA,NA,NA,NA,NA
8,Popayán,11,NA,NA,NA,NA,NA
9,San Gil,29,NA,NA,NA,NA,NA
10,Rivera,18,NA,NA,NA,NA,NA
11,Pereira,27,NA,NA,NA,NA,NA
12,Medellín,3,NA,NA,NA,NA,NA
13,Purificacion,31,NA,NA,NA,NA,NA
14,Carmen de Bolivar,6,NA,NA,NA,NA,NA
15,Montelibano,14,NA,NA,NA,NA,NA
16,Duitama,7,NA,NA,NA,NA,NA
18,Ansermanuevo,32,NA,NA,NA,NA,NA
19,Magangué,6,NA,NA,NA,NA,NA
21,Moniquirá,7,NA,NA,NA,NA,NA
22,Nimaima,15,NA,NA,NA,NA,NA
24,Pinillos,6,NA,NA,NA,NA,NA
25,Tarazá,3,NA,NA,NA,NA,NA
26,Líbano,31,NA,NA,NA,NA,NA
27,Cartago,32,NA,NA,NA,NA,NA
28,Socorro,29,NA,NA,NA,NA,NA
29,Cimitarra,29,NA,NA,NA,NA,NA
31,Tocaima,15,NA,NA,NA,NA,NA
32,Mocoa,25,NA,NA,NA,NA,NA
33,Chitaraque,7,NA,NA,NA,NA,NA
34,San Calixto,24,NA,NA,NA,NA,NA
35,Bugalagrande,32,NA,NA,NA,NA,NA
36,Choachí,15,NA,NA,NA,NA,NA
37,Guasca,15,NA,NA,NA,NA,NA
38,Cómbita,7,NA,NA,NA,NA,NA
39,Cerrito,29,NA,NA,NA,NA,NA
40,Tenerife,20,NA,NA,NA,NA,NA
41,Sincelejo,30,NA,NA,NA,NA,NA
43,Florida,32,NA,NA,NA,NA,NA
44,Lorica,14,NA,NA,NA,NA,NA
45,Santa Isabel,31,NA,NA,NA,NA,NA
46,San Vicente de Chucurí,29,NA,NA,NA,NA,NA
47,Florencia,9,NA,NA,NA,NA,NA
48,Manizales,8,NA,NA,NA,NA,NA
49,Chiquinquirá,7,NA,NA,NA,NA,NA
50,Paz de Ariporo,10,NA,NA,NA,NA,NA
51,Marinilla,3,NA,NA,NA,NA,NA
52,Bello,3,NA,NA,NA,NA,NA
53,Fusagasugá,15,NA,NA,NA,NA,NA
54,Sonsón,3,NA,NA,NA,NA,NA
55,Villa del Rosario,24,NA,NA,NA,NA,NA
56,San Jerónimo,3,NA,NA,NA,NA,NA
57,Valledupar,12,NA,NA,NA,NA,NA
58,Yopal,10,NA,NA,NA,NA,NA
59,Girón,29,NA,NA,NA,NA,NA
60,Tarso,3,NA,NA,NA,NA,NA
61,San Martín,22,NA,NA,NA,NA,NA
62,La Celia,27,NA,NA,NA,NA,NA
63,Campoalegre,18,NA,NA,NA,NA,NA
64,La Plata,18,NA,NA,NA,NA,NA
65,La Paz,29,NA,NA,NA,NA,NA
66,Cachipay,15,NA,NA,NA,NA,NA
67,Río Frío,32,NA,NA,NA,NA,NA
68,Sahagún,14,NA,NA,NA,NA,NA
69,Barranco de Loba,6,NA,NA,NA,NA,NA
70,Rionegro,3,NA,NA,NA,NA,NA
72,Caparrapí,15,NA,NA,NA,NA,NA
73,San Juan del Cesar,19,NA,NA,NA,NA,NA
74,Santa Marta,20,NA,NA,NA,NA,NA
75,Cubarral,22,NA,NA,NA,NA,NA
76,Neiva,18,NA,NA,NA,NA,NA
80,Floridablanca,29,NA,NA,NA,NA,NA
81,Támesis,3,NA,NA,NA,NA,NA
82,Piedecuesta,29,NA,NA,NA,NA,NA
83,Arauca,4,NA,NA,NA,NA,NA
84,Gámbita,29,NA,NA,NA,NA,NA
85,Pradera,32,NA,NA,NA,NA,NA
86,Bogotá,1,NA,NA,NA,NA,NA
87,Corozal,30,NA,NA,NA,NA,NA
88,Andes,3,NA,NA,NA,NA,NA
89,Candelaria,32,NA,NA,NA,NA,NA
90,Sitio Nuevo,20,NA,NA,NA,NA,NA
91,San Andrés,28,NA,NA,NA,NA,NA
92,Garagoa,7,NA,NA,NA,NA,NA
99,Briceño,7,NA,NA,NA,NA,NA
100,Marsella,27,NA,NA,NA,NA,NA
101,Cartagena,6,NA,NA,NA,NA,NA
102,Duitama,7,NA,NA,NA,NA,NA
103,Timbiquí,11,NA,NA,NA,NA,NA
104,Cereté,14,NA,NA,NA,NA,NA
107,Villavicencio,22,NA,NA,NA,NA,NA
108,San Pedro de los Milagros,3,NA,NA,NA,NA,NA
109,Sevilla,32,NA,NA,NA,NA,NA
110,Bolivar,11,NA,NA,NA,NA,NA
111,Sogamoso,7,NA,NA,NA,NA,NA
112,Teruel,18,NA,NA,NA,NA,NA
113,Chinácota,24,NA,NA,NA,NA,NA
114,Yumbo,32,NA,NA,NA,NA,NA
115,Leticia,2,NA,NA,NA,NA,NA
116,Montería,14,NA,NA,NA,NA,NA
117,Fundación,20,NA,NA,NA,NA,NA
118,Yacopí,15,NA,NA,NA,NA,NA
119,Guamo,31,NA,NA,NA,NA,NA
120,Valle de San Juan,31,NA,NA,NA,NA,NA
121,Ovejas,30,NA,NA,NA,NA,NA
127,Miami EEUU,36,NA,NA,NA,NA,NA
129,Melgar,31,NA,NA,NA,NA,NA
130,Remedios,3,NA,NA,NA,NA,NA
132,Guaitarilla,23,NA,NA,NA,NA,NA
135,Barbosa,29,NA,NA,NA,NA,NA
136,Calarcá,26,NA,NA,NA,NA,NA
137,Espinal,31,NA,NA,NA,NA,NA
138,Andalucía,32,NA,NA,NA,NA,NA
140,San Pablo,6,NA,NA,NA,NA,NA
141,Carmen,6,NA,NA,NA,NA,NA
142,Iles,23,NA,NA,NA,NA,NA
143,La Paz,12,NA,NA,NA,NA,NA
146,Ibagué,31,NA,NA,NA,NA,NA
147,Armenia,26,NA,NA,NA,NA,NA
152,Cumbal,23,NA,NA,NA,NA,NA
154,Pasto,23,NA,NA,NA,NA,NA
157,Belén de Umbria,27,NA,NA,NA,NA,NA
174,El Banco,20,NA,NA,NA,NA,NA
159,San Bernardo del Viento,14,NA,NA,NA,NA,NA
161,Monterrey,10,NA,NA,NA,NA,NA
163,Frontino,3,NA,NA,NA,NA,NA
164,Guaranda,30,NA,NA,NA,NA,NA
165,Miraflores,17,NA,NA,NA,NA,NA
17,Sincé,30,NA,NA,NA,NA,NA
349,Totoró,11,NA,NA,NA,NA,NA
166,Ocaña,24,NA,NA,NA,NA,NA
167,Chiriguaná,12,NA,NA,NA,NA,NA
168,Fundación,20,NA,NA,NA,NA,NA
169,Pensilvania,8,NA,NA,NA,NA,NA
170,Taminango,23,NA,NA,NA,NA,NA
171,Pijao,26,NA,NA,NA,NA,NA
172,Villahermosa,31,NA,NA,NA,NA,NA
173,Labranzagrande,7,NA,NA,NA,NA,NA
350,Guepsa,29,NA,NA,NA,NA,NA
288,Güicán,7,NA,NA,NA,NA,NA
175,Icononzo,31,NA,NA,NA,NA,NA
176,Ciénaga,20,NA,NA,NA,NA,NA
177,El Cerrito,32,NA,NA,NA,NA,NA
178,Carolina del Príncipe,3,NA,NA,NA,NA,NA
179,Envigado,3,NA,NA,NA,NA,NA
180,Chía,15,NA,NA,NA,NA,NA
181,Tadó,13,NA,NA,NA,NA,NA
182,Piendamó,11,NA,NA,NA,NA,NA
183,La Dorada,8,NA,NA,NA,NA,NA
184,San Juan Nepomuceno,6,NA,NA,NA,NA,NA
185,San Andrés,29,NA,NA,NA,NA,NA
186,Guacarí,32,NA,NA,NA,NA,NA
187,Pamplona,24,NA,NA,NA,NA,NA
188,Itsminá,13,NA,NA,NA,NA,NA
189,Puerto Tejada,11,NA,NA,NA,NA,NA
190,Guateque,7,NA,NA,NA,NA,NA
191,Nobsa,7,NA,NA,NA,NA,NA
192,La Cruz,23,NA,NA,NA,NA,NA
193,Puerto Colombia,5,NA,NA,NA,NA,NA
194,Gameza,7,NA,NA,NA,NA,NA
195,La Primavera,34,NA,NA,NA,NA,NA
197,Molagavita,29,NA,NA,NA,NA,NA
198,Barrancabermeja,29,NA,NA,NA,NA,NA
199,Belén,7,NA,NA,NA,NA,NA
200,Coello,31,NA,NA,NA,NA,NA
201,Quimbaya,26,NA,NA,NA,NA,NA
203,Aguadas,8,NA,NA,NA,NA,NA
204,Soledad,5,NA,NA,NA,NA,NA
205,Samaniego,23,NA,NA,NA,NA,NA
206,San Miguel,29,NA,NA,NA,NA,NA
208,Circasia,26,NA,NA,NA,NA,NA
196,Sopetrán,3,NA,NA,NA,NA,NA
209,Pore,10,NA,NA,NA,NA,NA
210,Boavita,7,NA,NA,NA,NA,NA
211,Tierralta,14,NA,NA,NA,NA,NA
212,Bajo Baudó,13,NA,NA,NA,NA,NA
213,Gaitania,31,NA,NA,NA,NA,NA
214,Otanche,7,NA,NA,NA,NA,NA
215,Guachucal,23,NA,NA,NA,NA,NA
216,Zipaquirá,15,NA,NA,NA,NA,NA
217,Pasca,15,NA,NA,NA,NA,NA
218,Anorí,3,NA,NA,NA,NA,NA
219,Tamalameque,12,NA,NA,NA,NA,NA
220,Tangua,23,NA,NA,NA,NA,NA
221,Calderas,11,NA,NA,NA,NA,NA
222,Ubaté,15,NA,NA,NA,NA,NA
223,La Pedrera,2,NA,NA,NA,NA,NA
225,Marsella,27,NA,NA,NA,NA,NA
289,Alto Baudó,13,NA,NA,NA,NA,NA
339,Bolívar,29,NA,NA,NA,NA,NA
228,Aracataca,20,NA,NA,NA,NA,NA
229,El Piñon,20,NA,NA,NA,NA,NA
230,Quibdó,13,NA,NA,NA,NA,NA
231,Villamaría,8,NA,NA,NA,NA,NA
232,Tunja,7,NA,NA,NA,NA,NA
233,Codazzi,12,NA,NA,NA,NA,NA
234,Río de Oro,12,NA,NA,NA,NA,NA
235,Alpujarra,31,NA,NA,NA,NA,NA
236,Entreríos,3,NA,NA,NA,NA,NA
237,Chinchiná,8,NA,NA,NA,NA,NA
238,Buenaventura,32,NA,NA,NA,NA,NA
239,Facatativá,15,NA,NA,NA,NA,NA
240,San Juan de Rioseco,15,NA,NA,NA,NA,NA
241,Puerto Inírida,16,NA,NA,NA,NA,NA
242,Algeciras,18,NA,NA,NA,NA,NA
243,Yarumal,3,NA,NA,NA,NA,NA
244,Itagüí,3,NA,NA,NA,NA,NA
245,Santa Rosa de Osos,3,NA,NA,NA,NA,NA
246,Argelia,3,NA,NA,NA,NA,NA
247,Tame,4,NA,NA,NA,NA,NA
248,San Antero,14,NA,NA,NA,NA,NA
249,Palermo,7,NA,NA,NA,NA,NA
250,Tuluá,32,NA,NA,NA,NA,NA
251,Chinavita,7,NA,NA,NA,NA,NA
252,Socha,7,NA,NA,NA,NA,NA
253,Samaná,8,NA,NA,NA,NA,NA
254,Chocontá,15,NA,NA,NA,NA,NA
255,Quetame,15,NA,NA,NA,NA,NA
256,Maceo,3,NA,NA,NA,NA,NA
257,Santa María,18,NA,NA,NA,NA,NA
258,Pitalito,18,NA,NA,NA,NA,NA
259,Pijiño del Carmen,20,NA,NA,NA,NA,NA
260,Gramalote,24,NA,NA,NA,NA,NA
261,Dosquebradas,27,NA,NA,NA,NA,NA
262,Buenavista,26,NA,NA,NA,NA,NA
263,Los Santos,29,NA,NA,NA,NA,NA
