id,cuatrienio_id,comision_id,congresista_id,cargo_legislativo_id_comision,fecha_inicio,fecha_fin,activo,usercreated,usermodifed,created_at,updated_at
1,6,9,2442,2,20/07/10,19/07/11,T,,,24/08/10 17:10,24/08/10 17:10
2,6,9,2818,1,20/07/10,19/07/11,T,,,24/08/10 17:11,24/08/10 17:11
3,1,8,425,NA,06/04/99,10/08/99,T,,,17/01/10 17:29,01/09/11 15:07
4,1,8,463,NA,10/05/99,12/08/99,T,,,17/01/10 17:29,01/09/11 14:44
5,1,1,388,NA,20/07/98,20/05/01,T,,,17/01/10 17:29,01/09/11 15:13
6,1,8,334,NA,20/04/99,18/07/99,T,,,17/01/10 17:29,01/09/11 15:19
7,1,5,418,NA,20/07/00,18/07/01,T,,,17/01/10 17:29,01/09/11 16:39
8,1,11,365,NA,01/11/00,07/12/00,T,,,17/01/10 17:29,01/09/11 15:53
9,4,8,352,NA,21/10/05,20/04/06,T,,,17/01/10 17:29,21/11/12 16:35
10,1,3,451,NA,20/07/98,20/07/01,T,,,17/01/10 17:29,01/09/11 16:40
11,1,3,311,NA,21/07/01,19/07/02,T,,,17/01/10 17:29,01/09/11 16:41
12,1,1,356,NA,01/02/01,30/04/01,T,,,17/01/10 17:29,01/09/11 19:18
13,1,11,319,NA,05/03/02,19/07/02,T,,,17/01/10 17:29,01/09/11 17:11
14,1,5,364,NA,01/06/01,30/11/01,T,,,17/01/10 17:29,01/09/11 19:25
15,1,1,330,NA,02/11/99,19/07/02,T,,,17/01/10 17:29,01/09/11 20:22
16,4,10,259,NA,20/07/02,19/07/06,T,,,29/01/10 18:51,17/03/10 21:00
17,1,13,325,NA,01/11/00,23/04/01,T,,,17/01/10 17:29,01/09/11 20:24
18,1,14,376,NA,01/12/98,15/03/00,T,,,17/01/10 17:29,02/09/11 19:28
19,1,3,401,NA,14/09/99,16/12/99,T,,,17/01/10 17:29,02/09/11 19:17
20,1,14,338,NA,03/04/00,30/06/02,T,,,17/01/10 17:29,02/09/11 19:33
21,1,5,474,NA,14/12/01,14/03/02,T,,,17/01/10 17:29,02/09/11 20:39
22,1,12,370,NA,01/08/98,31/10/99,T,,,17/01/10 17:29,14/09/11 19:19
23,1,5,402,NA,01/04/00,30/06/00,T,,,17/01/10 17:29,02/09/11 20:51
24,1,7,428,NA,01/02/00,30/06/00,T,,,17/01/10 17:29,14/09/11 19:37
25,1,10,469,NA,16/04/02,19/07/02,T,,,17/01/10 17:29,14/09/11 20:44
26,1,3,1,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,30/08/10 20:16
27,1,9,377,NA,25/07/00,28/08/01,T,,,17/01/10 17:29,14/09/11 21:47
28,1,2,392,NA,01/08/00,31/10/00,T,,,17/01/10 17:29,15/09/11 19:23
29,1,12,389,NA,10/02/99,05/09/00,T,,,17/01/10 17:29,15/09/11 21:33
30,1,7,340,NA,01/02/00,30/04/00,T,,,17/01/10 17:29,15/09/11 20:02
31,4,7,252,NA,20/07/02,19/07/06,T,,,02/02/10 16:20,17/03/10 21:00
32,1,7,421,NA,01/01/01,30/06/01,T,,,17/01/10 17:29,15/09/11 21:43
33,1,12,350,NA,01/01/00,30/06/00,T,,,17/01/10 17:29,16/09/11 16:29
