id,persona_id_reemplazado,persona_id_reemplaza,fecha_inicio,fecha_fin,partido_id,activo,usercreated,usermodifed,created_at,updated_at
507,581,316,2000-11-02,2001-02-01,NA,T,,,2011-03-01 22:02:01,2011-03-01 22:02:01
3,1333,452,2002-07-20,2005-05-24,NA,T,,,2010-01-22 00:33:48,2010-01-22 00:33:48
5,357,921,2009-05-01,2009-11-13,NA,T,,,2010-02-08 20:02:52,2010-05-21 16:59:05
6,1058,339,2004-08-17,2005-02-17,NA,T,,,2010-02-18 18:14:41,2010-02-18 18:14:41
8,1300,257,2008-10-01,2009-02-28,NA,T,,,2010-04-09 15:41:40,2010-04-09 15:41:40
9,111,1062,2006-10-26,2010-07-19,NA,T,,,2010-04-09 15:44:23,2010-04-09 15:44:23
10,250,409,2007-02-22,2010-07-19,NA,T,,,2010-04-09 15:46:20,2010-04-09 15:46:20
11,110,1030,2007-02-28,2010-07-19,NA,T,,,2010-04-09 15:47:16,2010-04-09 15:47:16
12,255,567,2007-05-03,2010-07-19,NA,T,,,2010-04-09 15:48:16,2010-04-09 15:48:16
14,234,904,2009-10-03,2010-07-19,NA,T,,,2010-04-09 15:51:27,2010-04-09 15:51:27
15,1283,331,2007-08-10,2010-07-19,NA,T,,,2010-04-09 15:53:10,2010-04-09 15:53:10
16,1282,791,2007-09-01,2007-11-03,NA,T,,,2010-04-09 15:55:12,2010-04-09 15:55:12
17,159,627,2007-10-10,2010-07-19,NA,T,,,2010-04-09 15:56:19,2010-04-09 15:56:19
18,121,1208,2007-10-17,2010-07-19,NA,T,,,2010-04-09 15:56:59,2010-04-09 15:56:59
19,104,1197,2007-10-30,2010-07-19,NA,T,,,2010-04-09 15:57:39,2010-04-09 15:57:39
20,1286,1222,2007-11-06,2010-07-19,NA,T,,,2010-04-09 15:58:19,2010-04-09 15:58:19
21,343,1177,2007-11-06,2008-02-06,NA,T,,,2010-04-09 16:02:02,2010-04-09 16:02:02
22,141,1192,2007-12-04,2010-07-19,NA,T,,,2010-04-09 16:03:06,2010-04-09 16:03:06
23,166,1058,2007-12-18,2010-07-19,NA,T,,,2010-04-09 16:04:12,2010-04-09 16:04:12
24,1292,1239,2007-12-20,2010-07-19,NA,T,,,2010-04-09 16:05:31,2010-04-09 16:05:31
25,1280,1011,2008-01-16,2010-07-19,NA,T,,,2010-04-09 16:06:13,2010-04-09 16:06:13
27,198,313,2008-02-27,2010-07-19,NA,T,,,2010-04-09 16:07:52,2010-04-09 16:07:52
28,172,1228,2008-03-10,2010-07-19,NA,T,,,2010-04-09 16:08:26,2010-04-09 16:08:26
29,126,360,2008-04-16,2010-07-19,NA,T,,,2010-04-09 16:09:08,2010-04-09 16:09:08
30,151,939,2008-04-16,2010-07-19,NA,T,,,2010-04-09 16:09:43,2010-04-09 16:09:43
31,1295,1214,2008-05-08,2010-07-19,NA,T,,,2010-04-09 16:10:28,2010-04-09 16:10:28
32,1296,1190,2008-05-21,2010-07-19,NA,T,,,2010-04-09 16:11:07,2010-04-09 16:11:07
33,1316,114,2008-11-01,2009-03-31,NA,T,,,2010-04-09 16:23:31,2010-04-09 16:23:31
34,1281,1262,2007-09-25,2008-12-15,NA,T,,,2010-04-09 16:45:54,2010-04-09 16:57:08
48,970,457,2000-09-30,2002-07-19,NA,T,,,2010-04-13 16:01:49,2011-09-15 19:41:54
35,169,1184,2008-12-16,2010-07-19,NA,T,,,2010-04-09 18:28:57,2010-04-09 18:28:57
36,249,1225,2009-02-12,2010-07-19,NA,T,,,2010-04-09 18:48:39,2010-04-09 18:48:39
37,260,768,2009-04-01,2009-11-30,NA,T,,,2010-04-09 19:08:41,2010-04-09 19:08:41
38,260,768,2007-08-01,2007-11-30,NA,T,,,2010-04-09 19:15:47,2010-04-09 19:15:47
39,1313,115,2009-04-14,2009-07-19,NA,T,,,2010-04-09 19:47:34,2010-04-09 19:47:34
40,137,1220,2009-06-16,2010-07-19,NA,T,,,2010-04-09 20:13:59,2010-04-09 20:13:59
41,1315,1283,2009-06-26,2009-10-07,NA,T,,,2010-04-09 20:22:21,2010-04-09 20:22:21
42,140,988,2009-07-08,2010-07-19,NA,T,,,2010-04-09 20:46:54,2010-04-09 20:46:54
43,200,950,2009-09-01,2010-07-19,NA,T,,,2010-04-09 21:11:51,2010-04-09 21:11:51
44,103,1281,2009-09-09,2010-07-19,NA,T,,,2010-04-09 21:19:41,2010-04-09 21:19:41
45,148,1195,2009-09-29,2010-07-19,NA,T,,,2010-04-09 21:32:19,2010-04-09 21:32:19
46,2425,108,2009-11-11,2010-07-19,NA,T,,,2010-04-09 21:39:29,2010-04-09 21:39:29
47,2431,147,2010-02-10,2010-07-19,NA,T,,,2010-04-09 21:50:14,2010-04-09 21:50:14
57,453,606,2001-09-06,2002-07-19,NA,T,,,2010-04-21 18:44:13,2011-09-21 15:06:23
51,214,947,2005-08-01,2006-07-19,NA,T,,,2010-04-19 21:26:10,2010-04-19 21:26:10
52,2486,1196,2006-11-26,2010-07-19,NA,T,,,2010-04-20 16:07:28,2010-04-20 16:07:28
50,997,666,2001-02-01,2001-07-31,NA,T,,,2010-04-13 22:15:50,2011-09-23 18:42:28
53,2486,827,2004-12-01,2005-05-01,NA,T,,,2010-04-20 16:07:28,2010-04-20 16:34:04
54,2486,827,2002-12-01,2003-05-01,NA,T,,,2010-04-20 16:34:04,2010-04-20 16:34:04
56,189,390,2003-09-01,2003-09-30,NA,T,,,2010-04-20 21:40:12,2010-04-20 21:40:12
58,398,791,2005-03-01,2005-06-30,NA,T,,,2010-04-23 19:26:00,2010-04-23 19:26:00
59,873,27,2002-12-10,2003-05-07,NA,T,,,2010-04-23 20:26:01,2010-04-23 20:26:01
60,873,27,2005-01-01,2005-06-30,NA,T,,,2010-04-23 20:26:01,2010-04-23 20:26:01
61,873,27,2005-10-20,2005-12-12,NA,T,,,2010-04-23 20:26:01,2010-04-23 20:26:01
62,1133,962,2005-06-01,2005-08-31,NA,T,,,2010-04-27 14:09:09,2010-04-27 14:09:09
63,242,883,2005-07-27,2006-06-01,NA,T,,,2010-04-27 19:30:20,2010-04-27 19:30:20
64,513,309,2002-12-01,2003-02-28,NA,T,,,2010-04-28 19:33:48,2010-04-28 19:33:48
65,804,312,2003-07-01,2003-09-30,NA,T,,,2010-04-28 19:36:06,2010-04-28 19:36:06
66,1096,312,2005-01-28,2005-03-29,NA,T,,,2010-04-28 19:41:03,2010-04-28 19:41:03
67,986,322,2002-12-11,2003-06-09,NA,T,,,2010-04-28 19:43:10,2010-04-28 19:43:10
68,1097,323,2005-03-01,2005-07-31,NA,T,,,2010-04-28 19:44:26,2010-04-28 19:44:26
69,472,324,2003-12-02,2004-02-29,NA,T,,,2010-04-28 19:46:02,2010-04-28 19:46:02
91,823,826,2000-04-11,2002-07-19,NA,T,,,2010-04-29 16:14:47,2011-10-07 20:26:51
71,1152,361,2003-01-01,2003-08-14,NA,T,,,2010-04-28 19:55:46,2010-04-28 19:55:46
70,502,2224,2003-08-14,2006-07-19,NA,T,,,2010-04-28 19:49:03,2010-04-28 20:03:28
72,2224,1152,2003-07-20,2003-08-14,NA,T,,,2010-04-28 20:04:56,2010-04-28 20:04:56
73,1154,341,2005-07-01,2006-07-19,NA,T,,,2010-04-28 20:14:49,2010-04-28 20:14:49
74,359,343,2003-08-01,2004-08-01,NA,T,,,2010-04-28 20:20:03,2010-04-28 20:20:03
75,856,346,2002-08-02,2005-11-02,NA,T,,,2010-04-28 20:25:29,2010-04-28 20:25:29
76,835,348,2003-10-01,2003-12-31,NA,T,,,2010-04-28 20:28:09,2010-04-28 20:28:09
77,1153,348,2005-01-01,2005-04-30,NA,T,,,2010-04-28 20:30:07,2010-04-28 20:30:07
78,687,7,2002-12-06,2003-03-06,NA,T,,,2010-04-28 20:34:27,2010-04-28 20:34:27
79,622,9,2003-02-04,2003-04-30,NA,T,,,2010-04-28 20:40:04,2010-04-28 20:40:04
80,1156,9,2005-01-01,2005-04-30,NA,T,,,2010-04-28 20:41:52,2010-04-28 20:44:36
55,2486,1004,1999-02-01,1999-05-10,NA,T,,,2010-04-20 16:34:04,2011-10-18 20:08:33
81,1098,382,2004-01-01,2004-03-31,NA,T,,,2010-04-28 21:20:30,2010-04-28 21:20:30
82,1099,382,2005-02-07,2005-04-08,NA,T,,,2010-04-28 21:22:06,2010-04-28 21:22:06
83,461,115,2002-12-03,2003-02-28,NA,T,,,2010-04-28 21:30:10,2010-04-28 21:30:10
84,1100,116,2004-08-01,2004-11-04,NA,T,,,2010-04-29 14:36:29,2010-04-29 14:36:29
85,1305,116,2005-06-26,2006-07-19,NA,T,,,2010-04-29 14:38:37,2010-04-29 14:38:37
86,801,1030,2002-12-05,2003-03-05,NA,T,,,2010-04-29 15:04:32,2010-04-29 15:04:32
87,801,1030,2004-02-01,2004-04-01,NA,T,,,2010-04-29 15:04:32,2010-04-29 15:04:32
88,1101,1030,2005-01-01,2005-03-30,NA,T,,,2010-04-29 15:05:44,2010-04-29 15:05:44
89,823,409,2002-12-11,2003-03-09,NA,T,,,2010-04-29 16:07:22,2010-04-29 16:08:22
90,1103,409,2004-05-01,2004-07-31,NA,T,,,2010-04-29 16:08:01,2010-04-29 16:08:01
92,17,934,2009-10-22,2010-07-19,NA,T,,,2010-04-29 16:18:35,2010-04-29 16:18:35
93,550,129,2003-03-01,2003-05-31,NA,T,,,2010-04-29 18:43:18,2010-04-29 18:43:18
94,953,130,2002-12-04,2003-06-04,NA,T,,,2010-04-29 18:57:19,2010-04-29 18:57:19
95,1166,448,2005-08-01,2005-12-31,NA,T,,,2010-04-29 19:14:19,2010-04-29 19:14:19
97,1106,465,2004-10-01,2004-12-31,NA,T,,,2010-04-29 19:37:34,2010-04-29 19:37:34
98,24,465,2004-02-01,2004-04-30,NA,T,,,2010-04-29 19:38:54,2010-04-29 19:38:54
99,24,465,2004-05-10,2004-08-10,NA,T,,,2010-04-29 19:38:54,2010-04-29 19:38:54
100,636,136,2002-12-06,2003-03-06,NA,T,,,2010-04-29 19:55:32,2010-04-29 19:55:32
101,1108,752,2004-12-31,2006-07-19,NA,T,,,2010-04-29 20:12:28,2010-04-29 20:12:28
102,523,752,2003-03-01,2003-07-31,NA,T,,,2010-04-29 20:16:44,2010-04-29 20:16:44
103,1107,752,2003-08-01,2003-12-31,NA,T,,,2010-04-29 20:21:57,2010-04-29 20:21:57
104,1157,1108,2005-12-04,2006-07-19,NA,T,,,2010-04-29 20:23:13,2010-04-29 20:23:13
105,1158,493,2005-03-03,2005-06-03,NA,T,,,2010-04-29 21:22:58,2010-04-29 21:22:58
106,870,141,2003-08-01,2003-10-31,NA,T,,,2010-04-29 21:29:45,2010-04-29 21:29:45
107,503,555,2002-12-09,2003-03-05,NA,T,,,2010-04-29 21:40:54,2010-04-29 21:50:01
26,245,1191,2008-01-31,2010-05-12,NA,T,,,2010-04-09 16:06:54,2012-01-26 14:58:21
108,503,555,2003-08-01,2003-10-31,NA,T,,,2010-04-29 21:50:01,2010-04-29 21:50:01
109,567,555,2004-06-02,2006-07-19,NA,T,,,2010-04-29 21:50:37,2010-04-29 21:50:37
110,1109,498,2004-04-01,2004-06-30,NA,T,,,2010-04-29 22:08:36,2010-04-29 22:08:36
111,1110,505,2005-01-01,2005-03-30,NA,T,,,2010-04-30 15:31:21,2010-04-30 15:31:21
112,160,507,2003-07-01,2003-10-31,NA,T,,,2010-04-30 15:49:15,2010-04-30 15:49:15
113,760,510,2003-02-05,2003-05-03,NA,T,,,2010-04-30 21:13:45,2010-04-30 21:13:45
114,760,510,2003-09-02,2003-12-02,NA,T,,,2010-04-30 21:13:45,2010-04-30 21:13:45
115,1111,510,2005-01-01,2005-07-01,NA,T,,,2010-04-30 21:15:29,2010-04-30 21:15:29
116,526,512,2003-05-01,2003-08-01,NA,T,,,2010-04-30 21:31:02,2010-04-30 21:31:02
117,619,516,2002-12-02,2003-04-30,NA,T,,,2010-04-30 21:50:54,2010-04-30 21:50:54
118,619,516,2003-12-09,2003-03-15,NA,T,,,2010-04-30 21:50:54,2010-04-30 21:50:54
119,534,33,2003-02-01,2003-04-30,NA,T,,,2010-04-30 21:57:51,2010-04-30 21:57:51
120,1112,519,2004-03-01,2004-07-20,NA,T,,,2010-04-30 22:07:55,2010-04-30 22:07:55
121,637,2112,2003-08-01,2003-11-30,NA,T,,,2010-04-30 22:15:34,2010-04-30 22:15:34
122,2226,2112,2005-01-01,2005-12-31,NA,T,,,2010-05-03 15:02:38,2010-05-03 15:02:38
