id,persona_id,corporacion_id,cuatrienio_id,partido_id,curul_id,fecha_inicio,fecha_fin,circunscripcion_id,departamento_id_mayor_votacion,nuevo_id
55,375,2,1,2,NA,1998-11-25,2002-07-19,19,17,55
49,367,2,1,4,NA,1999-09-09,1999-12-31,31,32,49
200,586,1,1,74,NA,1999-09-09,1999-12-12,35,5,200
138,488,2,1,4,NA,2001-12-01,2002-03-31,17,19,138
34,342,2,1,2,NA,1999-01-01,1999-06-30,27,28,34
371,829,2,1,4,NA,1998-09-28,2002-07-19,31,32,371
158,517,2,1,40,NA,1999-02-01,2001-09-30,29,30,158
78,405,2,1,91,NA,1998-07-20,2002-07-19,31,32,78
65,389,2,1,5,NA,1999-02-10,2000-09-05,1,1,65
170,537,1,1,2,NA,2002-01-01,2002-03-31,35,6,170
29,336,2,1,2,NA,1998-07-20,2002-07-19,3,3,29
1850,336,2,4,2,NA,2002-07-20,2006-07-19,3,3,1850
512,1033,2,1,2,NA,1999-05-04,1999-06-02,30,26,512
83,412,2,1,74,NA,2000-08-06,2002-07-19,10,8,83
657,619,2,4,2,NA,2002-12-02,2003-12-09,3,3,657
627,534,2,4,4,NA,2003-02-01,2003-04-30,23,23,627
192,575,2,1,2,NA,2002-03-01,2002-05-31,12,15,192
149,504,2,1,70,NA,1998-07-20,2002-07-19,31,32,149
134,480,2,1,2,NA,1999-07-01,2000-06-30,1,1,134
1546,2224,2,4,3,NA,2003-07-20,2003-08-14,3,3,1546
234,640,1,1,2,NA,1998-07-20,2002-07-19,35,15,234
223,618,1,1,2,NA,1999-07-20,2000-03-31,35,31,223
136,486,1,1,74,NA,1999-01-01,1999-07-31,35,5,136
1066,164,2,2,3,NA,2006-07-20,2010-07-19,8,7,1066
53,371,1,1,74,NA,1999-09-20,1999-10-27,35,5,53
261,675,1,1,4,NA,2001-03-28,2002-05-14,35,18,261
348,795,2,1,2,NA,2002-01-01,2002-07-19,34,31,348
214,606,2,1,4,NA,1998-07-20,2002-07-19,12,15,214
923,1140,1,4,28,NA,2006-01-01,2006-06-19,35,1,923
221,616,2,1,2,NA,2002-04-30,2002-07-19,34,31,221
545,354,2,4,1,NA,2003-07-01,2003-09-30,28,29,545
178,552,2,1,2,NA,1999-01-01,2001-04-22,14,13,178
884,1091,1,4,2,NA,2005-01-01,2005-04-01,35,15,884
1378,1091,1,1,2,NA,1999-11-26,2000-02-25,35,15,1378
394,861,2,1,38,NA,2001-09-01,2001-11-30,3,3,394
280,703,1,1,2,NA,1999-07-29,2002-07-19,35,3,280
270,685,2,1,2,NA,2001-08-09,2002-07-19,22,20,270
168,533,2,1,61,NA,1998-07-20,2002-07-19,7,6,168
661,624,2,4,53,NA,2002-07-20,2003-05-15,17,19,661
201,588,2,1,4,NA,2001-01-22,2001-07-15,17,19,201
573,426,1,4,2,NA,2003-01-15,2003-04-16,35,3,573
95,426,2,1,2,NA,2000-07-20,2002-07-19,1,1,95
391,858,2,1,2,NA,1998-07-20,2002-07-19,10,8,391
163,525,1,1,69,NA,1999-10-28,2001-05-15,35,1,163
330,770,2,1,2,NA,1998-12-15,1999-03-16,1,1,330
292,720,1,1,2,NA,1999-04-08,1999-07-08,35,1,292
303,733,1,1,2,NA,1998-10-01,1999-03-31,35,1,303
1547,2226,2,4,2,NA,2005-01-01,2005-12-31,17,19,1547
191,574,1,1,2,NA,1998-07-20,2002-07-19,35,12,191
603,481,1,4,37,NA,2003-07-20,2003-10-20,35,3,603
258,671,1,1,2,NA,2000-12-16,2001-03-31,35,31,258
256,669,2,1,2,NA,2002-05-29,2002-07-19,15,12,256
17,320,2,1,2,NA,1999-04-26,1999-10-26,19,17,17
287,710,1,1,2,NA,1998-07-20,2002-07-19,35,29,287
198,584,1,1,66,NA,2001-02-16,2002-07-19,35,23,198
205,595,2,1,2,NA,1998-07-20,2002-07-19,1,1,205
509,1029,1,1,96,NA,1998-07-20,2002-07-19,35,20,509
871,1072,1,4,4,NA,2005-07-01,2005-12-31,35,32,871
1893,1072,1,1,4,NA,2002-02-01,2002-07-19,35,32,1893
