id,control_politico_id,activo,usercreated,usermodifed,created_at,updated_at,congresista_id
139,32,NA,NA,NA,NA,NA,439
155,1208,NA,NA,NA,NA,NA,24
156,1208,NA,NA,NA,NA,NA,1349
157,1208,NA,NA,NA,NA,NA,546
158,1208,NA,NA,NA,NA,NA,602
159,1208,NA,NA,NA,NA,NA,155
160,1208,NA,NA,NA,NA,NA,650
161,1208,NA,NA,NA,NA,NA,653
162,1208,NA,NA,NA,NA,NA,228
163,1208,NA,NA,NA,NA,NA,251
164,1208,NA,NA,NA,NA,NA,271
165,1208,NA,NA,NA,NA,NA,319
166,1208,NA,NA,NA,NA,NA,405
167,1208,NA,NA,NA,NA,NA,429
168,1208,NA,NA,NA,NA,NA,463
169,1208,NA,NA,NA,NA,NA,481
170,1208,NA,NA,NA,NA,NA,1602
171,1208,NA,NA,NA,NA,NA,840
172,1208,NA,NA,NA,NA,NA,1822
173,33,NA,NA,NA,NA,NA,304
174,33,NA,NA,NA,NA,NA,840
175,33,NA,NA,NA,NA,NA,863
197,1183,NA,NA,NA,NA,NA,548
198,1183,NA,NA,NA,NA,NA,1465
199,1183,NA,NA,NA,NA,NA,155
200,1183,NA,NA,NA,NA,NA,1718
201,1183,NA,NA,NA,NA,NA,745
202,1183,NA,NA,NA,NA,NA,1469
203,1183,NA,NA,NA,NA,NA,1967
204,1183,NA,NA,NA,NA,NA,1206
205,1183,NA,NA,NA,NA,NA,1720
206,1183,NA,NA,NA,NA,NA,1719
229,26,NA,NA,NA,NA,NA,1452
230,26,NA,NA,NA,NA,NA,1465
231,26,NA,NA,NA,NA,NA,1497
232,26,NA,NA,NA,NA,NA,602
233,26,NA,NA,NA,NA,NA,615
234,26,NA,NA,NA,NA,NA,1206
248,19,NA,NA,NA,NA,NA,1718
249,19,NA,NA,NA,NA,NA,1469
558,15,NA,NA,NA,NA,NA,543
559,15,NA,NA,NA,NA,NA,638
560,15,NA,NA,NA,NA,NA,429
601,87,NA,NA,NA,NA,NA,1034
631,85,NA,NA,NA,NA,NA,1129
632,85,NA,NA,NA,NA,NA,746
633,85,NA,NA,NA,NA,NA,1664
645,83,NA,NA,NA,NA,NA,1352
646,83,NA,NA,NA,NA,NA,1612
647,83,NA,NA,NA,NA,NA,1244
652,82,NA,NA,NA,NA,NA,1443
653,82,NA,NA,NA,NA,NA,766
654,82,NA,NA,NA,NA,NA,1415
655,82,NA,NA,NA,NA,NA,1370
656,82,NA,NA,NA,NA,NA,979
657,82,NA,NA,NA,NA,NA,1441
658,82,NA,NA,NA,NA,NA,1352
659,82,NA,NA,NA,NA,NA,1612
660,82,NA,NA,NA,NA,NA,1059
661,82,NA,NA,NA,NA,NA,876
662,82,NA,NA,NA,NA,NA,2079
668,88,NA,NA,NA,NA,NA,1034
669,84,NA,NA,NA,NA,NA,766
683,77,NA,NA,NA,NA,NA,194
684,79,NA,NA,NA,NA,NA,1351
728,1038,NA,NA,NA,NA,NA,1374
729,1038,NA,NA,NA,NA,NA,1401
2664,1209,NA,NA,NA,NA,NA,501
2665,248,NA,NA,NA,NA,NA,732
2666,248,NA,NA,NA,NA,NA,501
2667,248,NA,NA,NA,NA,NA,856
2733,268,NA,NA,NA,NA,NA,631
2734,268,NA,NA,NA,NA,NA,820
2735,268,NA,NA,NA,NA,NA,501
2736,268,NA,NA,NA,NA,NA,1395
2768,264,NA,NA,NA,NA,NA,1157
2769,264,NA,NA,NA,NA,NA,1718
2770,264,NA,NA,NA,NA,NA,1188
2771,264,NA,NA,NA,NA,NA,1206
2772,264,NA,NA,NA,NA,NA,1719
2794,263,NA,NA,NA,NA,NA,1186
2796,265,NA,NA,NA,NA,NA,1430
2797,267,NA,NA,NA,NA,NA,802
2798,267,NA,NA,NA,NA,NA,519
2806,266,NA,NA,NA,NA,NA,737
2808,260,NA,NA,NA,NA,NA,238
2809,260,NA,NA,NA,NA,NA,1469
2810,262,NA,NA,NA,NA,NA,238
2811,262,NA,NA,NA,NA,NA,1469
2812,261,NA,NA,NA,NA,NA,195
2822,230,NA,NA,NA,NA,NA,859
2823,235,NA,NA,NA,NA,NA,1452
2824,235,NA,NA,NA,NA,NA,641
2825,235,NA,NA,NA,NA,NA,703
2826,236,NA,NA,NA,NA,NA,1193
2827,236,NA,NA,NA,NA,NA,239
2828,236,NA,NA,NA,NA,NA,1676
2839,234,NA,NA,NA,NA,NA,1384
2840,234,NA,NA,NA,NA,NA,602
2841,234,NA,NA,NA,NA,NA,2073
2858,237,NA,NA,NA,NA,NA,744
2859,237,NA,NA,NA,NA,NA,745
2860,237,NA,NA,NA,NA,NA,2073
2894,233,NA,NA,NA,NA,NA,439
2896,232,NA,NA,NA,NA,NA,961
3360,290,NA,NA,NA,NA,NA,602
3361,290,NA,NA,NA,NA,NA,1687
3362,290,NA,NA,NA,NA,NA,405
3383,291,NA,NA,NA,NA,NA,714
3451,518,NA,NA,NA,NA,NA,1443
3452,518,NA,NA,NA,NA,NA,194
3453,518,NA,NA,NA,NA,NA,1129
3454,518,NA,NA,NA,NA,NA,736
3455,518,NA,NA,NA,NA,NA,1407
3456,518,NA,NA,NA,NA,NA,1322
3457,518,NA,NA,NA,NA,NA,979
3458,518,NA,NA,NA,NA,NA,1503
3459,518,NA,NA,NA,NA,NA,1811
3460,518,NA,NA,NA,NA,NA,1813
3461,518,NA,NA,NA,NA,NA,1023
3462,518,NA,NA,NA,NA,NA,1401
3463,518,NA,NA,NA,NA,NA,1066
3464,518,NA,NA,NA,NA,NA,1070
3465,518,NA,NA,NA,NA,NA,1353
3466,518,NA,NA,NA,NA,NA,1269
3517,1073,NA,NA,NA,NA,NA,1201
3518,1073,NA,NA,NA,NA,NA,1501
3519,1073,NA,NA,NA,NA,NA,1157
3520,1073,NA,NA,NA,NA,NA,1718
3521,1073,NA,NA,NA,NA,NA,726
3522,1073,NA,NA,NA,NA,NA,737
3523,1073,NA,NA,NA,NA,NA,1179
3524,1073,NA,NA,NA,NA,NA,859
3525,1073,NA,NA,NA,NA,NA,1595
3526,1073,NA,NA,NA,NA,NA,1206
3527,1073,NA,NA,NA,NA,NA,1719
3528,1073,NA,NA,NA,NA,NA,1704
3529,1073,NA,NA,NA,NA,NA,1236
3626,328,NA,NA,NA,NA,NA,1193
3627,328,NA,NA,NA,NA,NA,1707
3645,329,NA,NA,NA,NA,NA,830
3689,327,NA,NA,NA,NA,NA,1465
3693,326,NA,NA,NA,NA,NA,1395
3694,326,NA,NA,NA,NA,NA,1637
3695,326,NA,NA,NA,NA,NA,1612
3697,289,NA,NA,NA,NA,NA,1367
3698,289,NA,NA,NA,NA,NA,1032
3699,289,NA,NA,NA,NA,NA,747
3700,289,NA,NA,NA,NA,NA,1415
3701,289,NA,NA,NA,NA,NA,1712
3702,289,NA,NA,NA,NA,NA,991
3703,289,NA,NA,NA,NA,NA,1400
3725,325,NA,NA,NA,NA,NA,765
3898,333,NA,NA,NA,NA,NA,1788
3903,1025,NA,NA,NA,NA,NA,738
3904,1025,NA,NA,NA,NA,NA,1352
3910,1024,NA,NA,NA,NA,NA,1718
3913,1022,NA,NA,NA,NA,NA,1710
3914,1023,NA,NA,NA,NA,NA,1422
3915,1019,NA,NA,NA,NA,NA,1430
3939,1020,NA,NA,NA,NA,NA,1452
3940,1021,NA,NA,NA,NA,NA,1469
3942,1021,NA,NA,NA,NA,NA,1104
3943,1021,NA,NA,NA,NA,NA,1198
3944,1021,NA,NA,NA,NA,NA,1462
3955,408,NA,NA,NA,NA,NA,1480
3956,408,NA,NA,NA,NA,NA,155
3957,408,NA,NA,NA,NA,NA,235
3958,408,NA,NA,NA,NA,NA,429
3960,402,NA,NA,NA,NA,NA,1477
3961,402,NA,NA,NA,NA,NA,1495
3962,402,NA,NA,NA,NA,NA,604
3963,402,NA,NA,NA,NA,NA,1664
3964,402,NA,NA,NA,NA,NA,1395
3965,402,NA,NA,NA,NA,NA,1363
3966,402,NA,NA,NA,NA,NA,1637
3967,402,NA,NA,NA,NA,NA,1118
