id,nombre,fechaInicio,fechaFin,cuatrienio_id,activo,usercreated,usermodifed,created_at,updated_at
1,Primera,1994-07-20,1995-06-20,5,NA,NA,NA,NA,NA
2,Segunda,1995-07-20,1996-06-20,5,NA,NA,NA,NA,NA
3,Tercera,1996-07-20,1997-06-20,5,NA,NA,NA,NA,NA
4,Cuarta,1997-07-20,1998-06-20,5,NA,NA,NA,NA,NA
5,Primera,1998-07-20,1999-06-20,1,NA,NA,NA,NA,NA
6,Segunda,1999-07-20,2000-06-20,1,NA,NA,NA,NA,NA
7,Tercera,2000-07-20,2001-06-20,1,NA,NA,NA,NA,NA
8,Cuarta,2001-07-20,2002-06-20,1,NA,NA,NA,NA,NA
9,Primera,2002-07-20,2003-06-20,4,NA,NA,NA,NA,NA
10,Segunda,2003-07-20,2004-06-20,4,NA,NA,NA,NA,NA
11,Tercera,2004-07-20,2005-06-20,4,NA,NA,NA,NA,NA
12,Cuarta,2005-07-20,2006-06-20,4,NA,NA,NA,NA,NA
13,Primera,2006-07-20,2007-06-20,2,NA,NA,NA,NA,NA
14,Segunda,2007-07-20,2008-06-20,2,NA,NA,NA,NA,NA
15,Tercera,2008-07-20,2009-06-20,2,NA,NA,NA,NA,NA
16,Cuarta,2009-07-20,2010-06-20,2,NA,NA,NA,NA,NA
18,Segunda,2011-07-20,2012-06-20,6,NA,NA,NA,NA,NA
19,Tercera,2012-07-20,2013-06-20,6,NA,NA,NA,NA,NA
20,Cuarta,2013-07-20,2014-06-20,6,NA,NA,NA,NA,NA
17,Primera,2010-07-20,2011-06-20,6,NA,NA,NA,NA,NA
21,Primera,2014-07-20,2015-07-19,7,NA,NA,NA,NA,NA
22,Segunda,2015-07-20,2016-07-19,7,NA,NA,NA,NA,NA
23,Tercera,2016-07-20,2017-07-19,7,NA,NA,NA,NA,NA
24,Cuarta,2017-07-20,2018-07-19,7,NA,NA,NA,NA,NA
25,Primera,2018-07-20,2019-07-19,8,NA,NA,NA,NA,NA
26,Segunda,2019-07-20,2020-07-19,8,NA,NA,NA,NA,NA
27,Tercera,2020-07-20,2021-07-19,8,NA,NA,NA,NA,NA
28,Cuarta,2021-07-20,2022-07-19,8,NA,NA,NA,NA,NA
