id,nombre,departamento_id,activo,usercreated,usermodifed,created_at,updated_at
1,Cali,32,T,,,,
2,Bucaramanga,29,T,,,,
4,Bogotá,1,T,,,,
5,Barranquilla,5,T,,,,
6,Cúcuta,24,T,,,,
7,Palmira,32,T,,,,
8,Popayán,11,T,,,,
9,San Gil,29,T,,,,
10,Rivera,18,T,,,,
11,Pereira,27,T,,,,
12,Medellín,3,T,,,,
13,Purificacion,31,T,,,,
14,Carmen de Bolivar,6,T,,,,
15,Montelibano,14,T,,,,
16,Duitama,7,T,,,,
18,Ansermanuevo,32,T,,,,
19,Magangué,6,T,,,,
21,Moniquirá,7,T,,,,
22,Nimaima,15,T,,,,
24,Pinillos,6,T,,,,
25,Tarazá,3,T,,,,
26,Líbano,31,T,,,,
27,Cartago,32,T,,,,
28,Socorro,29,T,,,,
29,Cimitarra,29,T,,,,
31,Tocaima,15,T,,,,
32,Mocoa,25,T,,,,
33,Chitaraque,7,T,,,,
34,San Calixto,24,T,,,,
35,Bugalagrande,32,T,,,,
36,Choachí,15,T,,,,
37,Guasca,15,T,,,,
38,Cómbita,7,T,,,,
39,Cerrito,29,T,,,,
40,Tenerife,20,T,,,,
41,Sincelejo,30,T,,,,
43,Florida,32,T,,,,
44,Lorica,14,T,,,,
45,Santa Isabel,31,T,,,,
46,San Vicente de Chucurí,29,T,,,,
47,Florencia,9,T,,,,
48,Manizales,8,T,,,,
49,Chiquinquirá,7,T,,,,
50,Paz de Ariporo,10,T,,,,
51,Marinilla,3,T,,,,
52,Bello,3,T,,,,
53,Fusagasugá,15,T,,,,
54,Sonsón,3,T,,,,
55,Villa del Rosario,24,T,,,,
56,San Jerónimo,3,T,,,,
57,Valledupar,12,T,,,,
58,Yopal,10,T,,,,
59,Girón,29,T,,,,
60,Tarso,3,T,,,,
61,San Martín,22,T,,,,
62,La Celia,27,T,,,,
63,Campoalegre,18,T,,,,
64,La Plata,18,T,,,,
65,La Paz,29,T,,,,
66,Cachipay,15,T,,,,
67,Río Frío,32,T,,,,
68,Sahagún,14,T,,,,
69,Barranco de Loba,6,T,,,,
70,Rionegro,3,T,,,,
72,Caparrapí,15,T,,,,
73,San Juan del Cesar,19,T,,,,
74,Santa Marta,20,T,,,,
75,Cubarral,22,T,,,,
76,Neiva,18,T,,,,
80,Floridablanca,29,T,,,,
81,Támesis,3,T,,,,
82,Piedecuesta,29,T,,,,
83,Arauca,4,T,,,,
84,Gámbita,29,T,,,,
85,Pradera,32,T,,,,
86,Bogotá,1,T,,,,
87,Corozal,30,T,,,,
88,Andes,3,T,,,,
89,Candelaria,32,T,,,,
90,Sitio Nuevo,20,T,,,,
91,San Andrés,28,T,,,,
92,Garagoa,7,T,,,,
99,Briceño,7,T,,,,
100,Marsella,27,T,,,,
101,Cartagena,6,T,,,,
102,Duitama,7,T,,,,
103,Timbiquí,11,T,,,,
104,Cereté,14,T,,,,
107,Villavicencio,22,T,,,,
108,San Pedro de los Milagros,3,T,,,,
109,Sevilla,32,T,,,,
110,Bolivar,11,T,,,,
111,Sogamoso,7,T,,,,
112,Teruel,18,T,,,,
113,Chinácota,24,T,,,,
114,Yumbo,32,T,,,,
115,Leticia,2,T,,,,
116,Montería,14,T,,,,
117,Fundación,20,T,,,,
118,Yacopí,15,T,,,,
119,Guamo,31,T,,,,
120,Valle de San Juan,31,T,,,,
121,Ovejas,30,T,,,,
127,Miami EEUU,36,T,,,,
129,Melgar,31,T,,,,
130,Remedios,3,T,,,,
132,Guaitarilla,23,T,,,,
135,Barbosa,29,T,,,,
136,Calarcá,26,T,,,,
137,Espinal,31,T,,,,
138,Andalucía,32,T,,,,
140,San Pablo,6,T,,,,
141,Carmen,6,T,,,,
142,Iles,23,T,,,,
143,La Paz,12,T,,,,
146,Ibagué,31,T,,,,
147,Armenia,26,T,,,,
152,Cumbal,23,T,,,,
154,Pasto,23,T,,,,
157,Belén de Umbria,27,T,,,,
174,El Banco,20,T,,,,
159,San Bernardo del Viento,14,T,,,,
161,Monterrey,10,T,,,,
163,Frontino,3,T,,,,
164,Guaranda,30,T,,,,
165,Miraflores,17,T,,,,
17,Sincé,30,T,,,,
349,Totoró,11,T,,,,
166,Ocaña,24,T,,,,
167,Chiriguaná,12,T,,,,
168,Fundación,20,T,,,,
169,Pensilvania,8,T,,,,
170,Taminango,23,T,,,,
171,Pijao,26,T,,,,
172,Villahermosa,31,T,,,,
173,Labranzagrande,7,T,,,,
350,Guepsa,29,T,,,,
288,Güicán,7,T,,,,
175,Icononzo,31,T,,,,
176,Ciénaga,20,T,,,,
177,El Cerrito,32,T,,,,
178,Carolina del Príncipe,3,T,,,,
179,Envigado,3,T,,,,
180,Chía,15,T,,,,
181,Tadó,13,T,,,,
182,Piendamó,11,T,,,,
183,La Dorada,8,T,,,,
184,San Juan Nepomuceno,6,T,,,,
185,San Andrés,29,T,,,,
186,Guacarí,32,T,,,,
187,Pamplona,24,T,,,,
188,Itsminá,13,T,,,,
189,Puerto Tejada,11,T,,,,
190,Guateque,7,T,,,,
191,Nobsa,7,T,,,,
192,La Cruz,23,T,,,,
193,Puerto Colombia,5,T,,,,
194,Gameza,7,T,,,,
195,La Primavera,34,T,,,,
197,Molagavita,29,T,,,,
198,Barrancabermeja,29,T,,,,
199,Belén,7,T,,,,
200,Coello,31,T,,,,
201,Quimbaya,26,T,,,,
203,Aguadas,8,T,,,,
204,Soledad,5,T,,,,
205,Samaniego,23,T,,,,
206,San Miguel,29,T,,,,
208,Circasia,26,T,,,,
196,Sopetrán,3,T,,,,
209,Pore,10,T,,,,
210,Boavita,7,T,,,,
211,Tierralta,14,T,,,,
212,Bajo Baudó,13,T,,,,
213,Gaitania,31,T,,,,
214,Otanche,7,T,,,,
215,Guachucal,23,T,,,,
216,Zipaquirá,15,T,,,,
217,Pasca,15,T,,,,
218,Anorí,3,T,,,,
219,Tamalameque,12,T,,,,
220,Tangua,23,T,,,,
221,Calderas,11,T,,,,
222,Ubaté,15,T,,,,
223,La Pedrera,2,T,,,,
225,Marsella,27,T,,,,
