id|persona_id|cargo|fecha|fecha_final|activo|usercreated|usermodified|created_at|updated_at
1|244|Otros Servicios Director Dirección administrativa de Trásito y trasporte|01/01/75|NA|TRUE|NA|NA|2009-12-07 16:02:59|2009-12-07 16:02:59
2|244|Otros Servicios Jefe de planeación Departamento administrativo del servicio civil|01/01/79|NA|TRUE|NA|NA|2009-12-07 16:02:59|2009-12-07 16:02:59
564|1675|Otros Servicios PRESIDENTE DE EL SINDICATO FALABELLA DE COLOMBIA S.A.|01/05/08|08/02/10|TRUE|NA|NA|2010-02-07 16:51:24|2010-02-07 16:51:24
4|141|Otros Servicios Gerente Administrativo Seapto Ltda.|01/01/91|01/01/92|TRUE|NA|NA|2009-12-09 21:29:28|2009-12-09 21:29:28
5|141|Otros Servicios Inspector Primero Municipal de Policía Municipio del Guamo - Tolima|01/01/88|01/01/89|TRUE|NA|NA|2009-12-09 21:29:28|2009-12-09 21:29:28
6|141|Otros Servicios Juez Octavo de Instrucción Criminal (E) Municipio de Ibagué - Tolima|01/01/87|31/12/87|TRUE|NA|NA|2009-12-09 21:29:28|2009-12-09 21:29:28
7|141|Otros Servicios Juez Promiscuo Municipal Municipio de Herveo - Tolima|01/01/87|31/12/87|TRUE|NA|NA|2009-12-09 21:29:28|2009-12-09 21:29:28
8|8|Educacion y Conocimiento Secretario General Universidad Francisco José de Caldas|01/06/93|15/05/97|TRUE|NA|NA|2009-12-14 16:50:42|2010-05-24 19:28:50
9|90|Otros Servicios Ejercicio Profesional como Abogado|16/02/03|20/07/08|TRUE|NA|NA|2009-12-16 22:50:24|2009-12-16 22:50:24
10|90|Otros Servicios Socio Director Baker Tilly Colombia Baker Tilly Colombia|01/06/06|NA|TRUE|NA|NA|2009-12-16 22:50:24|2009-12-16 22:50:24
11|90|Otros Servicios Arbitraje Comercial y Administrativo Camara de Comercio de Bogotá|NA|NA|TRUE|NA|NA|2009-12-16 22:50:24|2009-12-16 22:50:24
12|90|Educacion y Conocimiento Profesor Facultad de Ciencia Política y RR.II Universidad Javeriana|01/09/04|30/11/05|TRUE|NA|NA|2009-12-16 22:50:24|2009-12-16 22:50:24
13|90|Otros Servicios Embajador de Colombia ante las Naciones Unidas Ministerio de Relaciones Exteriores|15/09/98|14/01/03|TRUE|NA|NA|2009-12-16 22:50:24|2009-12-16 22:50:24
14|90|Otros Servicios Fiscal General de la Nación Ficalia General de la Nación|18/08/94|08/05/97|TRUE|NA|NA|2009-12-16 22:50:24|2009-12-16 22:50:24
15|90|Otros Servicios Embajador de Colombia ante el Gobierno de Israel Ministerio de Relaciones Exteriores|01/02/92|20/03/93|TRUE|NA|NA|2009-12-16 22:50:24|2009-12-16 22:50:24
16|90|Otros Servicios Ministro de Educación Nacional Presidencia de la República|16/08/90|16/11/91|TRUE|NA|NA|2009-12-16 22:50:24|2009-12-16 22:50:24
17|90|Otros Servicios Secretario General Gobernación de Santander Gobernación de Santander|16/02/77|16/08/78|TRUE|NA|NA|2009-12-16 22:50:24|2009-12-16 22:50:24
18|90|Educacion y Conocimiento Secretario Facultad de Derecho Universidad Autonoma de Bucaramanga|15/01/76|NA|TRUE|NA|NA|2009-12-16 22:56:23|2009-12-16 22:56:23
19|90|Educacion y Conocimiento Profesor Universitario Universidad Autonoma de Bucaramanga|15/01/76|15/12/87|TRUE|NA|NA|2009-12-16 22:56:23|2009-12-16 22:56:23
20|90|Otros Servicios Director Ejecutivo FUNDESAN Fundación para el Desarrollo de Santander|16/06/76|16/12/89|TRUE|NA|NA|2009-12-16 22:56:23|2009-12-16 22:56:23
21|90|Otros Servicios Investigador Programa Institucional en Desarrollo FEDESARROLLO|16/06/73|16/12/74|TRUE|NA|NA|2009-12-16 23:31:13|2009-12-16 23:31:13
22|90|Otros Servicios Redactor Sección Internacional, EL TIEMPO Diario EL TIEMPO|16/07/70|16/03/72|TRUE|NA|NA|2009-12-16 23:31:13|2009-12-16 23:31:13
23|142|Otros Servicios Coordinadora Nacional de Capacitación MIRA|NA|NA|TRUE|NA|NA|2010-01-13 17:30:06|2010-01-13 17:30:06
24|142|Otros Servicios Directora Política Nacional MIRA|NA|NA|TRUE|NA|NA|2010-01-13 17:30:07|2010-01-13 17:30:07
25|11|Educacion y Conocimiento Asesor Consultor del Banco Interamericano de Desarrollo B|NA|NA|TRUE|NA|NA|2010-01-13 18:12:17|2010-01-13 18:12:17
27|295|Educacion y Conocimiento profesor de cátedra Universidad de la Sabana|01/01/07|30/06/09|TRUE|NA|NA|2010-01-13 19:43:38|2010-01-13 19:43:38
28|295|Educacion y Conocimiento Investigador Georgetown University|01/01/05|31/12/07|TRUE|NA|NA|2010-01-13 19:43:38|2010-01-13 19:43:38
29|295|Otros Servicios Director TGI fridays|01/01/07|31/12/09|TRUE|NA|NA|2010-01-13 19:43:38|2010-01-13 19:43:38
30|60|Otros Servicios Abogada Litigante Independiente|20/01/99|06/12/01|TRUE|NA|NA|2010-01-14 20:43:59|2010-01-14 20:47:57
31|77|Educacion y Conocimiento Profesor de tiempo completo Universidad Nacional de Colombia, sede Manizales|01/01/76|30/06/02|TRUE|NA|NA|2010-01-15 21:28:55|2010-01-15 21:28:55
32|77|Agricola Coordinador Nacional Unión Cafetera|01/01/85|31/12/92|TRUE|NA|NA|2010-01-15 21:28:55|2010-01-15 21:28:55
33|77|Ingenieria y Servicios de Construccion Miembro Comité Técnico, Consejo de Monumentos Nacionales|01/01/96|30/06/02|TRUE|NA|NA|2010-01-15 21:28:55|2010-01-15 21:28:55
279|99|Otros Servicios Director Departamento Jurídico y de Relaciones Industriales del Banco de Caldas Banco de Caldas|15/11/68|06/10/72|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-30 17:01:53
347|1214|Estatal Director General (E) y Secretario General de Junta Directiva Fondo Rotatorio de Aduanas|01/11/83|31/01/85|TRUE|NA|NA|2010-01-17 17:35:01|2010-04-08 21:13:12
348|1214|Estatal Director General del Trabajo Ministerio del Trabajo y Seguridad Social|01/01/85|30/09/85|TRUE|NA|NA|2010-01-17 17:35:01|2010-04-08 21:13:12
280|99|Estatal Delegado con Rango de Embajador Plenipotenciario al Congreso de Países No Alineados Gobierno Nacional|28/05/83|10/06/83|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-30 17:01:53
281|99|Estatal Delegado con Rango de Embajador Plenipotenciario al Grupo de Consulta de París Gobierno Nacional|12/08/83|10/09/83|TRUE|NA|NA|2010-01-17 17:35:00|2010-01-30 17:01:53
282|99|Estatal Miembro Junta Directiva Beneficencia de Manizales Municipio de Manizales|01/01/80|31/12/80|TRUE|NA|NA|2010-01-17 17:35:01|2010-01-30 17:01:53
571|162|Otros Servicios Psiquiatra Practica Privada|01/01/72|31/12/06|TRUE|NA|NA|2010-02-09 19:08:47|2010-02-09 19:08:47
417|1295|Estatal Subgerente Gestión urbana y asistencia técnica Inurbe-Ministerio de Desarrollo Económico|02/04/01|01/04/02|TRUE|NA|NA|2010-01-17 17:35:02|2010-04-08 21:22:56
419|1295|Estatal Alcalde Local Encargado Alcaldía local de Bosa|15/05/06|16/10/06|TRUE|NA|NA|2010-01-17 17:35:02|2010-04-08 21:22:56
67|398|Educacion y Conocimiento Catedrático Universidad Incca de Colombia|10/09/86|02/06/87|TRUE|NA|NA|2010-01-17 17:34:58|2010-02-05 15:10:57
68|398|Estatal Gerente General Centrales Eléctricas de Nariño|01/02/99|30/06/00|TRUE|NA|NA|2010-01-17 17:34:58|2010-02-05 15:10:57
868|2462|Articulos Industriales Jefe de Producción TRIMCO S.A.|NA|NA|TRUE|NA|NA|2010-10-28 21:00:45|2010-10-28 21:00:45
45|313|Minerales Diseñador en Regulación Electrónica Sistinel Ltda|06/12/05|06/12/05|TRUE|NA|NA|2010-01-17 17:34:58|2010-02-12 20:22:39
42|310|Estatal Gobernador Gobernación de Nariño|01/01/82|31/12/83|TRUE|NA|NA|2010-01-17 17:34:58|2010-02-18 16:25:19
43|310|Estatal Alcalde Alcaldía de Pasto|01/01/80|31/12/81|TRUE|NA|NA|2010-01-17 17:34:58|2010-02-18 16:25:19
26|11|Servicios de Salud Jefe Ginecología Hospital  Nuestra Señora del Rosario Riohacha|NA|NA|TRUE|NA|NA|2010-01-13 18:12:17|2010-01-19 16:00:58
60|391|Educacion y Conocimiento Psicóloga Inem|22/12/75|24/01/83|TRUE|NA|NA|2010-01-17 17:34:58|2010-01-27 19:47:07
61|391|Otros Servicios Directora Ejecutiva de la Asociación para la Promoción de las Artes Proartes|16/05/83|18/09/89|TRUE|NA|NA|2010-01-17 17:34:58|2010-01-27 19:47:07
62|391|Otros Servicios Directora del Festival de Arte de Cali Proartes|17/03/86|24/07/89|TRUE|NA|NA|2010-01-17 17:34:58|2010-01-27 19:47:07
65|398|Educacion y Conocimiento Director Regional Sena-Nariño|01/04/95|31/08/97|TRUE|NA|NA|2010-01-17 17:34:58|2010-01-28 14:39:57
66|398|Educacion y Conocimiento Tutor Universidad Mariana|06/08/93|11/12/93|TRUE|NA|NA|2010-01-17 17:34:58|2010-01-28 14:39:57
869|2462|Minerales Asesor Comercial Calizas y Granitos de Santander|NA|NA|TRUE|NA|NA|2010-10-28 21:00:45|2010-10-28 21:00:45
565|357|Telecomunicaciones Director Radio santafe|NA|NA|TRUE|NA|NA|2010-02-08 20:02:51|2010-02-08 20:02:51
566|357|Telecomunicaciones Moderador de La escalera Radio Super|NA|NA|TRUE|NA|NA|2010-02-08 20:02:51|2010-02-08 20:02:51
567|357|Telecomunicaciones Conductor del programa La Luciérnaga Caracol|NA|NA|TRUE|NA|NA|2010-02-08 20:02:51|2010-02-08 20:02:51
97|482|Estatal Asesor Ministro Ministerio de Agricultura|01/01/98|31/12/98|TRUE|NA|NA|2010-01-17 17:34:58|2010-02-16 19:05:13
283|99|Estatal Miembro Junta Directiva Lotería de Manizales Municipio de Manizales|01/01/81|31/12/81|TRUE|NA|NA|2010-01-17 17:35:01|2010-01-30 17:01:53
284|99|Estatal Miembro Junta Directiva Industria Licorera de Caldas Departamento de Caldas|01/01/82|31/12/82|TRUE|NA|NA|2010-01-17 17:35:01|2010-01-30 17:01:53
285|99|Estatal Miembro Junta de Hacienda, Valorización y Empresas Públicas de Manizales Municipio de Manizales|01/01/72|31/12/72|TRUE|NA|NA|2010-01-17 17:35:01|2010-01-30 17:01:53
286|99|Estatal Subgerente Banco de Caldas Banco de Caldas|15/11/68|31/12/70|TRUE|NA|NA|2010-01-17 17:35:01|2010-05-10 19:16:54
287|99|Estatal Secretario Hacienda Municipio de Manizales Municipio de Manizales|01/01/72|31/12/72|TRUE|NA|NA|2010-01-17 17:35:01|2010-01-30 17:01:53
91|28|Estatal Viceministro Europa, Asia, África y Oceania Ministerio de Relaciones Exteriores|10/10/95|13/09/96|TRUE|NA|NA|2010-01-17 17:34:58|2010-05-04 19:22:22
92|28|Estatal Cónsul General en Caracas Ministerio de Relaciones Exteriores|01/06/92|05/11/93|TRUE|NA|NA|2010-01-17 17:34:58|2010-05-04 19:22:22
93|28|Estatal Consejero para las Comunicaciones Presidencia de la República|09/08/94|09/10/95|TRUE|NA|NA|2010-01-17 17:34:58|2010-05-04 19:22:23
96|28|Estatal Embajador de Colombia ante el Gobierno de Grecia Ministerio de Relaciones Exteriores|01/10/96|01/10/97|TRUE|NA|NA|2010-01-17 17:34:58|2010-05-04 19:22:23
73|441|Estatal Asesora Presidencia de la República, Despacho del Alto Comisionado para la Paz|01/11/98|01/08/99|TRUE|NA|NA|2010-01-17 17:34:58|2010-04-08 21:57:58
260|87|Estatal Concejal Concejo Municipal|01/01/84|01/12/88|TRUE|NA|NA|2010-01-17 17:35:00|2010-02-03 16:42:55
119|512|Estatal Subgerente Incora|01/01/98|31/12/01|TRUE|NA|NA|2010-01-17 17:34:59|2010-02-04 16:12:52
120|512|Estatal Director De Desarrollo Rural Ministerio de Agricultura|09/10/01|09/01/02|TRUE|NA|NA|2010-01-17 17:34:59|2010-04-23 15:08:28
121|512|Otros Servicios Subgerente Inurbe|01/01/94|31/12/96|TRUE|NA|NA|2010-01-17 17:34:59|2010-02-04 16:12:52
74|441|Estatal Vicepresidenta Comisión Primera Constitucional Permanente Cámara de Representantes|20/07/07|20/07/08|TRUE|NA|NA|2010-01-17 17:34:58|2010-04-08 21:57:58
123|512|Vehiculos y otros medios de transporte Director Instituto Tránsito Huila|01/01/92|31/12/94|TRUE|NA|NA|2010-01-17 17:34:59|2010-02-04 16:12:52
556|1406|Otros Servicios Asesor  Programa  de Créditos|01/01/05|31/01/10|TRUE|NA|NA|2010-02-05 15:02:02|2010-08-18 15:38:08
557|1406|Otros Servicios Asesor  Programa  de Tenderos,  Coordinador Programa  De Créditos Fundación  para el Desarrollo Económico del  Litoral  Pacífico  Fundelpacífico|01/01/91|01/01/00|TRUE|NA|NA|2010-02-05 15:02:02|2010-08-18 15:38:08
870|2462|Otros Servicios Tesorero Acueducto Metropolitano de Bucaramanga S.A. E.S.P|NA|NA|TRUE|NA|NA|2010-10-28 21:00:45|2010-10-28 21:00:45
871|2462|Educacion y Conocimiento Catedrático Área de Ciencia y Tecnología Universidad Santo Tomás|NA|NA|TRUE|NA|NA|2010-10-28 21:00:45|2010-10-28 21:00:45
873|571|Estatal Gerente Empresa Antioqueña de Energía S.A. E.S.P., EADE.|01/01/98|31/12/98|TRUE|NA|NA|2010-12-09 21:43:04|2010-12-09 21:43:04
846|753|Estatal Ministro Ministerio de Salud|01/01/90|31/12/90|TRUE|NA|NA|2010-09-16 15:39:48|2010-09-16 15:39:48
847|748|Estatal Alto Comisionado para la Paz Alcaldía de Cali, Valle del Cauca|01/01/95|31/12/97|TRUE|NA|NA|2010-09-16 15:41:28|2010-09-16 15:41:28
872|405|Estatal Secretario Concejo de Cali, Valle|01/01/95|31/12/97|TRUE|NA|NA|2010-12-01 16:08:41|2010-12-01 16:08:41
849|679|Servicios de Salud Coordinador Neurocirugía Uniclínicas|01/01/94|31/12/95|TRUE|NA|NA|2010-09-16 16:01:11|2010-09-16 16:01:11
