id,persona_id,partido_id,cargo,fecha,fecha_final,activo,usercreated,usermodifed,created_at,updated_at
1,141,4,Representante a la Cámara,2008-12-05,2010-07-19,TRUE,,,2009-12-03 17:49:30.000000,2009-12-09 21:20:34.840455
2,141,4,Representante a la Cámara,2002-07-20,2006-07-19,TRUE,,,2009-12-03 17:49:30.000000,2009-12-09 21:20:34.844224
3,141,4,Representante a la Cámara,1998-07-20,2002-07-19,TRUE,,,2009-12-03 17:49:30.000000,2009-12-09 21:20:34.847917
7,141,4,Diputado Asamblea del Tolima,1995-01-01,1997-12-31,TRUE,,,2009-12-09 21:20:34.849699,2009-12-09 21:20:34.849721
8,141,4,Diputado Asamblea del Tolima,1992-01-01,1994-12-31,TRUE,,,2009-12-09 21:20:34.861556,2009-12-09 21:20:34.861578
12,90,3,Senador de la República,2008-07-20,2010-07-20,TRUE,,,2009-12-16 23:31:13.718108,2009-12-16 23:31:13.718138
13,90,2,Senador de la República,1986-07-20,1990-07-20,TRUE,,,2009-12-16 23:31:13.720506,2009-12-16 23:31:13.720532
14,90,2,Senador de la República,1990-07-20,1994-07-19,TRUE,,,2009-12-16 23:31:13.721483,2009-12-16 23:31:13.721505
15,90,2,Representante a la Cámara,1982-07-20,2009-12-16,TRUE,,,2009-12-16 23:31:13.722450,2009-12-16 23:31:13.722472
16,90,2,Concejal de Bucaramanga,1988-07-20,1989-07-19,TRUE,,,2009-12-16 23:31:13.723422,2009-12-16 23:31:13.723444
1433,486,NA,"Concejal de Ciénaga de Oro, Córdoba",1990-06-01,1992-03-30,TRUE,,,2010-12-09 21:22:45.115730,2010-12-09 21:22:45.115760
42,310,66,Senador de la República,1994-07-20,1998-07-19,TRUE,,,2010-01-17 17:32:05.405883,2010-05-21 20:40:33.750003
43,310,66,Senador de la República,1991-12-12,1994-07-19,TRUE,,,2010-01-17 17:32:05.414997,2010-05-21 20:40:33.753377
44,313,4,Diputado,1988-12-06,1990-12-06,TRUE,,,2010-01-17 17:32:05.423654,2010-01-17 17:32:05.423689
47,313,60,Senador Suplente,1990-12-06,1994-12-06,TRUE,,,2010-01-17 17:32:05.456831,2010-01-17 17:32:05.456865
56,108,2,Diputado Asamblea Vaupés,1998-01-01,2001-12-31,TRUE,,,2010-01-17 17:32:05.580075,2010-04-28 14:15:49.622538
57,108,2,Diputado Asamblea Vaupés,1995-01-01,1997-12-31,TRUE,,,2010-01-17 17:32:05.592644,2010-04-28 14:15:49.625938
72,391,3,Presidenta Senado de la República,2005-07-20,2006-07-19,TRUE,,,2010-01-17 17:32:05.817674,2010-05-21 14:14:09.433802
