id,proyecto_ley_estado_id,congresista_id,tipo_publicacion_proyecto_ley_id,es_coordinador,activo,usercreated,usermodifed
29232,24914,1370,NA,NA,NA,NA,NA
36504,19116,1053,NA,NA,NA,NA,NA
36504,19116,1420,NA,NA,NA,NA,NA
36505,19116,917,NA,NA,NA,NA,NA
36506,19116,606,NA,NA,NA,NA,NA
41395,19620,9,NA,NA,NA,NA,NA
41395,19620,524,NA,NA,NA,NA,NA
41396,19618,786,NA,NA,NA,NA,NA
24197,10516,1477,NA,NA,NA,NA,NA
24197,10516,1478,NA,NA,NA,NA,NA
24197,10516,1479,NA,NA,NA,NA,NA
24198,10516,1489,NA,NA,NA,NA,NA
24198,10516,1488,NA,NA,NA,NA,NA
24198,10516,1487,NA,NA,NA,NA,NA
24199,10516,1495,NA,NA,NA,NA,NA
24199,10516,1494,NA,NA,NA,NA,NA
24199,10516,1658,NA,NA,NA,NA,NA
24199,10516,2384,NA,NA,NA,NA,NA
24200,10516,239,NA,NA,NA,NA,NA
24200,10516,1108,NA,NA,NA,NA,NA
24200,10516,676,NA,NA,NA,NA,NA
24201,10516,876,NA,NA,NA,NA,NA
24201,10516,1624,NA,NA,NA,NA,NA
24201,10516,1342,NA,NA,NA,NA,NA
24201,10516,2381,NA,NA,NA,NA,NA
24202,10516,1568,NA,NA,NA,NA,NA
24202,10516,960,NA,NA,NA,NA,NA
24203,10516,961,NA,NA,NA,NA,NA
24204,10516,1606,NA,NA,NA,NA,NA
24204,10516,1307,NA,NA,NA,NA,NA
24204,10516,2332,NA,NA,NA,NA,NA
24205,10516,1514,NA,NA,NA,NA,NA
24206,10516,1480,NA,NA,NA,NA,NA
24206,10516,1482,NA,NA,NA,NA,NA
24206,10516,1481,NA,NA,NA,NA,NA
24206,10516,1708,NA,NA,NA,NA,NA
24206,10516,2276,NA,NA,NA,NA,NA
24207,10516,1490,NA,NA,NA,NA,NA
24207,10516,1492,NA,NA,NA,NA,NA
24207,10516,1491,NA,NA,NA,NA,NA
24207,10516,1660,NA,NA,NA,NA,NA
24207,10516,2255,NA,NA,NA,NA,NA
24207,10516,2587,NA,NA,NA,NA,NA
24208,10516,967,NA,NA,NA,NA,NA
24209,10516,791,NA,NA,NA,NA,NA
24209,10516,1092,NA,NA,NA,NA,NA
24209,10516,1758,NA,NA,NA,NA,NA
24210,10516,992,NA,NA,NA,NA,NA
24211,10516,1179,NA,NA,NA,NA,NA
24211,10516,798,NA,NA,NA,NA,NA
24212,10516,231,NA,NA,NA,NA,NA
24212,10516,669,NA,NA,NA,NA,NA
24212,10516,1082,NA,NA,NA,NA,NA
24213,10516,1006,NA,NA,NA,NA,NA
24214,10516,1193,NA,NA,NA,NA,NA
24214,10516,1709,NA,NA,NA,NA,NA
24214,10516,210,NA,NA,NA,NA,NA
24214,10516,2280,NA,NA,NA,NA,NA
24215,10516,1565,NA,NA,NA,NA,NA
24215,10516,1609,NA,NA,NA,NA,NA
24215,10516,2337,NA,NA,NA,NA,NA
24216,10516,641,NA,NA,NA,NA,NA
24216,10516,1162,NA,NA,NA,NA,NA
24216,10516,187,NA,NA,NA,NA,NA
24217,10516,1743,NA,NA,NA,NA,NA
24217,10516,1745,NA,NA,NA,NA,NA
24217,10516,1744,NA,NA,NA,NA,NA
24218,10516,12,NA,NA,NA,NA,NA
24218,10516,526,NA,NA,NA,NA,NA
24218,10516,1091,NA,NA,NA,NA,NA
24219,10516,434,NA,NA,NA,NA,NA
24219,10516,788,NA,NA,NA,NA,NA
24219,10516,994,NA,NA,NA,NA,NA
24219,10516,1692,NA,NA,NA,NA,NA
24219,10516,2358,NA,NA,NA,NA,NA
36507,19116,1437,NA,NA,NA,NA,NA
36507,19116,1438,NA,NA,NA,NA,NA
41397,6184,786,NA,NA,NA,NA,NA
49890,3305,429,NA,NA,NA,NA,NA
49890,3305,784,NA,NA,NA,NA,NA
49890,3305,1178,NA,NA,NA,NA,NA
49890,3305,1688,NA,NA,NA,NA,NA
49891,3305,1664,NA,NA,NA,NA,NA
49891,3305,1447,NA,NA,NA,NA,NA
49891,3305,1448,NA,NA,NA,NA,NA
49891,3305,2270,NA,NA,NA,NA,NA
49891,3305,1328,NA,NA,NA,NA,NA
50226,26006,1407,NA,NA,NA,NA,NA
50226,26006,1406,NA,NA,NA,NA,NA
50226,26006,1405,NA,NA,NA,NA,NA
50226,26006,1802,NA,NA,NA,NA,NA
50226,26006,2201,NA,NA,NA,NA,NA
50226,26006,2625,NA,NA,NA,NA,NA
49861,35041,370,NA,NA,NA,NA,NA
49862,35041,343,NA,NA,NA,NA,NA
49863,35024,320,NA,NA,NA,NA,NA
49863,35024,722,NA,NA,NA,NA,NA
49863,35024,1625,NA,NA,NA,NA,NA
49863,35024,1052,NA,NA,NA,NA,NA
49863,35024,2130,NA,NA,NA,NA,NA
49863,35024,2544,NA,NA,NA,NA,NA
49864,35024,1687,NA,NA,NA,NA,NA
49864,35024,1361,NA,NA,NA,NA,NA
49864,35024,1359,NA,NA,NA,NA,NA
49864,35024,1360,NA,NA,NA,NA,NA
49865,35024,1032,NA,NA,NA,NA,NA
49865,35024,339,NA,NA,NA,NA,NA
49866,35024,477,NA,NA,NA,NA,NA
49866,35024,824,NA,NA,NA,NA,NA
49866,35024,1164,NA,NA,NA,NA,NA
49866,35024,1693,NA,NA,NA,NA,NA
49866,35024,2318,NA,NA,NA,NA,NA
49866,35024,2606,NA,NA,NA,NA,NA
49867,35024,319,NA,NA,NA,NA,NA
49867,35024,721,NA,NA,NA,NA,NA
49867,35024,2274,NA,NA,NA,NA,NA
41831,30769,1422,NA,NA,NA,NA,NA
41831,30769,1671,NA,NA,NA,NA,NA
41832,30769,1300,NA,NA,NA,NA,NA
41832,30769,1783,NA,NA,NA,NA,NA
41832,30769,2178,NA,NA,NA,NA,NA
41832,30769,2453,NA,NA,NA,NA,NA
49868,35024,79,NA,NA,NA,NA,NA
49868,35024,568,NA,NA,NA,NA,NA
49869,35024,1434,NA,NA,NA,NA,NA
49869,35024,1436,NA,NA,NA,NA,NA
49869,35024,1435,NA,NA,NA,NA,NA
36743,7986,1474,NA,NA,NA,NA,NA
36743,7986,1854,NA,NA,NA,NA,NA
