id,persona_id,fecha_inicio,fecha_final,comision_id,activo,usercreated,usermodifed,created_at,updated_at
1,4195,2010-07-20,2014-07-19,4,NA,NA,NA,NA,NA
2,4197,2010-07-20,2014-07-19,10,NA,NA,NA,NA,NA
3,4199,2010-07-20,2014-07-19,6,NA,NA,NA,NA,NA
4,4200,2010-07-20,2014-07-19,2,NA,NA,NA,NA,NA
5,4206,2010-07-20,2014-07-19,3,NA,NA,NA,NA,NA
6,4198,2010-07-20,2014-07-19,9,NA,NA,NA,NA,NA
7,4550,2011-04-27,2014-07-19,33,NA,NA,NA,NA,NA
8,4194,2010-07-20,2014-07-19,7,NA,NA,NA,NA,NA
9,4743,2010-07-20,2014-07-19,19,NA,NA,NA,NA,NA
10,4746,2010-07-20,2014-07-19,24,NA,NA,NA,NA,NA
11,4747,2010-07-20,2014-07-19,26,NA,NA,NA,NA,NA
12,4748,2010-07-20,2014-07-19,30,NA,NA,NA,NA,NA
13,4749,2010-07-20,2014-07-19,21,NA,NA,NA,NA,NA
14,4745,2010-07-20,2014-07-19,18,NA,NA,NA,NA,NA
15,4750,2010-07-20,2014-07-19,20,NA,NA,NA,NA,NA
16,4580,2010-07-20,2012-07-19,31,NA,NA,NA,NA,NA
17,5864,2012-07-20,2014-07-19,31,NA,NA,NA,NA,NA
18,5499,2010-07-20,2014-07-19,38,NA,NA,NA,NA,NA
19,6483,2012-07-20,2014-07-19,29,NA,NA,NA,NA,NA
20,4196,2014-07-20,2018-07-19,12,NA,NA,NA,NA,NA
21,10073,2014-07-20,2018-07-19,10,NA,NA,NA,NA,NA
22,10075,2014-07-20,2018-07-19,6,NA,NA,NA,NA,NA
23,10076,2014-07-20,2018-07-19,2,NA,NA,NA,NA,NA
24,10074,2014-07-20,2018-07-19,9,NA,NA,NA,NA,NA
25,4741,2014-07-20,2018-07-19,4,NA,NA,NA,NA,NA
26,4742,2014-07-20,2015-07-19,25,NA,NA,NA,NA,NA
27,10173,2014-07-20,2018-07-19,21,NA,NA,NA,NA,NA
28,10264,2014-07-20,2018-07-19,25,NA,NA,NA,NA,NA
29,10265,2014-07-20,2018-07-19,26,NA,NA,NA,NA,NA
30,10266,2014-07-20,2018-07-19,23,NA,NA,NA,NA,NA
31,10267,2014-07-20,2018-07-19,18,NA,NA,NA,NA,NA
32,10126,2014-07-20,2015-07-19,32,NA,NA,NA,NA,NA
33,10072,2014-07-20,2018-07-19,7,NA,NA,NA,NA,NA
34,12109,2016-07-20,2018-07-19,34,NA,NA,NA,NA,NA
35,14573,2018-07-20,2019-07-19,2,NA,NA,NA,NA,NA
36,14570,2018-07-20,2022-07-19,10,NA,NA,NA,NA,NA
37,14567,2018-07-20,2022-07-19,7,NA,NA,NA,NA,NA
38,14569,2018-07-20,2022-07-19,12,NA,NA,NA,NA,NA
39,14571,2018-07-20,2022-07-19,9,NA,NA,NA,NA,NA
40,4201,2018-07-20,2022-07-19,1,NA,NA,NA,NA,NA
41,4202,2018-07-20,2022-07-19,11,NA,NA,NA,NA,NA
42,4203,2018-07-20,2022-07-19,13,NA,NA,NA,NA,NA
43,4204,2018-07-20,2022-07-19,8,NA,NA,NA,NA,NA
44,4205,2018-07-20,2022-07-19,5,NA,NA,NA,NA,NA
45,10097,2018-07-20,2022-07-19,3,NA,NA,NA,NA,NA
46,4207,2018-07-20,2022-07-19,14,NA,NA,NA,NA,NA
47,14568,2018-07-20,2022-07-19,4,NA,NA,NA,NA,NA
48,14572,2018-07-20,2022-07-19,6,NA,NA,NA,NA,NA
49,14656,2020-07-01,2022-07-20,42,NA,NA,NA,NA,NA
