num,seccion,tabla,campo,grupo,campo_gp,tabla_gp,transformar,observaciones
1,actividad,actividad,id,2,,,2,tabla obsoleta
1,actividad,actividad,seguido_por_id,2,,,2,tabla obsoleta
1,actividad,actividad,fecha_hora,2,,,2,tabla obsoleta
1,actividad,actividad,tipo_id,2,,,2,tabla obsoleta
1,actividad,actividad,objeto_disparador_id,2,,,2,tabla obsoleta
1,actividad,actividad,objeto_seguido_id,2,,,2,tabla obsoleta
1,actividad,actividad,objeto_seguido_content_type_id,2,,,2,tabla obsoleta
1,actividad,actividad,objeto_disparador_content_type_id,2,,,2,tabla obsoleta
2,actividad,siguea,id,2,,,2,tabla obsoleta
2,actividad,siguea,seguido_type_id,2,,,2,tabla obsoleta
2,actividad,siguea,seguido_id,2,,,2,tabla obsoleta
2,actividad,siguea,seguidor_id,2,,,2,tabla obsoleta
2,actividad,siguea,fecha,2,,,2,tabla obsoleta
3,actividad,tipoactividad,id,2,,,2,tabla obsoleta
3,actividad,tipoactividad,nombre,2,,,2,tabla obsoleta
4,auth,group_permissions,id,2,,,2,tabla obsoleta
4,auth,group_permissions,group_id,2,,,2,tabla obsoleta
4,auth,group_permissions,permission_id,2,,,2,tabla obsoleta
5,auth,group,id,2,,,2,tabla obsoleta
5,auth,group,name,2,,,2,tabla obsoleta
6,auth,message,id,2,,,2,tabla obsoleta
6,auth,message,user_id,2,,,2,tabla obsoleta
6,auth,message,message,2,,,2,tabla obsoleta
7,auth,permission,id,2,,,2,tabla obsoleta
7,auth,permission,name,2,,,2,tabla obsoleta
7,auth,permission,content_type_id,2,,,2,tabla obsoleta
7,auth,permission,codename,2,,,2,tabla obsoleta
8,auth,user_groups,id,2,,,2,tabla obsoleta
8,auth,user_groups,user_id,2,,,2,tabla obsoleta
8,auth,user_groups,group_id,2,,,2,tabla obsoleta
9,auth,user_user_permissions,id,2,,,2,tabla obsoleta
9,auth,user_user_permissions,user_id,2,,,2,tabla obsoleta
9,auth,user_user_permissions,permission_id,2,,,2,tabla obsoleta
10,auth,user,id,2,,,2,tabla obsoleta
10,auth,user,username,2,,,2,tabla obsoleta
10,auth,user,first_name,2,,,2,tabla obsoleta
10,auth,user,last_name,2,,,2,tabla obsoleta
10,auth,user,email,2,,,2,tabla obsoleta
10,auth,user,password,2,,,2,tabla obsoleta
10,auth,user,is_staff,2,,,2,tabla obsoleta
10,auth,user,is_active,2,,,2,tabla obsoleta
10,auth,user,is_superuser,2,,,2,tabla obsoleta
10,auth,user,last_login,2,,,2,tabla obsoleta
10,auth,user,date_joined,2,,,2,tabla obsoleta
11,ayuda,ayudaseccion,id,2,,,2,tabla obsoleta
11,ayuda,ayudaseccion,orden,2,,,2,tabla obsoleta
11,ayuda,ayudaseccion,fecha_actualizacion,2,,,2,tabla obsoleta
11,ayuda,ayudaseccion,id_video_ayuda,2,,,2,tabla obsoleta
11,ayuda,ayudaseccion,regex_seccion,2,,,2,tabla obsoleta
