id,nombre,departamento_id,activo,usercreated,usermodified,create_at,updated_at
38,Circunscripción Especial de Minorias Políticas,NA,,,,,
37,Circunscripción Especial por Comunidades Afrocolombianas,NA,,,,,
39,Circunscripción Internacional (Colombianos Residentes en el Exterior),NA,,,,,
35,Circunscripción Nacional,NA,,,,,
7,Circunscripción Territorial de Bolívar,6,,,,,
8,Circunscripción Territorial de Boyacá,7,,,,,
10,Circunscripción Territorial de Caldas,8,,,,,
13,Circunscripción Territorial de Caquetá,9,,,,,
11,Circunscripción Territorial de Casanare,10,,,,,
9,Circunscripción Territorial de Cauca,11,,,,,
15,Circunscripción Territorial de Cesar,12,,,,,
14,Circunscripción Territorial de Chocó,13,,,,,
16,Circunscripción Territorial de Córdoba,14,,,,,
12,Circunscripción Territorial de Cundinamarca,15,,,,,
18,Circunscripción Territorial de Guainía,16,,,,,
19,Circunscripción Territorial de Guaviare,17,,,,,
20,Circunscripción Territorial de Huila,18,,,,,
17,Circunscripción Territorial de La Guajira,19,,,,,
22,Circunscripción Territorial de Magdalena,20,,,,,
21,Circunscripción Territorial de Meta,22,,,,,
23,Circunscripción Territorial de Nariño,23,,,,,
25,Circunscripción Territorial de Putumayo,25,,,,,
30,Circunscripción Territorial de Quindío,26,,,,,
26,Circunscripción Territorial de Risaralda,27,,,,,
27,Circunscripción Territorial de San Andrés y Providencia,28,,,,,
28,Circunscripción Territorial de Santander,29,,,,,
29,Circunscripción Territorial de Sucre,30,,,,,
33,Circunscripción Territorial de Vaupés,33,,,,,
32,Circunscripción Territorial de Vichada,34,,,,,
36,Circunscripción Especial por Comunidades Indígenas,NA,,,,,
4,Circunscripción Territorial de Amazonas,2,,,,,
3,Circunscripción Territorial de Antioquia,3,,,,,
2,Circunscripción Territorial de Atlántico,5,,,,,
24,Circunscripción Territorial de Norte de Santander,24,,,,,
34,Circunscripción Territorial de Tolima,31,,,,,
1,Circunscripción Territorial de Bogotá,1,,,,,
5,Circunscripción Territorial de Arauca,4,,,,,
31,Circunscripción Territorial de Valle del Cauca,32,,,,,
