id,persona_id,corporacion_id,cuatrienio_id,partido_id,curul_id,circunscripcion_id,activo,usercreated,usermodified,create_at,updated_at
55,375,2,1,2,NA,19,,,,,
49,367,2,1,4,NA,31,,,,,
200,586,1,1,74,NA,35,,,,,
138,488,2,1,4,NA,17,,,,,
34,342,2,1,2,NA,27,,,,,
371,829,2,1,4,NA,31,,,,,
2055,829,2,1,4,NA,31,,,,,
2054,829,2,1,4,NA,31,,,,,
158,517,2,1,40,NA,29,,,,,
1946,517,2,1,40,NA,29,,,,,
2040,517,2,1,40,NA,29,,,,,
78,405,2,1,91,NA,31,,,,,
65,389,2,1,5,NA,1,,,,,
170,537,1,1,2,NA,35,,,,,
29,336,2,1,2,NA,3,,,,,
1850,336,2,4,2,NA,3,,,,,
512,1033,2,1,2,NA,30,,,,,
83,412,2,1,74,NA,10,,,,,
657,619,2,4,2,NA,3,,,,,
1858,619,2,4,2,NA,3,,,,,
627,534,2,4,4,NA,23,,,,,
192,575,2,1,2,NA,12,,,,,
149,504,2,1,70,NA,31,,,,,
134,480,2,1,2,NA,1,,,,,
1546,2224,2,4,3,NA,3,,,,,
234,640,1,1,2,NA,35,,,,,
223,618,1,1,2,NA,35,,,,,
136,486,1,1,74,NA,35,,,,,
1066,164,2,2,3,NA,8,,,,,
53,371,1,1,74,NA,35,,,,,
261,675,1,1,4,NA,35,,,,,
348,795,2,1,2,NA,34,,,,,
214,606,2,1,4,NA,12,,,,,
923,1140,1,4,28,NA,35,,,,,
221,616,2,1,2,NA,34,,,,,
545,354,2,4,1,NA,28,,,,,
178,552,2,1,2,NA,14,,,,,
2045,552,2,1,2,NA,14,,,,,
884,1091,1,4,2,NA,35,,,,,
1378,1091,1,1,2,NA,35,,,,,
394,861,2,1,38,NA,3,,,,,
280,703,1,1,2,NA,35,,,,,
2003,703,1,1,2,NA,35,,,,,
270,685,2,1,2,NA,22,,,,,
168,533,2,1,61,NA,7,,,,,
661,624,2,4,53,NA,17,,,,,
201,588,2,1,4,NA,17,,,,,
573,426,1,4,2,NA,35,,,,,
95,426,2,1,2,NA,1,,,,,
391,858,2,1,2,NA,10,,,,,
