id,persona_id,partido_id,fecha,fecha_final,activo,usercreated,usermodified,created_at,updated_at
1,141,4,2008-12-05,2010-07-19,,,,,
2,141,4,2002-07-20,2006-07-19,,,,,
3,141,4,1998-07-20,2002-07-19,,,,,
7,141,4,1995-01-01,1997-12-31,,,,,
8,141,4,1992-01-01,1994-12-31,,,,,
12,90,3,2008-07-20,2010-07-20,,,,,
13,90,2,1986-07-20,1990-07-20,,,,,
14,90,2,1990-07-20,1994-07-19,,,,,
15,90,2,1982-07-20,2009-12-16,,,,,
16,90,2,1988-07-20,1989-07-19,,,,,
1433,486,NA,1990-06-01,1992-03-30,,,,,
42,310,66,1994-07-20,1998-07-19,,,,,
43,310,66,1991-12-12,1994-07-19,,,,,
44,313,4,1988-12-06,1990-12-06,,,,,
47,313,60,1990-12-06,1994-12-06,,,,,
56,108,2,1998-01-01,2001-12-31,,,,,
57,108,2,1995-01-01,1997-12-31,,,,,
72,391,3,2005-07-20,2006-07-19,,,,,
73,391,3,2002-07-20,2006-07-19,,,,,
74,391,3,1999-03-15,2000-07-20,,,,,
92,23,60,2002-01-01,2006-12-31,,,,,
93,23,28,1991-01-01,1994-12-31,,,,,
94,23,28,1994-01-01,1998-12-31,,,,,
101,28,2,2002-07-20,2006-07-20,,,,,
102,28,2,2006-07-20,2007-07-20,,,,,
105,28,2,2003-05-01,2005-05-01,,,,,
61,341,7,2002-07-20,2006-06-20,,,,,
45,313,34,1998-07-20,2002-07-19,,,,,
46,313,34,1994-07-20,1996-07-20,,,,,
107,28,2,2004-12-16,2004-06-11,,,,,
41,310,4,1998-07-20,2002-07-19,,,,,
19,142,10,2006-07-20,2010-06-20,,,,,
857,809,4,1998-07-20,2002-07-19,,,,,
858,809,7,2002-07-20,2006-07-19,,,,,
859,809,7,2006-07-20,2010-07-19,,,,,
30,60,10,2002-07-20,2006-07-20,,,,,
62,346,86,1992-07-01,1994-12-31,,,,,
63,346,78,1995-01-01,1997-12-31,,,,,
31,60,10,2006-07-20,2010-07-20,,,,,
26,40,2,2009-01-22,2010-07-20,,,,,
27,40,2,2009-01-02,2010-05-11,,,,,
28,40,2,1995-01-01,1997-02-01,,,,,
4,244,4,1974-01-01,1980-01-01,,,,,
5,244,4,1981-01-01,1993-01-01,,,,,
6,244,4,1994-01-01,2009-01-01,,,,,
1422,2462,117,2010-07-20,2014-07-20,,,,,
