id,dato_contacto_id,comision_id,cuenta,activo,usercreated,usermodified,created_at,updated_at
1,1,5,comisionquinta@senado.gov.co,,,,,
2,2,5,Edificio Nuevo del Congreso. Piso 2,,,,,
3,3,5,382 4243 / 382 4244,,,,,
4,1,8,comision.cuarta@senado.gov.co,,,,,
5,2,8,Edificio Nuevo del Congreso. Piso 2,,,,,
6,3,8,382 4222 / 382 4223,,,,,
7,1,33,comisionlegalmujercolombia@gmail.com,,,,,
8,2,33,Capitolio Nacional,,,,,
9,3,33,3825176 / 7,,,,,
10,2,31,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
11,4,16,https://drive.google.com/file/d/0B126YHPgg292MmxGRldMcmxLb0k/view?usp=sharing,,,,,
12,1,20,comisiondeetica@senado.gov.co,,,,,
13,2,20,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso Oficina 235,,,,,
14,3,20,382 4250 Fax. 382 4234,,,,,
15,1,9,comision.quinta@camara.gov.co,,,,,
16,2,9,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
17,3,9,382 4037/39/20,,,,,
18,4,9,https://drive.google.com/file/d/0B126YHPgg292LXpfQkRzR1BDUXc/view?usp=sharing,,,,,
19,1,21,comisiondeetica@camara.gov.co,,,,,
20,2,21,"Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso, Piso 5",,,,,
21,3,21,382 3626 / 3823612,,,,,
22,1,32,comision.ordenamiento@camara.gov.co,,,,,
23,2,32,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
24,3,32,382 5101 - 382 5102,,,,,
25,1,1,comisionprimera@senado.gov.co,,,,,
26,2,1,Edificio Nuevo del Congreso - Mezzanine,,,,,
27,3,1,382 3135 / 3136/ 3137/ 3138,,,,,
28,4,1,http://www.comisionprimerasenado.com/documentos//article/170/Resumen%20legislativo%202014-15.pdf,,,,,
29,1,13,comisiontercera@senado.gov.co,,,,,
30,2,13,Edificio Nuevo del Congreso. Oficina 234,,,,,
31,3,13,382 4212 / 382 4208,,,,,
32,4,13,https://drive.google.com/file/d/0B126YHPgg292Zkw0VmM3ZmVQRFU/view?usp=sharing,,,,,
33,1,36,comision.paz@gmail.co,,,,,
34,2,36,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
35,3,36,382 5105,,,,,
36,1,34,comisiondepaz@senado.gov.co,,,,,
37,2,34,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
38,1,11,comision.segunda@senado.gov.co,,,,,
39,2,11,Edificio Nuevo del Congreso. Oficina 233.,,,,,
40,3,11,382 4255 / 382 4258,,,,,
41,4,11,https://drive.google.com/a/congresovisible.org/file/d/0B126YHPgg292cnMwb0VaQlZWYjA/view?usp=sharing,,,,,
42,1,3,comisionsexta@senado.gov.co,,,,,
43,2,3,Edificio Nuevo del Congreso. Piso 2,,,,,
44,3,3,382 4277 / 382 4278,,,,,
45,4,3,http://www.senado.gov.co/images/stories/pdfs/INFORME_FINAL_PRIMERA_LEGISLATURA_2014-2015.pdf,,,,,
46,1,14,comisionseptima@senado.gov.co,,,,,
47,2,14,Edificio Nuevo del Congreso. Oficina 241B,,,,,
48,3,14,382 4264,,,,,
49,4,14,http://www.comisionseptimasenado.gov.co/TRAMPROY2014-2015/Estado%20General%20de%20Proyectos.pdf,,,,,
50,1,26,comision.acusaciones@camara.gov.co,,,,,
51,2,26,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
52,3,26,382 4027,,,,,
53,1,29,comisionvigilanciaelectoral@senado.gov.co,,,,,
54,2,29,Edificio Nuevo del Congreso. Oficina 434,,,,,
55,3,29,382 3170/72,,,,,
56,1,12,comision.tercera@camara.gov.co,,,,,
57,2,12,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
58,3,12,382 4076/78,,,,,
59,1,7,comision.primera@camara.gov.co,,,,,
60,2,7,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
61,3,7,382 4289 / 93,,,,,
62,4,7,https://drive.google.com/file/d/0B126YHPgg292em1TcHRSeDM5OFU/view?usp=sharing,,,,,
63,1,10,comision.cuarta@camara.gov.co,,,,,
64,2,10,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
65,3,10,3824021/22/20/4475,,,,,
66,4,10,https://drive.google.com/file/d/0B126YHPgg292UmF0bkxDMzlaa2s/view?usp=sharing,,,,,
67,1,6,comision.sexta@camara.gov.co,,,,,
68,2,6,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
69,3,6,3824068 - 3824071,,,,,
70,4,6,https://drive.google.com/file/d/0B126YHPgg292NDRKNllkN3laS0E/view?usp=sharing,,,,,
71,1,25,comision.legaldecuentas@gmail.com,,,,,
72,2,25,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
73,3,25,382 4036 -  4032,,,,,
74,1,4,csegunda.camara@gmail.com,,,,,
75,2,4,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
76,3,4,3824050 /48/52  FAX: 3824046,,,,,
77,4,4,https://drive.google.com/a/congresovisible.org/file/d/0B126YHPgg292b3phWmJjeTNtOFk/view?usp=sharing,,,,,
78,2,24,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
79,1,2,comision.septima@camara.gov.co,,,,,
80,2,2,"Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso, Piso 5",,,,,
81,3,2,382 4059 - 382 4062,,,,,
82,4,2,https://drive.google.com/file/d/0B126YHPgg292SlZ2S29vSGtvQU0/view?usp=sharing,,,,,
83,2,28,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
84,2,22,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
85,2,30,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
86,1,18,comision.derechoshumanos@camara.gov.co,,,,,
87,2,18,Carrera 7 N° 8 - 68 Piso 6 Edificio Nuevo del Congreso,,,,,
88,3,18,382 3043 - 382 3044,,,,,
89,1,39,comision.inteligencia@senado.gov.co,,,,,
90,2,23,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
91,2,27,Carrera 7 N° 8 - 68 Edificio Nuevo del Congreso,,,,,
92,1,40,comision.administracion@senado.gov.co,,,,,
93,1,19,comisionderechoshumanos@senado.gov.co,,,,,
94,2,19,Calle 12 # 7-32 piso 14 Edificio B.C.A.,,,,,
95,3,19,382 6202 - 382 6203,,,,,
