id,autor_id,titulo,descripcion,tipo_blog_id,destacado
1,2437,VIDEOS,NA,1,FALSE
5,2341,Ley de Seguridad y Defensa Nacional.,"Ley de Seguridad y Defensa Nacional
Las leyes de seguridad y defensa nacional que se dieron los países latinoamericanos, estuvieron inspiradas en la doctrina Monroe. En la década de los cincuenta, posterior a las dos confrontaciones mundiales y el surgimiento del Estado socialista, los Estados Unidos, buscaron no tolerar ninguna intromisión extranjera en sus áreas de interés. Estas leyes tenían como meta fundamental eliminar la competencia extranjera en la totalidad de América latina y mantener alejado y proscrito el comunismo internacional. Las leyes de seguridad y defensa nacional fueron dirigidas a asegurar los intereses de Estados Unidos en América latina. Es este el motivo para que en algunos analistas, al hablarles de leyes de seguridad y defensa nacional, les puede causar escozor. 
La ley de seguridad y defensa nacional busca preservar a la NACION y mantenerla alejada de cualquier amenaza interna o externa, así como preservarla ante los daños de una catástrofe de índole natural. La ley de seguridad y defensa nacional busca preservar la NACION valiéndose del Estado y la sociedad. Como pueden ver es una ley de vital importancia. Posiblemente después de la Constitución nacional es la ley que más nos debe importar a los colombianos. Desafortunadamente, la mala utilización en un principio y la falta de legisladores comprometidos con la institucionalización del país nos han llevado a NO tener una excelente ley.
Su OBJETO, está bien definido, o sea regular la actividad del Estado y la sociedad en materia de seguridad y defensa integral. O sea que esta ley debe comprender el estudio, planificación y adopción de medidas relacionadas con la preparación y aplicación del potencial nacional para la preservación del patrimonio de la NACION.  ¿Cual es el patrimonio de la nación? Estos son los económicos, los sociales, los políticos, los culturales los geográficos, los ambientales y los militares. En geográficos considero los terrestres, marítimos y aéreos. Las posibles amenazas pueden ser actos de espionaje, de sabotaje, terrorismo, rebelión, traición a la patria y de genocidio. También, actos de interferencia de países extranjeros en los asuntos nacionales y que afecten al Estado Colombiano. (Los elementos constitutivos del Estado moderno son: La población, el territorio, el poder y la soberanía).   Otro objeto importante de esta ley es la de declarar lo que son las situaciones excepcionales, su duración, sus efectos y la terminación.
Como su nombre lo indica tiene dos conceptos muy importantes que son la seguridad y la defensa nacional. La defensa es desarrollada por las Fuerzas Militares de Colombia. Y se puede definir como las actividades políticas que desarrollan los Estados-nación modernos, para evitar o rechazar los ataques militares que eventualmente pudieran realizar otros estados-nación. La seguridad es una finalidad de la comunidad política. Este término ha evolucionado, inicialmente el ciudadano tenía que garantizar la seguridad del Estado. Posteriormente se hablo de seguridad ciudadana, donde el Estado buscaba garantizar la tranquilidad pública y la convivencia pacífica, así como la vida, la integridad  y los derechos de los individuos. La seguridad pública se puede definir como la ejercida por el Poder Ejecutivo que busca a través de acciones efectivas de información, disuasión y actuación en contra de la delincuencia. Confucio escribió lo siguiente: “cuando se le conduce al pueblo mediantes disposiciones y órdenes administrativas, y cuando por medio del castigo se procura meterle en razón, ciertamente que el pueblo evitará los delitos, más no tomará conciencia de que la comisión de delitos es algo de lo que tiene que avergonzarse. Cuando mediante la fuerza de unos principios morales se le guía exteriormente hacia el bien y se vinculan sus actividades externas a un extenso catálogo de formas de comportamiento ritualizadas, entonces tendrá el sentimiento de vergüenza, se apartará del mal y marchará por el camino correcto”. 
Voy a dar algunas definiciones de Seguridad Nacional con el propósito de sacar elementos importantes y que nos permitan tipificar una definición. Norberto Bobbio (Liberalismo y democracia, Mexico, 1991, pág. 26)  indica “El fin del Estado solamente es la seguridad entendida como la certeza de la libertad en el ámbito de la ley”.
Para la Escuela Superior de Guerra del Brasil, “La seguridad Nacional es el grado relativo de garantía que a través de acciones políticas, económicas, sico-sociales y militares, un Estado puede proporcionar, en una época determinada, a la nación que jurisdicciona, para la consecución y salvaguardia de sus objetivos nacionales, a despecho de los antagonismos existentes. (COR. Alfonso Littuma Arizaga).  Ver al final las definiciones. De las cuales podemos inferir y destacar rasgos esenciales y destacados:
•	Es una condición política, económica social y militar.
•	Se manifiesta como proceso continuo e incesante.
•	Tiene dinámica propia.
•	Es una función Estatal.
•	Nace con la organización del Estado.
•	Se manifiesta en el pleno ejercicio de la soberanía y la independencia.
•	Su meta básica es la consecución de los objetivos nacionales.
•	Existe en función del desarrollo de una nación.
•	Busca la estabilidad y la consecución de los objetivos nacionales.
Colombia tiene una ley de seguridad y defensa que es la 684 de Agosto 13 de 2001,  y le hago la siguiente crítica: El art. 8º, define la Seguridad Nacional, el 7º la Seguridad Ciudadana. El art. 6º, define la Defensa Nacional, el art. 5º la Fuerza Pública, y el 4º y 3º sucesivamente el Orden Público y el Poder Nacional. Todas estas definiciones son muy pobres. No contempla esta ley la utilización de los elementos del Estado en caso de desastres catastróficos. En el capítulo I, Del Consejo Superior de Seguridad y Defensa, efectúa su definición, art. 13 y su conformación art. 14, pero no  estipula que es el órgano superior del Estado en materia de seguridad y defensa nacional. Las tares asignadas son casi todas secundarias. “ Evaluar los planes específicos…”, “Emitir concepto...”, y “Difundir...”. 
Esta ley no crea “El sistema de Protección Civil”, que se entiende como una gestión social de riesgo en la cual actúan los distintos órganos del poder público a nivel nacional, departamental y municipal, con la participación de la sociedad. El sistema debe efectuar la planificación, evaluación y  ejecución  de los procesos específicos, con miras a reducir la vulnerabilidad ante eventos de orden natural y/o social.
Otro aspecto que debe regular esta ley es “La Gestión Social del Riesgo” que tiene como función garantizar la calidad de vida de los ciudadanos , promoviendo el desenvolvimiento de los aspectos de prevención, preparación, mitigación y respuesta ante eventos de orden natural y social que puedan afectar a la población y sus bienes.
Con la organización del Sistema Nacional de Inteligencia y Contrainteligencia se busca garantizar que el Estado y la sociedad no sean atacados desde el exterior o desde el interior por organizaciones enemigas o delincuencia internacional. Como pueden ver es muy importante esta ley para la estabilidad y desarrollo del Estado Colombiano así como su sociedad.


",1,FALSE
11,1428,Sobre políticos profesionales,NA,1,FALSE
10,1427,Elecciones 2010,"Directora del programa Congreso Visible, del departamento de Ciencia Política de la Universidad de los Andes.",1,FALSE
14,44,El menú,"¿Qué van a pedir los congresistas? El menú se centra en la agenda de las sesiones de comisión y plenaria, en los proyectos que los congresistas desean discutir y los debates que desean citar.",1,FALSE
18,47,Control político,Hola mi nombre es Felipe Jacobo. Soy politólogo de la Universidad de los Andes y hago parte del programa de Maestría en Ciencia Política. Esta sección estará dedicada al seguimiento de los debates de control político y de las citaciones realizadas en el Congreso de la República.,1,FALSE
15,48,Legislativo.com,Un espacio dedicado al análisis de la actividad legislativa.,1,FALSE
20,41,Gazaperas,NA,1,FALSE
19,40,"Congresistas, partidos y elecciones",NA,1,FALSE
16,382,Reflexiones Políticas,NA,1,FALSE
34,2663,Blog de Ocasa,"Espacio de reflexión sobre temas de interés para Ocasa como son: transparencia, rendición de cuentas, gobernabilidad y juventudes.",1,FALSE
35,2671,Movimiento Nacional Cimarrón,NA,1,FALSE
23,43,Inquietudes,"Seguimiento permanente al acontecer del Congreso de la República: tránsito de los proyectos de ley radicados en las dos Cámaras y seguimiento a algunos de los proyectos mas interesantes, además de comentarios de coyuntura de interés para el legislativo.",1,FALSE
24,2502,Blog de Susana,NA,1,FALSE
32,2653,Blog IRI  (prueb),Este será el blog del iri,1,FALSE
33,2654,Blog Corporación Acción Ciudadana Colombia,NA,1,FALSE
36,2667,Blog Observatorio Legislativo del Instituto de Ciencia Politica (ICP),NA,1,FALSE
50,2668,Blog - Humanas Colombia,NA,1,FALSE
273,3172,Nariño Visible,"Nariño Visible se constituye en una idea de construcción colectiva que aspira promover procesos efectivos de rendición de cuentas entre los y las congresistas de Nariño y la ciudadanía, promover la transparencia como principio fundamental del accionar político y electoral en el departamento, brindarle a los ciudadanos y ciudadanas nariñenses mecanismos efectivos y objetivos de acceso a la información de la gestión parlamentaria y generar insumos para la construcción de agendas departamentales incluyentes que promuevan el desarrollo humano. 

Organizaciones de la Sociedad civil de Nariño, líderes y lideresas promotores-as de una cultura democrática, con base en la experiencia del Programa Congreso Visible de la Universidad de los Andes, han sido los promotores-as de esta iniciativa, la cual hasta el momento ha contado con el apoyo y acompañamiento de la organización Suyusama y el Programa de las Naciones Unidas para el Desarrollo –PNUD.  

",1,FALSE
37,2660,Concejo Cómo Vamos,NA,1,FALSE
38,2662,Blog Corporación Nuevo Arco Iris,NA,1,FALSE
39,2555,Economía y Políticas Públicas,NA,1,FALSE
335,3522,Blog de Fernando Rojas Parra,NA,1,FALSE
