id,campania_id,sectorindustria_id
220,192,9
221,192,35
222,192,5
128,134,38
129,232,2
130,232,36
131,232,5
132,232,6
133,232,9
134,232,12
18,188,26
19,188,15
20,188,22
21,188,31
135,232,34
136,232,20
137,232,22
150,3,26
161,99,26
162,99,35
163,757,36
164,757,37
165,757,7
176,547,9
177,547,26
178,547,35
179,547,5
199,926,26
200,918,33
90,203,1
91,203,3
92,203,4
93,203,5
94,203,8
95,203,9
96,203,10
97,203,11
98,203,12
99,203,14
100,203,15
101,203,16
102,203,17
103,203,18
104,203,19
105,203,20
106,203,21
107,203,22
108,203,23
109,203,24
110,203,25
111,203,26
112,203,27
113,203,28
114,203,29
115,203,30
116,203,31
117,203,33
118,203,36
203,699,12
204,961,13
205,912,13
208,883,26
209,883,13
215,1038,9
216,1038,34
217,1038,4
218,1038,5
219,1038,6
274,829,26
275,829,34
276,829,31
288,1102,26
289,1102,31
300,1069,26
301,7,26
302,7,12
303,7,6
730,1134,1
731,1134,2
732,1134,3
733,1134,4
734,1134,5
735,1134,6
736,1134,7
737,1134,8
738,1134,9
739,1134,10
740,1134,11
741,1134,12
742,1134,13
743,1134,14
744,1134,15
745,1134,16
746,1134,17
747,1134,18
748,1134,19
749,1134,20
750,1134,21
751,1134,22
752,1134,23
753,1134,24
754,1134,25
755,1134,26
756,1134,27
757,1134,28
758,1134,29
759,1134,30
760,1134,31
761,1134,32
762,1134,33
763,1134,34
764,1134,35
765,1134,36
766,1134,37
767,1134,38
768,2074,13
769,1189,2
770,1189,13
771,2668,35
774,302,17
777,53,2
778,53,28
