nombre,año,objeto,archivo
Así es el Congreso 2010 -,2014,"<div><object style=""width:420px;height:272px"" ><param name=""movie"" value=""http://static.issuu.com/webembed/viewers/style1/v1/IssuuViewer.swf?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true&amp;documentId=100613001006-943f946ec81f4adfb2d362768069b718&amp;docName=congreso_visible_16_enero-marzo_2010_baja&amp;username=CongresoVisible&amp;loadingInfoText=Bolet%C3%ADn%20de%20Congreso%20Visible%2016&amp;et=1283438372542&amp;er=42"" /><param name=""allowfullscreen"" value=""true""/><param name=""menu"" value=""false""/><embed src=""http://static.issuu.com/webembed/viewers/style1/v1/IssuuViewer.swf"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" menu=""false"" style=""width:420px;height:272px"" flashvars=""mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true&amp;documentId=100613001006-943f946ec81f4adfb2d362768069b718&amp;docName=congreso_visible_16_enero-marzo_2010_baja&amp;username=CongresoVisible&amp;loadingInfoText=Bolet%C3%ADn%20de%20Congreso%20Visible%2016&amp;et=1283438372542&amp;er=42"" /></object><div style=""width:420px;text-align:left;""><a href=""http://issuu.com/CongresoVisible/docs/congreso_visible_16_enero-marzo_2010_baja?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Flight%2Flayout.xml&amp;showFlipBtn=true"" target=""_blank"">Open publication</a> - Free <a href=""http://issuu.com"" target=""_blank"">publishing</a> - <a href=""http://issuu.com/search?q=congreso"" target=""_blank"">More congreso</a></div></div>",uploads/boletines/Congreso_Visible_16_enero-marzo_2010_baja.pdf
Paz y Congreso tras fallida reforma a la justicia,2012,"<div><object style=""width:420px;height:272px"" ><param name=""movie"" value=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf?mode=mini&amp;embedBackground=%23000000&amp;backgroundColor=%23222222&amp;documentId=121012171344-4d07f127d5ce459caee8ed6bfbcccfc6"" /><param name=""allowfullscreen"" value=""true""/><param name=""menu"" value=""false""/><param name=""wmode"" value=""transparent""/><embed src=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" menu=""false"" wmode=""transparent"" style=""width:420px;height:272px"" flashvars=""mode=mini&amp;embedBackground=%23000000&amp;backgroundColor=%23222222&amp;documentId=121012171344-4d07f127d5ce459caee8ed6bfbcccfc6"" /></object><div style=""width:420px;text-align:left;""><a href=""http://issuu.com/programacongresovisible/docs/boletin_26_-__version_final?mode=window&amp;backgroundColor=%23222222"" target=""_blank"">Open publication</a> - Free <a href=""http://issuu.com"" target=""_blank"">publishing</a> - <a href=""http://issuu.com/search?q=congreso"" target=""_blank"">More congreso</a></div></div>",uploads/boletines/Boletin_26_-__VERSION_FINAL.pdf
Balance primer periodo Congreso 2010 -,2014,"<object style=""width:550px;height:356px"" ><param name=""movie"" value=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf?mode=mini&amp;documentId=110222182418-a1e12329fd804254a333c76d48bf6710"" /><param name=""allowfullscreen"" value=""true""/><param name=""menu"" value=""false""/><param name=""wmode"" value=""transparent""/><embed src=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" menu=""false"" wmode=""transparent"" style=""width:550px;height:356px"" flashvars=""mode=mini&amp;documentId=110222182418-a1e12329fd804254a333c76d48bf6710"" /></object>",uploads/boletines/Boletin_19.pdf
Números del Congreso en el segundo semestre de,2011,"<div><object classid=""clsid:D27CDB6E-AE6D-11cf-96B8-444553540000"" style=""width:420px;height:272px"" id=""86b040ee-5e0e-8147-ca39-d8d14f33832c"" ><param name=""movie"" value=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf?mode=mini&amp;backgroundColor=%23222222&amp;documentId=120301195349-ddca7b18f498457f98b5add8bc6b1730"" /><param name=""allowfullscreen"" value=""true""/><param name=""menu"" value=""false""/><param name=""wmode"" value=""transparent""/><embed src=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" menu=""false"" wmode=""transparent"" style=""width:420px;height:272px"" flashvars=""mode=mini&amp;backgroundColor=%23222222&amp;documentId=120301195349-ddca7b18f498457f98b5add8bc6b1730"" /></object><div style=""width:420px;text-align:left;""><a href=""http://issuu.com/congresovisible/docs/boletin_23?mode=window&amp;backgroundColor=%23222222"" target=""_blank"">Open publication</a> - Free <a href=""http://issuu.com"" target=""_blank"">publishing</a> - <a href=""http://issuu.com/search?q=boletin"" target=""_blank"">More boletin</a></div></div>",uploads/boletines/Boletin_23.pdf
"Educación, aborto, justicia y reemplazos",2011,"<div><object classid=""clsid:D27CDB6E-AE6D-11cf-96B8-444553540000"" style=""width:420px;height:272px"" id=""6cade409-5691-c252-81ae-214bca48d4b8"" ><param name=""movie"" value=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf?mode=mini&amp;backgroundColor=%23222222&amp;documentId=111128192206-6551684a2b1d4c18bcfd8eb8e67186d3"" /><param name=""allowfullscreen"" value=""true""/><param name=""menu"" value=""false""/><param name=""wmode"" value=""transparent""/><embed src=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" menu=""false"" wmode=""transparent"" style=""width:420px;height:272px"" flashvars=""mode=mini&amp;backgroundColor=%23222222&amp;documentId=111128192206-6551684a2b1d4c18bcfd8eb8e67186d3"" /></object><div style=""width:420px;text-align:left;""><a href=""http://issuu.com/congresovisible/docs/boletin_cv_22?mode=window&amp;backgroundColor=%23222222"" target=""_blank"">Open publication</a> - Free <a href=""http://issuu.com"" target=""_blank"">publishing</a> - <a href=""http://issuu.com/search?q=colombia"" target=""_blank"">More colombia</a></div></div>",uploads/boletines/Boletin_22.pdf
Primer año del Congreso 2010 -,2014,"<object classid=""clsid:D27CDB6E-AE6D-11cf-96B8-444553540000"" style=""width:420px;height:272px"" id=""5ea5e096-b2e9-f041-7f95-aba4ee3cd76e"" ><param name=""movie"" value=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf?mode=mini&amp;backgroundColor=%23222222&amp;documentId=110829182657-20bbf4880766409ba8c58ea5a3b3054e"" /><param name=""allowfullscreen"" value=""true""/><param name=""menu"" value=""false""/><param name=""wmode"" value=""transparent""/><embed src=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" menu=""false"" wmode=""transparent"" style=""width:420px;height:272px"" flashvars=""mode=mini&amp;backgroundColor=%23222222&amp;documentId=110829182657-20bbf4880766409ba8c58ea5a3b3054e"" /></object>",uploads/boletines/Boletin_21.pdf
"Ley Lleras 2.0, fuero militar y grandes reformas",2012,"<div><object style=""width:420px;height:272px"" ><param name=""movie"" value=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf?mode=mini&amp;backgroundColor=%23222222&amp;documentId=120508185451-6aed2c89ddfa4716a9be72d6ba8d6028"" /><param name=""allowfullscreen"" value=""true""/><param name=""menu"" value=""false""/><param name=""wmode"" value=""transparent""/><embed src=""http://static.issuu.com/webembed/viewers/style1/v2/IssuuReader.swf"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" menu=""false"" wmode=""transparent"" style=""width:420px;height:272px"" flashvars=""mode=mini&amp;backgroundColor=%23222222&amp;documentId=120508185451-6aed2c89ddfa4716a9be72d6ba8d6028"" /></object><div style=""width:420px;text-align:left;""><a href=""http://issuu.com/congresovisible/docs/boletin24?mode=window&amp;backgroundColor=%23222222"" target=""_blank"">Open publication</a> - Free <a href=""http://issuu.com"" target=""_blank"">publishing</a> - <a href=""http://issuu.com/search?q=fuero%20militar"" target=""_blank"">More fuero militar</a></div></div>",uploads/boletines/Boletín_24.pdf
"Nuevo Código Penal, referendos y moción de censura",2000,"<div data-configid=""2991020/5665903"" style=""width: 525px; height: 354px;"" class=""issuuembed""></div><script type=""text/javascript"" src=""//e.issuu.com/embed.js"" async=""true""></script>",uploads/boletines/Boletin_Congreso_No__5.pdf
"Proceso de paz, ley de cuotas y reforma política",2000,"<div data-configid=""2991020/5666015"" style=""width: 525px; height: 676px;"" class=""issuuembed""></div><script type=""text/javascript"" src=""//e.issuu.com/embed.js"" async=""true""></script>",uploads/boletines/Boletin_Congreso_No_3y_4.pdf
"Plan de Desarrollo, Eje Cafetero y Congreso",1999,"<div data-configid=""2991020/5666050"" style=""width: 525px; height: 340px;"" class=""issuuembed""></div><script type=""text/javascript"" src=""//e.issuu.com/embed.js"" async=""true""></script>",uploads/boletines/Boletin_Congreso_No_2.pdf
