id,persona_id,activo,usercreated,usermodifed,created_at,updated_at
1,4195,NA,NA,NA,NA,NA
2,4197,NA,NA,NA,NA,NA
3,4199,NA,NA,NA,NA,NA
4,4200,NA,NA,NA,NA,NA
5,4206,NA,NA,NA,NA,NA
6,4198,NA,NA,NA,NA,NA
7,4550,NA,NA,NA,NA,NA
8,4194,NA,NA,NA,NA,NA
9,4743,NA,NA,NA,NA,NA
10,4746,NA,NA,NA,NA,NA
11,4747,NA,NA,NA,NA,NA
12,4748,NA,NA,NA,NA,NA
13,4749,NA,NA,NA,NA,NA
14,4745,NA,NA,NA,NA,NA
15,4750,NA,NA,NA,NA,NA
16,4580,NA,NA,NA,NA,NA
17,5864,NA,NA,NA,NA,NA
18,5499,NA,NA,NA,NA,NA
19,6483,NA,NA,NA,NA,NA
20,4196,NA,NA,NA,NA,NA
21,10073,NA,NA,NA,NA,NA
22,10075,NA,NA,NA,NA,NA
23,10076,NA,NA,NA,NA,NA
24,10074,NA,NA,NA,NA,NA
25,4741,NA,NA,NA,NA,NA
26,4742,NA,NA,NA,NA,NA
27,10173,NA,NA,NA,NA,NA
28,10264,NA,NA,NA,NA,NA
29,10265,NA,NA,NA,NA,NA
30,10266,NA,NA,NA,NA,NA
31,10267,NA,NA,NA,NA,NA
32,10126,NA,NA,NA,NA,NA
33,10072,NA,NA,NA,NA,NA
34,12109,NA,NA,NA,NA,NA
35,14573,NA,NA,NA,NA,NA
36,14570,NA,NA,NA,NA,NA
37,14567,NA,NA,NA,NA,NA
38,14569,NA,NA,NA,NA,NA
39,14571,NA,NA,NA,NA,NA
40,4201,NA,NA,NA,NA,NA
41,4202,NA,NA,NA,NA,NA
42,4203,NA,NA,NA,NA,NA
43,4204,NA,NA,NA,NA,NA
44,4205,NA,NA,NA,NA,NA
45,10097,NA,NA,NA,NA,NA
46,4207,NA,NA,NA,NA,NA
47,14568,NA,NA,NA,NA,NA
48,14572,NA,NA,NA,NA,NA
49,14656,NA,NA,NA,NA,NA
