id,fecha,fecha_realizada,comentarios,cuatrienio_id,realizado,activo,usercreated,usermodifed,created_at,updated_at
3912,2011/03/29 05:00:00,2011-03-29,NA,6,NA,NA,NA,NA,NA,NA
3218,2009/09/23 05:00:00,NA,NA,2,NA,NA,NA,NA,NA,NA
3234,2009/09/16 05:00:00,NA,NA,2,NA,NA,NA,NA,NA,NA
3248,2009/11/11 05:00:00,NA,Plenaria,4,NA,NA,NA,NA,NA,NA
3913,2011/03/30 05:00:00,2011-03-30,NA,6,NA,NA,NA,NA,NA,NA
4023,2011/04/27 05:00:00,NA,NA,6,NA,NA,NA,NA,NA,NA
3914,2011/03/29 05:00:00,NA,NA,6,NA,NA,NA,NA,NA,NA
3511,2010/12/01 05:00:00,NA,Se realizó.,6,NA,NA,NA,NA,NA,NA
9,2005/08/10 05:00:00,2005-08-10,NA,4,NA,NA,NA,NA,NA,NA
10,2005/08/17 05:00:00,2005-08-17,NA,4,NA,NA,NA,NA,NA,NA
11,2005/08/31 05:00:00,2005-08-31,NA,4,NA,NA,NA,NA,NA,NA
12,2005/09/07 05:00:00,2005-09-07,NA,4,NA,NA,NA,NA,NA,NA
3915,2011/03/30 05:00:00,2011-03-30,NA,6,NA,NA,NA,NA,NA,NA
4131,2011/05/17 05:00:00,2011-05-17,NA,6,NA,NA,NA,NA,NA,NA
3525,2010/12/06 05:00:00,NA,Se realizó.,6,NA,NA,NA,NA,NA,NA
3917,2011/03/29 05:00:00,2011-04-29,NA,6,NA,NA,NA,NA,NA,NA
4001,2011/04/12 05:00:00,2011-04-12,NA,6,NA,NA,NA,NA,NA,NA
4002,2011/04/12 05:00:00,2011-04-12,NA,6,NA,NA,NA,NA,NA,NA
4305,2011/08/09 05:00:00,2011-08-09,NA,6,NA,NA,NA,NA,NA,NA
4003,2011/04/12 05:00:00,2011-04-12,NA,6,NA,NA,NA,NA,NA,NA
2734,2010/08/17 05:00:00,NA,NA,6,NA,NA,NA,NA,NA,NA
26,2005/10/26 05:00:00,2005-10-26,NA,4,NA,NA,NA,NA,NA,NA
3538,2010/12/07 05:00:00,NA,Se realizó.,6,NA,NA,NA,NA,NA,NA
2745,2010/08/18 05:00:00,NA,NA,6,NA,NA,NA,NA,NA,NA
30,2005/09/28 05:00:00,2005-09-28,NA,4,NA,NA,NA,NA,NA,NA
31,2006/04/18 05:00:00,2006-04-18,NA,4,NA,NA,NA,NA,NA,NA
32,2005/08/24 05:00:00,2005-09-07,NA,4,NA,NA,NA,NA,NA,NA
