id,control_politico_id,congresista_id,activo,usercreated,usermodifed,created_at,updated_at
68306,22629,9,NA,NA,NA,NA,NA
68307,22629,189,NA,NA,NA,NA,NA
68342,21803,1819,NA,NA,NA,NA,NA
59550,8630,11,NA,NA,NA,NA,NA
59551,8630,14,NA,NA,NA,NA,NA
68343,21803,39,NA,NA,NA,NA,NA
59640,9022,10,NA,NA,NA,NA,NA
59641,9022,1260,NA,NA,NA,NA,NA
59917,10395,97,NA,NA,NA,NA,NA
59918,10395,906,NA,NA,NA,NA,NA
59919,10395,100,NA,NA,NA,NA,NA
59920,10395,62,NA,NA,NA,NA,NA
59921,10395,47,NA,NA,NA,NA,NA
68344,21803,875,NA,NA,NA,NA,NA
68345,21803,77,NA,NA,NA,NA,NA
68346,21803,2447,NA,NA,NA,NA,NA
68347,21803,59,NA,NA,NA,NA,NA
68427,20209,1178,NA,NA,NA,NA,NA
68428,20209,2083,NA,NA,NA,NA,NA
68429,20209,1894,NA,NA,NA,NA,NA
68430,20209,183,NA,NA,NA,NA,NA
68496,19636,1615,NA,NA,NA,NA,NA
68576,18318,48,NA,NA,NA,NA,NA
68577,18318,668,NA,NA,NA,NA,NA
68578,18318,1486,NA,NA,NA,NA,NA
68613,27582,862,NA,NA,NA,NA,NA
63872,25835,257,NA,NA,NA,NA,NA
58713,16943,74,NA,NA,NA,NA,NA
58897,17394,318,NA,NA,NA,NA,NA
59141,17952,2697,NA,NA,NA,NA,NA
59142,17952,1219,NA,NA,NA,NA,NA
59143,17952,127,NA,NA,NA,NA,NA
65578,27597,2017,NA,NA,NA,NA,NA
65579,27597,836,NA,NA,NA,NA,NA
65580,27597,142,NA,NA,NA,NA,NA
65581,27597,2448,NA,NA,NA,NA,NA
65582,27597,2514,NA,NA,NA,NA,NA
65583,27597,819,NA,NA,NA,NA,NA
65584,27597,2108,NA,NA,NA,NA,NA
83731,49777,446,NA,NA,NA,NA,NA
83732,49651,2233,NA,NA,NA,NA,NA
63910,25980,177,NA,NA,NA,NA,NA
63911,25980,258,NA,NA,NA,NA,NA
63912,25989,248,NA,NA,NA,NA,NA
63913,25989,190,NA,NA,NA,NA,NA
63914,25989,111,NA,NA,NA,NA,NA
63915,26003,512,NA,NA,NA,NA,NA
63916,26003,248,NA,NA,NA,NA,NA
63917,26003,212,NA,NA,NA,NA,NA
63918,26003,134,NA,NA,NA,NA,NA
63919,26004,121,NA,NA,NA,NA,NA
63924,26005,512,NA,NA,NA,NA,NA
63925,26005,248,NA,NA,NA,NA,NA
63926,26005,212,NA,NA,NA,NA,NA
63927,26005,134,NA,NA,NA,NA,NA
74361,40535,1201,NA,NA,NA,NA,NA
74362,40535,1631,NA,NA,NA,NA,NA
74363,40535,873,NA,NA,NA,NA,NA
63544,25113,77,NA,NA,NA,NA,NA
63549,25119,36,NA,NA,NA,NA,NA
74733,41875,242,NA,NA,NA,NA,NA
74734,41875,2443,NA,NA,NA,NA,NA
74735,41875,590,NA,NA,NA,NA,NA
74736,41875,189,NA,NA,NA,NA,NA
74737,41875,6099,NA,NA,NA,NA,NA
74910,41974,1279,NA,NA,NA,NA,NA
74911,41974,59,NA,NA,NA,NA,NA
74912,41974,2600,NA,NA,NA,NA,NA
74913,41974,77,NA,NA,NA,NA,NA
74914,41974,2447,NA,NA,NA,NA,NA
74915,41974,153,NA,NA,NA,NA,NA
74916,41974,1819,NA,NA,NA,NA,NA
74917,41974,507,NA,NA,NA,NA,NA
75415,42421,2080,NA,NA,NA,NA,NA
75416,42421,2506,NA,NA,NA,NA,NA
63611,25155,288,NA,NA,NA,NA,NA
63612,25155,66,NA,NA,NA,NA,NA
63613,25155,290,NA,NA,NA,NA,NA
63614,25155,1486,NA,NA,NA,NA,NA
63615,25155,1805,NA,NA,NA,NA,NA
63616,25155,48,NA,NA,NA,NA,NA
63617,25155,2231,NA,NA,NA,NA,NA
63618,25155,88,NA,NA,NA,NA,NA
63619,25155,2233,NA,NA,NA,NA,NA
63620,25155,763,NA,NA,NA,NA,NA
63621,25155,668,NA,NA,NA,NA,NA
63622,25155,2462,NA,NA,NA,NA,NA
63623,25155,1055,NA,NA,NA,NA,NA
75417,42421,2539,NA,NA,NA,NA,NA
63681,25266,50,NA,NA,NA,NA,NA
63682,25266,19,NA,NA,NA,NA,NA
63683,25266,511,NA,NA,NA,NA,NA
63684,25269,50,NA,NA,NA,NA,NA
63685,25270,50,NA,NA,NA,NA,NA
63686,25271,50,NA,NA,NA,NA,NA
139,57,921,NA,NA,NA,NA,NA
63687,25272,50,NA,NA,NA,NA,NA
63688,25272,511,NA,NA,NA,NA,NA
63689,25273,50,NA,NA,NA,NA,NA
63690,25273,511,NA,NA,NA,NA,NA
63691,25275,97,NA,NA,NA,NA,NA
63692,25275,50,NA,NA,NA,NA,NA
63694,25295,96,NA,NA,NA,NA,NA
65599,27533,297,NA,NA,NA,NA,NA
65600,27533,131,NA,NA,NA,NA,NA
65601,27533,4,NA,NA,NA,NA,NA
155,64,329,NA,NA,NA,NA,NA
156,64,6,NA,NA,NA,NA,NA
157,64,357,NA,NA,NA,NA,NA
158,64,28,NA,NA,NA,NA,NA
159,64,511,NA,NA,NA,NA,NA
160,64,591,NA,NA,NA,NA,NA
161,64,601,NA,NA,NA,NA,NA
162,64,631,NA,NA,NA,NA,NA
163,64,662,NA,NA,NA,NA,NA
164,64,686,NA,NA,NA,NA,NA
165,64,753,NA,NA,NA,NA,NA
166,64,879,NA,NA,NA,NA,NA
167,64,906,NA,NA,NA,NA,NA
168,64,963,NA,NA,NA,NA,NA
169,64,992,NA,NA,NA,NA,NA
170,64,101,NA,NA,NA,NA,NA
171,64,1022,NA,NA,NA,NA,NA
172,64,242,NA,NA,NA,NA,NA
173,65,734,NA,NA,NA,NA,NA
174,65,1022,NA,NA,NA,NA,NA
175,65,1064,NA,NA,NA,NA,NA
65602,27533,566,NA,NA,NA,NA,NA
83733,50064,2499,NA,NA,NA,NA,NA
63724,25197,1201,NA,NA,NA,NA,NA
63725,25410,1168,NA,NA,NA,NA,NA
63726,25410,922,NA,NA,NA,NA,NA
63727,25410,172,NA,NA,NA,NA,NA
63728,25410,103,NA,NA,NA,NA,NA
63729,25412,75,NA,NA,NA,NA,NA
63730,25412,493,NA,NA,NA,NA,NA
63731,25412,999,NA,NA,NA,NA,NA
63732,25417,9,NA,NA,NA,NA,NA
63733,25417,75,NA,NA,NA,NA,NA
63734,25417,493,NA,NA,NA,NA,NA
63735,25424,93,NA,NA,NA,NA,NA
63736,25425,122,NA,NA,NA,NA,NA
63737,25426,193,NA,NA,NA,NA,NA
197,79,10,NA,NA,NA,NA,NA
198,79,14,NA,NA,NA,NA,NA
199,79,511,NA,NA,NA,NA,NA
200,79,668,NA,NA,NA,NA,NA
201,79,811,NA,NA,NA,NA,NA
202,79,77,NA,NA,NA,NA,NA
203,79,29,NA,NA,NA,NA,NA
204,79,61,NA,NA,NA,NA,NA
205,79,1260,NA,NA,NA,NA,NA
206,79,48,NA,NA,NA,NA,NA
58714,16949,793,NA,NA,NA,NA,NA
58715,16949,314,NA,NA,NA,NA,NA
58898,17397,130,NA,NA,NA,NA,NA
58899,17397,2107,NA,NA,NA,NA,NA
58900,17397,922,NA,NA,NA,NA,NA
58901,17397,1166,NA,NA,NA,NA,NA
58902,17397,311,NA,NA,NA,NA,NA
59390,8496,1248,NA,NA,NA,NA,NA
59391,8496,1260,NA,NA,NA,NA,NA
59392,8496,1255,NA,NA,NA,NA,NA
59552,9955,66,NA,NA,NA,NA,NA
59553,9955,668,NA,NA,NA,NA,NA
59554,9955,46,NA,NA,NA,NA,NA
59555,9955,88,NA,NA,NA,NA,NA
59556,9955,1276,NA,NA,NA,NA,NA
59557,9955,61,NA,NA,NA,NA,NA
59558,9955,1055,NA,NA,NA,NA,NA
60092,18764,50,NA,NA,NA,NA,NA
59642,7493,1191,NA,NA,NA,NA,NA
59643,7493,201,NA,NA,NA,NA,NA
59644,7493,398,NA,NA,NA,NA,NA
59645,7493,1264,NA,NA,NA,NA,NA
229,83,9,NA,NA,NA,NA,NA
230,83,14,NA,NA,NA,NA,NA
231,83,25,NA,NA,NA,NA,NA
232,83,28,NA,NA,NA,NA,NA
233,83,505,NA,NA,NA,NA,NA
